time,trajectories1,trajectories2
0.000,614.020,287.413
0.067,668.212,240.723
0.133,778.501,175.472
0.200,999.354,94.734
0.267,1079.890,88.542
0.333,1104.532,152.638
0.400,1052.294,244.789
0.467,994.162,282.679
0.533,923.526,321.177
0.600,905.808,403.599
0.667,839.859,420.727
0.733,748.961,437.405
0.800,743.094,360.362
0.867,811.208,331.153
0.933,862.813,242.691
1.000,836.931,170.398
1.067,831.326,83.810
1.133,874.210,80.162
1.200,942.081,83.924
1.267,1027.568,124.697
1.333,1117.808,168.854
1.400,1239.151,126.857
1.467,1303.044,137.218
1.533,1360.099,142.711
1.600,1449.142,213.928
1.667,1514.744,242.878
1.733,1559.110,309.095
1.800,1603.000,400.886
1.867,1659.811,447.894
1.933,1763.460,518.122
2.000,1837.050,511.040
2.067,1731.753,449.037
2.133,1656.447,380.831
2.200,1608.878,301.216
2.267,1504.507,274.748
2.333,1402.008,273.941
2.400,1284.859,265.232
2.467,1167.911,245.833
2.533,1058.593,244.182
2.600,939.742,266.387
2.667,851.599,294.287
2.733,771.719,352.022
2.800,696.566,416.404
2.867,625.769,411.757
2.933,559.289,448.821
3.000,446.858,470.342
3.067,336.151,455.383
3.133,288.511,404.830
3.200,426.820,396.086
3.267,500.662,349.469
3.333,609.276,294.496
3.400,678.520,198.756
3.467,774.234,183.812
3.533,931.612,112.037
3.600,1129.544,73.825
3.667,1198.860,112.607
3.733,1280.555,130.422
3.800,1327.135,192.451
3.867,1389.560,195.079
3.933,1350.941,116.610
4.000,1313.589,105.069
4.067,1056.137,203.410
4.133,960.337,267.147
4.200,947.663,293.288
4.267,900.791,418.106
4.333,811.724,428.947
4.400,732.878,446.463
4.467,691.211,437.463
4.533,612.012,383.078
4.600,578.050,376.959
4.667,572.271,309.424
4.733,667.806,270.655
4.800,757.608,214.492
4.867,794.775,95.891
4.933,883.373,145.724
5.000,999.470,193.596
5.067,1144.692,224.200
5.133,1230.223,212.028
5.200,1338.851,105.309
5.267,1342.299,110.901
5.333,1341.404,111.808
5.400,1349.411,136.937
5.467,1376.006,178.382
5.533,1354.408,261.805
5.600,1333.495,362.813
5.667,1257.708,434.076
5.733,1222.836,501.072
5.800,1259.779,609.560
5.867,1250.524,690.352
5.933,1268.452,787.420
6.000,1310.647,901.384
6.067,1333.368,967.698
6.133,1357.598,1060.534
6.200,1339.356,1134.017
6.267,1280.896,1131.440
6.333,1268.826,1040.707
6.400,1309.382,914.231
6.467,1351.238,821.266
6.533,1281.412,705.535
6.600,1252.054,618.521
6.667,1197.815,505.102
6.733,1064.242,446.191
6.800,970.162,418.559
6.867,840.966,418.556
6.933,734.112,429.063
7.000,590.037,430.882
7.067,521.256,410.735
7.133,464.734,359.334
7.200,529.442,274.910
7.267,506.403,391.738
7.333,507.294,479.843
7.400,477.912,535.108
7.467,451.236,593.238
7.533,465.565,720.454
7.600,512.164,810.578
7.667,579.695,911.844
7.733,706.328,967.385
7.800,786.226,986.811
7.867,927.586,1006.082
7.933,1041.183,999.523
8.000,1171.196,990.698
8.067,1287.162,1003.904
8.133,1370.218,1035.368
8.200,1481.839,1042.009
8.267,1600.628,973.963
8.333,1675.845,883.959
8.400,1772.569,862.171
8.467,1866.422,854.688
8.533,1964.829,794.866
8.600,1902.650,859.432
8.667,1869.539,926.848
8.733,1890.541,949.983
8.800,1801.244,1043.632
8.867,1730.144,1122.207
8.933,1643.078,1214.610
9.000,1572.499,1319.113
9.067,1554.556,1420.706
9.133,1531.692,1520.243
9.200,1511.500,1596.525
9.267,1488.897,1666.331
9.333,1435.300,1717.371
9.400,1360.940,1774.976
9.467,1228.545,1798.109
9.533,1121.011,1810.650
9.600,1027.848,1851.848
9.667,937.546,1905.910
