time,trajectories1,trajectories2
0.000,629.045,706.628
0.067,614.913,744.850
0.133,519.846,774.392
0.200,498.086,805.246
0.267,499.210,807.208
0.333,479.766,723.645
0.400,434.269,780.095
0.467,430.988,821.103
0.533,491.447,823.617
0.600,561.859,831.194
0.667,629.376,843.438
0.733,742.689,906.811
0.800,807.286,951.703
0.867,870.400,1037.445
0.933,943.109,1024.753
1.000,958.979,944.598
1.067,851.420,843.924
1.133,757.401,770.230
1.200,630.847,756.882
1.267,527.446,769.513
1.333,463.394,802.540
1.400,412.056,780.644
1.467,361.032,732.421
1.533,349.217,659.675
1.600,305.716,563.175
1.667,269.182,521.464
1.733,351.897,588.248
1.800,449.475,584.886
1.867,560.591,628.616
1.933,614.394,650.510
2.000,709.903,657.242
2.067,835.472,659.080
2.133,905.480,703.115
2.200,982.673,770.483
2.267,1071.731,821.971
2.333,1158.866,784.522
2.400,1202.078,685.194
2.467,1193.040,597.601
2.533,1101.124,522.427
2.600,1016.527,550.507
2.667,903.214,600.064
2.733,841.639,628.560
2.800,755.146,737.365
2.867,726.054,798.382
2.933,682.147,908.924
3.000,678.186,1009.427
3.067,672.327,1105.645
3.133,658.118,1118.250
3.200,653.881,1121.619
3.267,636.248,1121.554
3.333,580.044,1083.572
3.400,517.020,1008.857
3.467,434.627,866.246
3.533,392.353,780.345
3.600,230.781,784.844
3.667,184.540,865.939
3.733,178.833,1028.255
3.800,214.724,1186.504
3.867,230.024,1267.051
3.933,357.262,1446.059
4.000,476.939,1480.106
4.067,560.394,1492.907
4.133,707.262,1521.309
4.200,850.564,1477.818
4.267,958.683,1440.367
4.333,1066.894,1463.393
4.400,1106.940,1536.499
4.467,1094.265,1637.309
4.533,962.723,1759.483
4.600,848.768,1812.526
4.667,761.399,1805.095
4.733,597.458,1737.823
4.800,496.701,1739.712
4.867,484.475,1642.405
4.933,576.636,1496.509
5.000,776.394,1446.913
5.067,972.663,1414.321
5.133,1191.718,1388.245
5.200,1309.656,1321.581
5.267,1406.843,1175.277
5.333,1433.435,1136.511
5.400,1491.551,1152.916
5.467,1563.804,1098.815
5.533,1651.901,1018.922
5.600,1811.915,1030.420
5.667,1875.592,1120.114
5.733,1889.773,1245.435
5.800,1723.475,1375.441
5.867,1572.901,1577.053
5.933,1463.014,1634.116
6.000,1277.772,1823.188
6.067,1253.628,1920.331
6.133,1181.443,1734.492
6.200,1156.879,1602.246
6.267,1164.367,1418.797
6.333,1101.763,1187.256
6.400,1030.084,1017.747
6.467,949.365,897.368
6.533,675.742,880.012
6.600,565.001,902.243
6.667,479.763,985.311
6.733,513.399,1090.633
6.800,582.579,1271.637
6.867,545.462,1372.927
6.933,454.529,1465.388
7.000,438.396,1623.923
7.067,506.304,1660.327
7.133,663.951,1738.987
7.200,775.331,1809.978
7.267,941.124,1895.359
7.333,1066.010,1907.841
7.400,1215.111,1890.159
7.467,1312.568,1868.781
7.533,1381.941,1875.182
7.600,1413.192,1813.020
7.667,1366.538,1721.595
7.733,1313.108,1610.302
7.800,1329.309,1476.665
7.867,1375.614,1372.101
7.933,1394.053,1303.030
8.000,1302.543,1145.963
8.067,1228.714,977.110
8.133,1167.701,870.825
8.200,1133.603,859.012
8.267,989.080,801.069
8.333,899.276,789.535
8.400,849.010,770.921
8.467,789.440,798.509
8.533,747.036,849.168
8.600,718.986,983.895
8.667,618.038,997.127
8.733,543.969,940.871
8.800,497.160,848.997
8.867,470.164,773.991
8.933,422.168,708.332
9.000,406.856,701.832
9.067,328.215,697.087
9.133,284.264,679.213
9.200,267.751,635.171
9.267,363.435,543.066
9.333,455.746,444.720
9.400,511.703,350.242
9.467,585.015,259.986
9.533,760.018,296.756
9.600,792.815,306.151
9.667,923.135,292.286
9.733,1067.418,380.887
9.800,1207.671,408.097
9.867,1299.609,451.192
9.933,1417.863,509.641
10.000,1560.503,560.139
10.067,1691.377,513.193
10.133,1674.174,397.260
10.200,1466.106,413.874
10.267,1234.090,475.264
10.333,1065.943,521.735
10.400,940.154,675.702
10.467,947.172,757.778
10.533,938.523,780.056
10.600,940.015,795.047
10.667,842.595,888.382
10.733,792.106,975.155
10.800,797.445,1117.849
10.867,794.349,1231.281
10.933,845.894,1342.349
11.000,956.871,1417.098
11.067,1053.408,1447.094
11.133,1220.631,1443.394
11.200,1401.287,1462.686
11.267,1536.444,1527.653
11.333,1592.263,1572.990
11.400,1523.819,1695.346
11.467,1389.980,1845.808
11.533,1293.586,1859.238
11.600,1169.265,1917.541
11.667,1113.182,1898.275
11.733,1012.329,1766.038
11.800,938.177,1580.684
11.867,926.034,1554.640
11.933,901.604,1530.780
12.000,760.115,1434.982
12.067,583.385,1394.321
12.133,477.834,1435.269
12.200,420.350,1567.445
12.267,489.498,1598.267
12.333,567.372,1515.730
12.400,640.099,1414.252
12.467,702.501,1312.088
12.533,763.448,1195.470
12.600,901.564,1052.529
12.667,975.313,947.220
12.733,1007.202,863.895
12.800,980.740,833.625
12.867,1009.533,756.292
12.933,1140.214,687.294
13.000,1323.094,649.592
13.067,1374.407,502.215
13.133,1239.843,342.123
13.200,1207.055,176.793
13.267,1149.644,115.936
13.333,1049.982,252.025
13.400,1009.516,362.601
13.467,983.776,524.276
13.533,906.777,658.872
13.600,807.716,800.204
13.667,752.711,907.632
13.733,757.479,1072.195
13.800,866.972,1140.528
13.867,996.069,1145.758
13.933,1149.325,1188.246
14.000,1284.758,1179.011
14.067,1397.922,1138.924
14.133,1572.366,1232.963
14.200,1702.154,1328.913
14.267,1833.813,1376.938
14.333,1964.033,1171.497
14.400,1924.407,1125.378
14.467,1787.301,1104.838
14.533,1685.320,1108.857
14.600,1297.964,1309.126
14.667,1083.936,1310.595
14.733,863.316,1237.642
14.800,736.549,1122.206
14.867,652.186,968.655
14.933,695.568,791.874
15.000,774.853,695.223
15.067,965.041,556.742
15.133,935.591,484.686
15.200,789.168,462.798
15.267,675.623,516.777
15.333,479.883,621.419
15.400,383.961,718.122
15.467,299.001,892.674
15.533,260.488,1049.540
15.600,274.125,1066.946
15.667,345.206,1095.405
15.733,289.362,1062.962
15.800,262.832,977.719
15.867,93.364,1007.089
15.933,101.488,1101.750
16.000,147.470,1243.495
16.067,170.343,1435.149
16.133,301.687,1593.913
16.200,389.211,1663.358
16.267,572.484,1702.818
16.333,740.792,1848.517
16.400,959.165,1892.480
16.467,1147.536,1947.082
16.533,1381.686,1883.000
16.600,1592.022,1797.430
16.666,1704.782,1695.904
16.733,1608.948,1455.689
16.800,1609.810,1201.937
16.866,1593.288,999.870
16.933,1425.241,808.129
17.000,1238.428,616.320
17.066,1050.720,463.541
17.133,986.865,283.681
17.200,1021.181,144.919
17.266,1163.851,231.181
17.333,1268.240,216.666
17.400,1321.056,313.646
17.466,1363.544,512.321
17.533,1384.801,613.592
17.600,1452.424,744.511
17.666,1412.950,862.262
17.733,1304.486,1055.828
17.800,1119.927,1174.604
17.866,1035.863,1307.500
17.933,935.811,1485.691
18.000,980.761,1600.940
18.066,1208.555,1675.730
18.133,1369.821,1754.214
18.200,1552.273,1658.769
18.266,1724.207,1588.124
18.333,1796.682,1467.939
18.400,1922.742,1219.315
18.466,1958.533,986.560
18.533,1833.801,827.646
18.600,1715.919,661.784
18.666,1671.540,535.915
18.733,1498.189,522.637
18.800,1403.597,593.810
18.866,1221.923,734.766
18.933,999.679,862.118
19.000,702.096,992.625
19.066,529.468,1050.914
19.133,268.199,1175.268
19.200,336.819,1219.102
19.266,326.913,1312.791
19.333,232.350,1315.774
19.400,167.176,1376.914
19.466,293.251,1352.544
19.533,464.314,1418.352
19.600,611.614,1489.326
19.666,661.912,1517.459
19.733,829.312,1482.936
19.800,1008.895,1437.688
19.866,1232.762,1387.183
19.933,1442.793,1360.348
20.000,1582.795,1272.315
20.066,1682.576,1181.372
20.133,1849.546,1250.955
20.200,1843.736,1388.766
20.266,1790.399,1545.416
20.333,1725.344,1633.824
20.400,1560.366,1721.350
20.466,1475.170,1835.541
20.533,1297.525,1821.005
20.600,1076.239,1941.764
20.666,981.946,1910.035
20.733,821.348,1932.109
20.800,634.732,1853.265
20.866,466.117,1794.379
20.933,330.835,1670.064
21.000,199.000,1522.707
21.066,177.774,1333.488
21.133,141.195,1162.034
21.200,137.437,998.217
21.266,118.214,915.477
21.333,245.193,909.687
21.400,407.895,913.685
21.466,643.980,935.887
21.533,992.872,987.996
21.600,1110.136,1031.827
21.666,1180.646,1000.969
21.733,1185.113,954.781
21.800,1291.781,921.167
21.866,1396.135,985.955
21.933,1520.357,1034.984
22.000,1593.076,1221.882
22.066,1714.853,1288.360
22.133,1874.309,1274.797
22.200,1918.369,1271.362
22.266,1942.128,1126.720
22.333,1919.791,1015.533
22.400,1927.058,858.393
22.466,1842.520,818.078
22.533,1711.286,756.803
22.600,1601.641,688.898
22.666,1444.021,637.114
22.733,1244.171,631.940
22.800,1056.811,678.998
22.866,910.950,771.593
22.933,792.452,839.877
23.000,681.433,1011.972
23.066,631.275,1110.134
23.133,595.973,1264.721
23.200,607.817,1387.218
23.266,722.725,1483.659
23.333,780.911,1688.923
23.400,741.850,1807.203
23.466,653.428,1880.107
23.533,526.591,1793.122
23.600,440.146,1735.964
23.666,320.177,1622.636
23.733,340.653,1535.518
23.800,390.292,1372.575
23.866,216.835,1266.852
23.933,126.234,1250.322
24.000,124.965,1154.032
24.066,202.068,1033.022
24.133,216.261,923.714
24.200,261.624,817.528
24.266,363.154,784.495
24.333,599.625,806.789
24.400,782.696,836.615
24.466,1114.582,913.735
24.533,1258.704,868.434
24.600,1502.413,884.582
24.666,1593.190,1004.391
24.733,1707.498,1077.393
24.800,1792.739,1092.002
24.866,1891.730,1106.180
24.933,1955.476,991.165
25.000,1863.250,772.704
25.066,1817.323,689.785
25.133,1776.491,551.293
25.200,1693.552,476.200
25.266,1635.172,427.056
25.333,1555.485,419.315
25.400,1428.402,437.263
25.466,1322.346,570.014
25.533,1226.370,601.997
25.600,1062.490,656.647
25.666,882.305,620.775
25.733,785.798,571.613
25.800,851.662,371.073
25.866,962.408,313.732
25.933,1132.960,202.013
26.000,1108.346,100.051
26.066,1044.353,223.446
26.133,1081.707,411.907
26.200,1179.139,547.944
26.266,1294.140,626.313
26.333,1492.611,600.243
26.400,1608.220,638.312
26.466,1773.827,617.619
26.533,1858.996,628.583
26.600,1848.344,744.477
26.666,1745.805,837.471
26.733,1656.793,930.987
26.800,1625.314,1077.176
26.866,1542.204,1233.624
26.933,1439.783,1244.727
27.000,1371.887,1280.599
27.066,1263.657,1328.836
27.133,1189.367,1429.579
27.200,1225.639,1469.496
27.266,1233.995,1469.959
27.333,1258.795,1481.659
27.400,1320.775,1445.535
27.466,1410.120,1350.649
27.533,1448.013,1222.753
27.600,1486.321,1182.754
27.666,1611.421,1089.491
27.733,1722.016,1104.253
27.800,1794.641,1260.238
27.866,1894.896,1367.602
27.933,1933.907,1293.542
28.000,1851.199,1112.181
28.066,1940.764,926.828
28.133,1898.321,850.715
28.200,1771.766,766.846
28.266,1664.526,637.514
28.333,1550.230,640.341
28.400,1333.303,662.292
28.466,1211.157,652.169
28.533,1017.947,643.219
28.600,847.679,450.858
28.666,754.020,339.736
28.733,630.185,292.732
28.800,542.125,384.966
28.866,426.095,493.579
28.933,317.942,555.107
29.000,239.172,602.249
29.066,252.331,669.270
29.133,339.209,698.429
29.200,488.016,705.995
29.266,614.980,787.073
29.333,625.549,995.954
29.400,543.869,1242.602
29.466,438.984,1332.065
29.533,353.712,1417.622
29.600,365.992,1500.467
29.666,465.577,1611.760
29.733,460.486,1693.365
29.800,531.271,1678.696
29.866,436.245,1548.002
29.933,306.804,1594.445
30.000,378.470,1653.122
30.066,486.391,1643.779
30.133,654.605,1737.707
30.200,700.703,1820.524
30.266,714.141,1861.718
30.333,770.172,1807.718
30.400,920.976,1746.037
30.466,1112.962,1773.037
30.533,1198.542,1787.927
30.600,1348.919,1782.455
30.666,1461.786,1821.064
30.733,1398.206,1822.622
30.800,1228.272,1820.385
30.866,1145.125,1929.431
30.933,1082.612,1953.916
31.000,1014.871,1890.303
31.066,862.327,1895.703
31.133,831.802,1786.664
31.200,732.443,1635.550
31.266,613.135,1515.551
31.333,434.455,1446.690
31.400,330.126,1516.600
31.466,233.439,1507.194
31.533,321.167,1421.962
31.600,204.537,1286.762
31.666,188.506,1126.780
31.733,229.846,1007.011
31.800,249.966,886.768
31.866,185.266,792.946
31.933,269.501,775.750
32.000,354.690,844.602
32.066,568.243,895.332
32.133,702.511,937.642
32.200,896.935,980.452
32.266,992.509,995.403
32.333,1040.889,987.566
32.400,1110.161,1037.975
32.466,1170.035,1095.070
32.533,1166.543,1100.437
32.600,1111.332,1156.805
32.666,999.858,1233.042
32.733,938.958,1295.396
32.800,874.181,1492.813
32.866,728.627,1570.404
32.933,587.660,1625.276
33.000,481.567,1760.505
33.066,575.500,1815.841
33.133,647.890,1834.024
33.200,725.300,1914.359
33.266,809.000,1946.714
33.333,837.376,1829.619
33.400,839.648,1723.592
33.466,823.355,1594.930
33.533,734.988,1442.243
33.600,681.862,1344.051
33.666,645.072,1203.079
33.733,660.712,1054.729
33.800,742.067,921.702
33.866,803.489,708.545
33.933,728.328,547.137
34.000,629.714,378.149
34.066,594.511,297.298
34.133,577.066,253.026
34.200,588.520,316.117
34.266,645.093,321.461
34.333,773.132,330.168
34.400,848.541,280.318
34.466,845.479,234.310
34.533,727.426,344.209
34.600,610.194,385.970
34.666,534.897,357.450
34.733,565.903,283.919
34.800,673.715,310.690
34.866,764.328,279.341
34.933,890.371,291.763
35.000,1064.377,326.330
35.066,1186.043,314.506
35.133,1353.551,308.997
35.200,1426.875,271.050
35.266,1410.638,402.569
35.333,1433.747,546.344
35.400,1554.929,570.058
35.466,1709.894,494.368
35.533,1660.771,392.492
35.600,1422.707,384.778
35.666,1219.621,257.125
35.733,1198.231,152.912
35.800,1104.821,269.900
35.866,1079.597,421.418
35.933,954.421,608.427
36.000,942.931,691.603
36.066,914.615,733.872
36.133,862.213,838.018
36.200,755.497,874.852
36.266,580.021,946.322
36.333,433.185,791.506
36.400,438.353,657.717
36.466,397.469,501.869
36.533,405.543,425.040
36.600,486.025,364.212
36.666,541.278,293.723
36.733,517.473,308.628
36.800,546.355,395.502
36.866,464.909,523.970
36.933,462.244,604.993
37.000,480.303,682.078
37.066,550.097,725.716
37.133,590.314,884.789
37.200,484.307,1054.303
37.266,412.510,1189.889
37.333,349.511,1379.327
37.400,371.873,1470.415
37.466,356.308,1589.861
37.533,432.682,1618.508
37.600,509.456,1753.960
37.666,585.101,1767.939
37.733,719.070,1884.362
37.800,794.905,1920.002
37.866,841.849,1735.374
37.933,1023.060,1617.144
38.000,1250.845,1563.100
38.066,1554.094,1457.607
38.133,1768.217,1400.302
38.200,1823.391,1315.588
38.266,1843.323,1305.680
38.333,1875.947,1213.605
38.400,1839.132,1145.077
38.466,1891.788,881.385
38.533,1887.107,849.705
38.600,1862.502,895.402
38.666,1848.139,971.907
38.733,1791.061,1062.531
38.800,1705.070,1184.119
38.866,1592.134,1421.854
38.933,1474.308,1566.496
39.000,1404.745,1608.102
39.066,1264.219,1713.452
39.133,1283.809,1789.824
39.200,1376.228,1718.276
39.266,1482.196,1698.135
39.333,1450.955,1634.003
39.400,1401.838,1561.787
39.466,1404.232,1364.504
39.533,1508.629,1206.246
39.600,1620.119,1118.283
39.666,1756.843,1067.909
39.733,1834.244,1067.846
39.800,1770.293,1059.432
39.866,1721.503,1077.073
39.933,1714.280,1157.135
40.000,1708.405,1328.319
40.066,1731.731,1456.983
40.133,1807.938,1488.603
40.200,1796.133,1409.615
40.266,1707.837,1356.571
40.333,1598.877,1285.701
40.400,1554.141,1281.867
40.466,1496.401,1232.829
40.533,1449.219,1189.910
40.600,1540.235,1036.125
40.666,1749.437,983.034
40.733,1808.274,941.043
40.800,1842.662,866.441
40.866,1885.533,873.713
40.933,1827.494,939.181
41.000,1793.421,1083.463
41.066,1835.873,1249.058
41.133,1910.764,1275.022
41.200,1857.202,1216.861
41.266,1795.861,1183.932
41.333,1706.975,1171.298
41.400,1602.780,1131.233
41.466,1505.511,1021.730
41.533,1341.652,890.336
41.600,1211.834,758.638
41.666,1083.215,580.942
41.733,990.501,424.155
41.800,899.156,354.363
41.866,944.271,305.436
41.933,926.592,294.864
42.000,906.773,413.434
42.066,727.981,531.880
42.133,586.178,547.938
42.200,440.587,538.005
42.266,403.662,550.114
42.333,467.233,616.243
42.400,455.809,687.667
42.466,428.238,745.145
42.533,377.960,734.676
42.600,505.632,811.388
42.666,560.673,847.151
42.733,618.405,967.689
42.800,663.953,1036.200
42.866,753.447,979.391
42.933,761.874,956.542
43.000,761.306,946.059
43.066,823.246,931.774
43.133,835.448,942.645
43.200,868.086,952.132
43.266,888.591,926.148
43.333,914.886,943.004
43.400,921.385,1040.917
43.466,910.135,1134.758
43.533,906.514,1212.037
43.600,889.418,1377.509
