trajectories1,trajectories2
806.269,96.773
627.952,1508.040
691.197,1479.024
825.519,1426.046
903.070,1400.947
1013.912,1362.517
802.511,97.665
1552.801,991.564
1677.814,933.977
1824.330,890.881
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
1908.462,970.804
1875.475,986.126
1846.726,994.037
1798.541,1000.574
1765.749,1001.802
1750.646,1003.743
1747.722,1008.477
1730.213,1024.419
1719.912,1035.467
1656.733,1141.563
1598.788,1263.776
1620.483,1334.319
1716.160,1501.371
1717.478,1572.935
1689.890,1604.681
1520.989,1777.205
1468.318,1815.213
1350.257,1856.412
1223.926,1916.357
1181.862,1878.421
1152.614,1815.149
1142.439,1746.226
1123.339,1698.623
1116.875,1637.321
1225.576,1614.387
1261.616,1618.233
1312.757,1642.861
1371.973,1670.961
1415.995,1695.840
1432.257,1696.965
1438.690,1697.713
1431.673,1702.298
1405.259,1740.862
1392.192,1751.735
1340.617,1760.308
1293.727,1784.487
1263.643,1853.771
nan,nan
nan,nan
1392.929,1830.317
1343.559,1771.316
1310.497,1739.766
1289.955,1750.797
1261.506,1744.327
1229.041,1734.814
1216.406,1728.290
1197.106,1714.249
1172.016,1699.837
1164.349,1692.009
1129.016,1682.769
1107.401,1682.521
1098.997,1689.651
1084.198,1714.637
1072.295,1725.903
1034.533,1693.661
1023.799,1673.054
1022.626,1652.238
1019.310,1617.699
1001.982,1601.671
1001.659,1588.448
1002.921,1550.794
1002.814,1519.376
1003.953,1502.003
1012.891,1467.453
1021.058,1447.086
1015.118,1413.394
953.209,1355.954
914.070,1340.118
874.125,1294.937
880.210,1245.391
920.143,1163.192
955.659,1149.954
970.579,1110.197
987.282,1055.052
989.056,1038.219
1021.530,1048.666
1056.683,1081.262
1056.868,1139.089
1037.271,1185.025
1015.889,1207.881
946.854,1193.771
905.978,1162.388
888.642,1143.269
923.636,1054.987
1004.920,998.164
1040.345,953.591
1097.746,831.405
1152.302,788.560
1207.546,766.308
1302.357,752.370
1339.825,757.013
1362.960,797.619
1390.599,828.948
1398.803,835.268
1410.700,842.299
1426.660,849.434
1437.891,854.650
1450.161,864.365
1450.370,865.802
1449.861,899.680
1418.601,929.382
1383.571,943.140
1319.788,931.823
1288.274,923.579
1222.960,904.315
1195.022,890.961
1110.354,870.254
1051.057,847.719
1024.376,843.499
915.140,850.087
861.022,909.963
822.206,938.257
741.519,968.818
706.137,969.682
670.144,944.005
672.858,891.188
832.518,821.041
975.158,784.079
1026.913,742.039
1065.935,689.398
1115.995,594.865
1150.007,556.177
1164.008,498.918
1165.966,450.190
1182.189,437.288
1231.083,426.738
1264.243,443.952
1267.379,491.587
1256.837,518.767
1246.084,530.755
1219.995,546.117
1205.980,554.970
1192.024,560.840
1175.313,565.717
1155.969,565.299
1135.996,565.483
1095.512,585.849
1078.914,615.773
1072.695,672.780
1063.471,731.170
1053.416,757.025
986.024,807.457
932.460,849.351
900.568,859.003
855.651,861.459
825.639,810.851
799.382,773.585
726.238,715.759
645.017,755.921
571.086,728.939
573.191,689.758
649.074,665.237
715.031,719.515
742.635,750.353
792.859,781.815
842.218,776.913
894.596,721.154
915.863,617.505
957.570,568.107
966.419,480.642
963.648,405.327
1000.659,378.381
1062.471,371.369
1134.262,364.324
1154.613,370.241
1176.861,429.788
1174.090,441.075
1158.281,456.529
1137.958,454.366
1125.527,454.142
1097.387,409.785
1097.369,382.792
1117.773,330.257
1109.093,260.063
1081.253,208.777
977.309,211.287
952.565,209.951
963.457,150.857
1168.507,244.233
1532.431,432.697
1598.141,525.204
1643.499,582.314
1682.167,610.306
1719.291,635.578
1773.034,644.263
1797.695,636.653
nan,nan
nan,nan
nan,nan
1867.057,684.228
1827.433,607.569
1789.631,525.863
1766.477,492.561
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
1891.169,743.268
1882.244,834.136
1867.131,942.707
1859.033,990.423
1856.251,1053.738
1886.191,1092.269
1911.168,1113.844
nan,nan
nan,nan
1924.613,1237.406
1851.718,1378.296
1764.346,1497.111
1704.346,1601.196
nan,nan
nan,nan
nan,nan
1340.267,1871.937
1236.060,1839.361
1159.071,1817.233
1053.036,1876.665
981.608,1885.473
929.516,1852.868
809.399,1813.364
772.124,1809.499
756.942,1821.419
743.018,1769.903
742.500,1734.095
756.130,1679.275
772.360,1603.298
748.541,1544.790
714.326,1528.742
664.566,1451.414
670.167,1415.046
712.250,1458.034
711.140,1502.341
683.572,1526.712
639.801,1539.421
610.633,1577.466
581.700,1571.143
550.351,1506.089
546.442,1386.299
529.763,1339.284
517.207,1235.915
541.166,1135.703
539.447,1051.584
419.897,1039.861
392.282,1063.564
387.299,1067.349
385.902,1069.592
384.750,1067.175
384.032,1062.853
466.945,1064.368
555.766,1120.732
681.332,1095.579
752.573,1114.217
837.711,1142.098
912.423,1129.232
1063.044,1072.772
1086.864,1060.786
1202.879,958.055
1239.495,1061.402
1200.237,1132.618
1130.672,1193.554
1111.645,1257.360
1150.328,1297.666
1185.382,1400.573
1165.768,1432.516
1164.589,1433.052
1146.844,1506.953
1191.430,1520.626
1224.352,1504.287
1259.909,1372.548
1262.241,1362.301
1222.212,1234.092
1178.320,1211.342
1092.957,1236.432
1108.347,1314.814
1101.210,1347.407
1010.317,1364.314
918.102,1345.507
864.091,1329.307
677.124,1252.082
624.858,1264.855
523.182,1287.905
489.543,1260.725
467.058,1255.862
440.733,1239.056
428.014,1222.669
421.223,1200.665
437.332,1159.608
465.918,1149.039
521.780,1149.067
557.312,1154.013
568.952,1156.557
596.722,1158.690
621.354,1159.862
661.951,1150.307
678.195,1151.765
715.269,1144.924
751.164,1094.951
760.064,1067.126
761.119,1034.573
723.901,955.176
732.088,929.493
746.041,921.185
782.323,918.837
805.389,952.943
806.851,978.232
812.974,998.712
860.874,1016.841
911.805,1039.613
935.450,1057.752
1017.454,1071.773
1070.673,1046.236
1105.560,1020.323
1155.802,1019.870
1242.153,1021.644
1253.952,1027.789
1275.319,1126.646
