trajectories1,trajectories2
1333.737,244.265
1268.939,206.347
1160.846,171.962
1045.904,215.422
982.499,225.684
885.824,265.721
958.630,179.400
926.761,387.093
797.700,365.464
709.799,349.712
580.853,320.972
508.351,344.362
429.275,355.585
408.466,347.206
447.802,321.729
528.795,303.503
594.735,297.722
636.381,228.619
720.009,202.883
779.339,164.761
841.898,138.884
929.681,254.053
1013.820,250.420
1046.358,189.802
1109.783,207.639
1128.217,277.701
1088.346,241.314
1148.371,210.627
1247.590,252.967
1357.721,257.090
1440.936,345.417
1535.092,415.634
1591.731,370.495
1507.430,367.227
1475.500,365.916
1447.999,334.539
1403.769,328.961
1385.839,279.663
1352.741,246.852
1302.268,199.938
1356.572,188.800
1419.917,275.968
1512.231,281.053
1559.505,344.033
1607.012,386.426
1640.659,453.102
1724.441,493.091
1669.082,573.501
1571.458,558.385
1630.333,485.956
1777.163,494.708
1715.331,564.792
1661.024,564.139
1613.884,494.422
1575.513,450.931
1510.012,417.698
1459.606,339.244
1455.876,289.448
1381.794,272.263
1294.680,190.516
1178.887,191.868
1088.522,174.675
986.740,189.262
920.193,181.729
856.270,131.995
910.851,129.566
954.865,97.018
1000.088,80.920
1004.564,109.432
952.477,105.957
925.794,99.401
886.774,147.934
909.406,223.781
1041.488,210.667
1167.849,174.230
1118.323,154.543
1018.166,204.719
921.972,208.781
836.098,142.504
833.698,153.865
786.952,147.327
786.572,151.852
758.773,187.221
860.097,171.129
904.041,145.276
857.011,57.229
840.945,138.049
761.174,187.552
725.463,163.111
699.637,148.374
768.837,195.682
848.612,133.376
981.324,132.618
1098.083,129.318
1185.498,169.090
1222.750,287.668
1291.957,345.209
1349.402,274.590
1360.390,207.570
1243.326,189.653
1141.929,172.606
1057.527,249.207
978.214,243.968
938.088,275.146
871.068,309.254
834.593,266.640
869.473,196.149
920.253,219.439
1060.930,213.179
1129.481,314.332
1153.401,421.344
1218.921,484.423
1350.307,438.782
1448.557,405.056
1483.380,369.554
1414.193,294.467
1344.606,227.741
1280.767,201.596
1207.789,178.759
1144.167,238.817
1205.259,275.748
1258.052,325.315
1299.276,442.893
1396.490,532.739
1426.715,620.311
1514.999,685.590
1602.993,721.086
1649.838,666.615
1607.899,664.461
1528.017,700.626
1467.507,662.446
1435.400,592.681
1471.814,514.464
1492.674,410.550
1456.695,325.936
1380.925,260.493
1273.492,242.347
1176.863,195.065
1105.590,153.073
1018.758,201.385
896.055,144.974
884.699,128.175
883.707,61.509
941.290,162.885
976.137,256.949
987.948,348.868
952.817,431.918
861.228,469.249
820.371,427.689
896.259,338.315
951.193,397.802
967.266,432.186
971.996,449.460
1020.416,473.788
974.661,434.710
903.141,476.775
814.401,505.726
720.787,460.835
609.114,441.814
521.978,374.814
498.215,289.169
497.451,279.763
571.055,295.938
636.691,272.380
723.615,212.592
805.587,142.673
861.969,133.717
983.762,178.956
1071.125,221.239
1166.247,183.223
1168.540,127.403
1033.831,183.973
923.938,248.462
846.542,199.508
852.551,132.074
782.315,208.262
719.914,192.751
671.007,162.891
616.948,158.943
580.793,255.885
527.230,203.479
528.649,244.957
525.863,293.906
626.655,309.519
728.422,328.883
852.093,392.200
916.515,509.801
1010.140,582.761
1059.549,522.370
911.647,591.607
797.883,629.952
680.285,587.045
574.540,555.135
460.756,550.980
315.454,491.940
291.342,594.134
345.015,639.955
303.224,738.016
221.654,772.406
185.732,804.892
172.619,914.091
126.860,959.285
118.348,994.759
105.257,1018.445
173.327,1131.316
148.532,1192.999
149.463,1286.162
157.265,1339.570
169.266,1368.958
101.676,1411.854
258.205,1413.901
419.908,1442.992
538.662,1352.083
666.387,1289.766
766.051,1176.365
957.539,1040.229
1167.233,997.041
1275.881,1016.474
1368.170,1002.655
1447.337,1049.182
1579.453,1084.892
1575.738,1216.606
1632.374,1260.451
1697.821,1178.568
1775.883,1090.258
1757.464,968.749
1752.236,857.614
1655.981,807.584
1590.415,683.708
1630.126,542.492
1697.241,404.385
1493.207,305.781
1428.510,249.374
1330.662,184.604
1238.465,139.844
1162.996,171.511
1172.099,296.280
1210.709,393.689
1218.061,432.110
1141.797,398.920
1020.087,445.994
850.050,462.911
746.712,407.737
652.343,433.366
660.904,538.368
723.637,513.230
747.710,356.402
715.367,271.608
678.387,208.344
638.537,198.062
576.840,295.060
490.745,375.254
394.941,386.683
349.772,380.219
318.433,376.796
350.722,400.780
377.140,378.456
460.431,402.655
584.950,328.597
589.346,248.609
611.437,199.711
775.088,193.660
864.585,132.799
961.192,140.621
1157.677,173.386
1305.717,245.825
1432.568,303.442
1533.742,411.767
1662.267,445.413
1699.082,498.307
1767.221,619.588
1870.767,692.093
1809.917,760.672
1851.040,902.407
1912.503,1053.639
1867.057,1144.846
1807.262,1268.752
1751.074,1353.719
1698.442,1510.206
1740.679,1543.040
1647.710,1615.358
1510.986,1713.245
1402.424,1636.192
1418.534,1442.401
1309.529,1328.328
1154.971,1310.625
978.270,1366.377
845.817,1345.297
770.156,1374.167
651.603,1356.589
680.653,1274.794
772.065,1247.915
861.992,1101.542
926.907,1039.108
1023.186,934.211
1121.918,852.368
1229.545,806.256
1374.082,777.002
1525.479,732.849
1653.688,706.353
1686.601,642.768
1596.056,579.395
1453.686,529.700
1377.076,546.119
1304.646,561.229
1365.198,590.474
1310.459,536.839
1165.662,560.583
1039.314,666.625
991.154,752.339
870.281,748.390
806.888,629.094
829.130,535.058
845.242,406.062
864.959,329.778
843.382,262.688
694.722,270.033
624.223,214.292
695.266,167.767
838.641,179.867
890.389,128.080
1005.777,90.850
1173.940,94.296
1168.587,217.435
1181.870,353.958
1192.062,474.222
1350.642,481.951
1472.148,450.025
1558.828,379.426
1643.818,363.432
1686.210,503.219
1779.775,554.401
1773.917,649.269
1829.004,784.957
1860.777,949.035
1872.673,1083.602
1856.132,1209.089
1765.890,1329.891
1693.415,1423.130
1630.657,1545.023
1491.886,1551.122
1432.146,1515.934
1353.054,1598.963
1357.575,1690.135
1319.518,1771.313
1099.143,1756.502
919.063,1761.755
716.636,1884.861
608.100,1893.743
392.542,1771.015
354.884,1673.094
235.885,1591.819
170.155,1495.845
148.462,1450.958
130.895,1360.587
113.008,1223.556
65.097,1109.300
92.463,1011.822
126.624,872.196
174.372,782.783
142.499,739.935
158.132,664.113
237.227,560.607
414.303,532.702
454.232,626.655
559.335,561.829
632.175,408.526
692.242,302.321
786.490,208.391
911.448,231.064
1061.682,238.343
1218.383,228.203
1344.597,252.146
1237.313,168.005
1084.141,128.773
928.422,168.856
877.457,90.379
909.231,47.614
1108.710,110.680
1141.367,199.188
1307.351,224.783
1481.791,320.307
1580.708,301.500
1366.342,209.583
1223.211,176.199
1110.013,129.287
972.777,155.620
880.351,155.465
746.297,233.214
661.704,193.902
613.522,190.654
497.042,256.204
387.644,346.726
340.558,413.467
288.288,457.277
210.108,492.255
240.978,613.198
148.447,618.903
145.118,628.902
209.799,588.561
268.305,547.132
419.429,515.823
546.813,409.459
639.396,329.767
671.491,247.701
670.516,183.098
788.340,199.054
958.096,221.085
1133.245,249.502
1282.573,243.211
1392.894,271.532
1419.495,204.707
1273.130,149.989
1113.619,147.143
1028.238,134.621
928.809,138.704
914.223,112.389
771.842,162.988
867.732,63.343
1027.102,144.083
1190.043,162.544
1331.227,251.701
1446.780,272.006
1543.495,316.373
1658.362,358.594
1493.583,440.676
1348.992,344.195
1198.994,345.021
1054.994,379.417
894.528,343.846
743.373,332.647
681.321,267.660
550.228,232.402
472.352,298.474
368.392,404.511
253.363,465.921
211.427,554.372
149.221,667.646
123.435,789.463
96.808,957.966
56.438,1065.817
115.851,1227.153
127.444,1325.177
159.654,1468.142
272.629,1565.635
351.630,1694.278
447.478,1769.502
546.093,1835.113
670.770,1833.763
844.359,1909.760
910.067,1939.364
1057.222,1953.176
1219.983,1859.188
1336.334,1723.561
1487.666,1594.083
1653.403,1454.531
1659.157,1344.560
1722.778,1218.959
1775.417,1056.745
1761.197,871.262
1704.495,721.322
1667.263,570.321
1603.291,419.981
1438.221,303.498
1386.752,202.039
1257.598,263.364
1097.416,264.917
931.359,204.927
736.299,141.039
558.685,197.235
487.219,248.179
352.882,335.346
317.834,370.996
252.613,436.911
193.454,511.252
140.458,604.660
187.369,725.551
96.532,788.902
85.019,810.247
99.271,909.198
86.885,984.654
69.459,1117.498
108.124,1307.973
178.323,1412.406
196.228,1483.096
279.701,1561.391
369.647,1671.445
434.934,1784.008
583.786,1871.353
717.050,1945.644
861.430,1947.526
992.415,1860.730
1116.068,1841.175
1224.214,1781.383
1321.953,1832.547
1090.607,1826.890
891.485,1827.452
762.766,1900.673
648.818,1886.060
526.960,1795.521
363.679,1691.223
278.585,1583.345
251.192,1415.445
172.900,1411.561
172.354,1406.526
161.884,1321.471
131.933,1221.268
121.155,1016.046
106.756,866.450
135.861,746.423
156.766,598.666
155.534,577.601
142.399,611.711
177.320,715.772
57.057,889.496
42.849,972.934
81.039,1240.660
162.352,1422.063
241.950,1576.194
383.307,1750.308
582.022,1896.080
764.902,1923.363
986.878,1964.782
1225.888,1945.145
1382.585,1767.325
1463.023,1621.687
1571.944,1482.995
1620.064,1290.364
1694.400,1166.308
1767.587,1129.566
1735.483,1286.680
1735.017,1490.567
1553.861,1627.358
1428.788,1817.306
1206.474,1880.685
965.972,1892.707
832.089,1853.731
681.872,1764.260
513.089,1802.683
291.398,1637.188
230.935,1552.563
194.165,1438.278
108.852,1294.875
71.939,1111.950
84.062,789.670
160.721,573.220
280.873,443.028
401.231,293.690
540.976,181.511
683.222,141.617
804.561,89.267
970.935,175.136
1185.305,229.306
1236.316,137.387
1029.725,102.958
936.292,107.693
899.752,86.505
696.542,159.965
694.482,121.883
769.716,87.088
577.694,217.039
426.760,263.270
363.059,374.980
282.264,471.241
160.501,657.759
76.634,811.713
57.778,1014.225
75.151,1212.306
137.147,1383.887
183.194,1533.124
263.518,1648.002
368.700,1758.147
469.703,1839.692
401.400,1734.189
274.110,1583.238
159.841,1479.729
160.395,1415.750
106.664,1272.049
66.704,1129.644
71.505,979.306
163.221,895.237
119.351,801.008
58.337,892.103
110.238,923.458
88.071,1026.781
77.929,1201.421
96.927,1330.631
177.999,1530.635
282.845,1623.090
395.333,1790.434
478.059,1843.442
638.878,1880.791
737.269,1961.213
889.220,1921.653
1090.278,1836.977
1236.208,1765.730
1179.362,1597.027
1021.744,1505.585
862.472,1438.308
736.944,1517.258
677.649,1621.637
581.194,1632.732
522.719,1494.796
387.259,1492.093
287.177,1451.297
159.319,1373.407
94.685,1199.997
66.230,1016.315
71.024,803.706
214.398,492.177
196.251,618.312
154.676,789.128
86.117,981.219
60.369,1127.987
68.234,1261.270
114.606,1364.674
185.307,1446.013
214.387,1586.481
328.243,1703.241
441.051,1803.342
574.788,1891.412
721.213,1943.025
922.826,1953.012
1028.648,1981.714
907.553,1946.377
773.360,1909.453
554.915,1886.294
384.619,1779.226
296.617,1694.077
194.338,1535.229
126.356,1400.519
91.715,1261.499
83.634,1056.849
53.484,1074.039
79.594,1275.212
218.964,1534.208
358.832,1724.003
479.871,1812.179
607.023,1867.310
601.231,1867.816
356.653,1703.515
205.967,1549.283
126.246,1363.062
80.535,1195.259
60.655,1014.934
61.514,847.573
79.728,802.873
46.317,934.903
76.431,1069.257
86.311,1252.040
200.191,1449.039
251.516,1594.901
343.861,1695.534
435.586,1809.824
560.125,1885.948
647.761,1783.209
487.961,1674.918
294.257,1560.178
138.429,1369.177
73.671,1089.623
115.089,884.934
148.323,692.533
195.827,549.511
258.854,431.620
312.556,361.597
257.093,445.420
131.753,655.805
120.093,807.013
90.167,933.075
74.206,1059.112
73.264,1197.075
175.332,1411.998
302.664,1505.818
400.374,1591.883
422.105,1515.714
280.203,1363.335
224.135,1193.182
146.095,1036.088
136.854,850.278
119.444,693.350
181.035,562.646
301.090,428.258
443.356,295.076
693.659,134.101
794.394,89.017
940.695,203.362
1103.779,135.826
1159.895,320.359
1298.564,266.030
1216.338,223.147
1098.433,140.712
925.675,105.183
860.614,100.047
1023.280,105.167
1213.563,112.425
1316.027,292.513
1510.151,403.382
1603.962,581.762
1698.503,755.315
1729.772,889.535
1772.833,1083.770
1804.986,1257.796
1819.816,1461.346
1649.300,1523.498
1435.615,1548.730
1270.885,1527.023
1143.696,1619.322
1132.151,1739.003
1002.546,1813.870
826.286,1890.583
701.526,1907.073
447.622,1801.261
251.424,1631.317
165.192,1446.028
76.963,1209.057
58.128,1022.571
64.348,830.019
108.120,707.375
233.556,511.857
350.156,357.571
482.312,235.451
624.669,142.319
732.331,106.080
873.378,115.839
1054.217,97.245
1217.371,134.766
1017.156,120.729
765.439,101.549
722.983,121.696
624.655,137.836
449.478,240.570
347.502,328.073
213.849,487.559
163.652,599.665
80.371,747.308
55.496,945.606
66.846,1153.498
118.721,1290.496
143.341,1374.269
144.219,1454.875
137.575,1336.325
160.650,1200.209
101.840,1045.566
113.928,814.664
230.209,620.983
317.215,426.894
349.793,328.827
606.713,222.085
743.358,140.327
976.035,60.038
1138.783,117.276
1199.548,148.984
1041.164,220.929
923.017,112.959
986.924,96.991
1115.079,76.607
876.364,109.055
666.840,133.658
730.671,114.980
1010.348,144.199
1068.566,85.764
948.187,111.472
748.601,123.447
579.487,165.331
523.729,217.090
405.319,299.133
264.300,447.116
195.217,587.308
91.845,709.726
90.188,904.337
75.222,1084.651
95.320,1281.065
126.318,1428.274
191.902,1562.580
294.506,1689.614
336.894,1722.206
248.034,1619.307
139.285,1464.690
72.441,1183.336
95.740,1066.619
51.394,1032.850
61.608,1204.868
82.640,1265.408
117.338,1083.594
60.790,1038.235
86.739,914.219
88.728,760.930
