trajectories1,trajectories2
1025.930,1919.509
1049.767,1843.748
1154.102,1881.971
1197.286,1846.268
1159.649,1806.813
1096.457,1795.642
1086.918,1855.562
1153.242,1861.740
1155.297,1802.945
1065.239,1815.977
1013.200,1844.044
1017.193,1812.640
1031.189,1779.012
1072.808,1762.254
1148.253,1789.909
1201.266,1812.909
1196.726,1743.648
1173.022,1755.753
1148.868,1816.705
1206.248,1832.411
1224.092,1795.278
1208.179,1752.165
1251.173,1736.733
1282.032,1779.169
1303.620,1794.840
1323.228,1760.355
1355.343,1781.462
1373.308,1757.429
1328.108,1730.368
1342.142,1788.181
1384.654,1803.637
1406.776,1735.772
1393.560,1708.565
1348.292,1726.460
1351.643,1748.418
1409.611,1740.997
1445.343,1707.450
1415.972,1683.781
1476.436,1662.848
1503.322,1716.610
1550.015,1728.966
1534.758,1658.326
1510.315,1673.623
1471.277,1615.008
1594.922,1733.018
1532.046,1766.190
1368.974,1820.332
1230.362,1858.594
1116.113,1869.422
1040.485,1866.565
991.269,1855.560
973.205,1842.296
897.011,1843.088
841.829,1810.139
789.832,1716.517
801.160,1663.508
904.637,1650.283
976.528,1677.928
1054.022,1670.968
1050.482,1603.361
1081.306,1543.913
1220.734,1514.910
1325.846,1494.965
1402.863,1424.711
1463.799,1337.960
1597.241,1325.792
1660.465,1226.099
1672.808,1129.791
1670.852,1056.144
1593.073,1143.580
1605.473,1233.742
1607.301,1282.112
1672.902,1330.648
1653.311,1401.884
1622.823,1479.734
1746.200,1468.249
1660.715,1390.622
1610.293,1421.471
1588.361,1521.808
1617.522,1603.178
1544.750,1637.961
1528.304,1713.420
1437.118,1692.207
1415.406,1643.048
1591.486,1543.320
1675.415,1530.777
1708.303,1585.613
1582.245,1675.400
1512.987,1735.182
1417.782,1864.941
1281.236,1839.833
1152.624,1774.147
1080.545,1779.039
1055.660,1819.562
1084.338,1861.288
1116.875,1842.129
1137.304,1748.073
1093.649,1738.119
1048.588,1735.490
998.049,1754.587
985.391,1839.318
1031.022,1835.563
1050.005,1759.691
1044.000,1702.496
1142.377,1660.887
1226.435,1607.448
1258.221,1521.780
1337.458,1381.343
1357.201,1297.321
1358.291,1253.584
1472.163,1268.963
1671.588,1217.011
1778.895,1141.585
1869.868,1216.788
1855.749,1302.203
1770.875,1364.492
1714.503,1433.122
1669.978,1535.039
1600.895,1553.864
1478.345,1619.725
1424.722,1726.482
1398.905,1798.023
1269.223,1776.922
1205.421,1818.838
1135.414,1831.397
999.604,1873.112
930.558,1823.310
788.595,1783.185
730.689,1743.608
790.314,1608.173
823.188,1557.938
1077.209,1495.759
1167.398,1438.613
1206.666,1379.884
1214.515,1319.245
1321.893,1274.452
1405.301,1286.827
1495.566,1258.366
1557.235,1220.554
1714.354,1169.729
1739.692,1372.726
1656.900,1361.758
1663.416,1284.204
1871.892,1117.507
1902.285,1319.609
1807.996,1565.103
1658.283,1641.390
1537.475,1714.558
1401.952,1789.099
1303.544,1799.569
1215.248,1841.835
1126.169,1852.403
1063.168,1886.916
961.737,1895.912
872.059,1833.246
853.761,1773.851
828.511,1691.432
822.685,1661.616
801.076,1617.251
760.888,1614.906
744.479,1652.757
761.594,1698.010
785.186,1697.739
799.546,1688.478
836.672,1689.574
871.100,1703.354
907.299,1741.191
898.265,1785.575
877.833,1790.481
868.818,1768.219
874.004,1716.643
887.019,1685.168
911.807,1644.610
876.386,1593.924
855.451,1582.910
842.063,1555.177
863.901,1532.363
881.315,1519.459
916.145,1461.016
940.246,1437.950
1024.406,1424.428
1088.002,1451.147
1143.293,1443.609
1164.838,1386.364
1199.008,1340.964
1282.956,1336.274
1355.326,1348.396
1413.852,1327.945
1473.117,1289.724
1535.936,1323.670
1554.931,1425.784
1500.021,1460.213
1464.405,1514.521
1478.210,1569.091
1415.982,1586.371
1390.034,1626.147
1374.200,1589.162
1433.201,1541.325
1483.517,1482.064
1525.210,1463.489
1599.996,1460.435
1653.377,1494.976
1578.139,1564.614
1515.877,1558.038
1461.073,1542.726
1421.420,1580.718
1420.026,1616.656
1464.230,1634.744
1508.357,1631.199
1571.383,1656.564
1555.536,1574.712
1523.997,1537.882
1472.121,1554.470
1445.924,1602.744
1390.353,1659.141
1362.752,1713.454
1394.889,1756.609
1442.680,1714.616
1409.655,1673.662
1326.720,1665.047
1289.719,1649.114
1211.775,1652.165
1176.218,1667.320
1075.526,1646.096
1012.004,1685.943
1000.680,1770.782
927.716,1816.559
898.149,1746.013
901.135,1695.536
918.778,1650.161
947.536,1599.436
951.309,1544.717
999.493,1481.231
1074.628,1453.088
1126.979,1421.867
1178.435,1376.592
1230.205,1338.766
1282.367,1300.245
1378.806,1304.640
1428.562,1275.718
1508.835,1281.411
1561.424,1266.085
1593.744,1241.097
1653.950,1263.628
1667.491,1330.672
1643.226,1364.676
1585.932,1372.965
1537.681,1409.302
1488.070,1402.973
1455.420,1393.513
1423.593,1340.578
1475.310,1313.562
1532.953,1313.507
1589.136,1348.887
1639.248,1343.671
1690.823,1362.208
1685.061,1419.519
1616.619,1444.349
1547.219,1414.311
1493.803,1382.273
1454.399,1354.358
1391.698,1364.601
1353.020,1369.396
1323.639,1427.923
1345.556,1478.198
1311.927,1524.937
1298.498,1571.356
1329.752,1609.603
1397.147,1606.399
1442.358,1640.769
1476.969,1601.458
1504.831,1554.981
1435.110,1545.740
1403.579,1533.797
1379.680,1490.637
1383.487,1446.632
1413.276,1394.898
1455.590,1370.395
1489.833,1342.394
1511.910,1308.705
1530.567,1297.896
1541.125,1243.017
1534.279,1207.341
1515.733,1228.912
1481.180,1251.225
1484.643,1288.724
1543.260,1334.131
1576.064,1362.166
1634.809,1341.532
1680.575,1317.908
1664.511,1300.505
1617.190,1304.928
1574.743,1286.152
1543.371,1265.326
1480.737,1251.063
1451.769,1226.690
1432.238,1168.325
1431.459,1122.849
1436.712,1054.439
1421.522,1019.636
1421.943,971.040
1402.549,926.307
1376.912,877.263
1326.684,841.704
1283.209,842.033
1213.829,843.112
1141.571,836.614
1090.679,812.887
1022.426,780.481
975.117,716.097
990.591,648.936
1054.045,639.208
1104.313,615.175
1170.087,659.705
1217.335,735.483
1231.103,805.329
1228.141,826.652
1244.424,876.961
1233.546,933.758
1173.191,945.943
1132.701,875.403
1172.908,771.280
1254.775,714.525
1324.640,700.132
1386.223,663.870
1438.135,675.118
1461.003,707.933
1417.880,746.125
1370.491,759.774
1318.028,758.619
1241.461,756.252
1169.053,767.989
1134.499,783.234
1065.267,791.598
982.930,737.319
968.907,660.549
1021.042,633.426
1095.723,608.824
1181.295,628.543
1255.961,623.443
1301.472,630.062
1342.896,633.762
1380.835,655.132
1392.507,679.782
1401.930,742.949
1428.638,784.084
1426.715,832.495
1430.377,863.187
1389.039,911.835
1321.632,908.460
1289.160,839.287
1299.994,784.434
1340.874,770.489
1414.528,798.284
1453.226,848.141
1427.519,909.963
1364.183,912.964
1309.518,894.304
1266.004,910.771
1308.988,975.821
1393.634,992.277
1471.121,1024.149
1528.449,977.843
1570.877,960.850
1551.078,1008.253
1491.981,1030.229
1445.594,1000.559
1425.055,927.435
1420.164,861.151
1428.147,813.215
1477.995,758.632
1541.883,746.619
1585.725,754.891
1613.756,789.353
1560.348,781.986
1537.015,734.030
1499.620,676.203
1443.531,637.235
1408.304,643.540
1332.131,640.584
1278.607,670.494
1265.141,715.168
1292.203,761.561
1305.076,850.008
1293.574,908.486
1272.610,992.047
1309.544,1066.248
1308.098,1135.447
1306.941,1198.507
1322.137,1249.009
1376.074,1335.082
1456.249,1389.900
1499.609,1365.996
1493.348,1320.783
1429.530,1351.155
1382.735,1362.871
1318.230,1391.812
1326.303,1476.602
1398.111,1522.459
1455.447,1513.204
1511.057,1459.305
1544.950,1426.190
1482.736,1415.565
1403.135,1457.879
1333.156,1467.311
1274.017,1497.058
1236.832,1541.939
1169.412,1578.691
1139.567,1611.769
1192.818,1664.528
1268.920,1666.945
1333.607,1695.209
1362.086,1639.662
1441.474,1567.899
1509.511,1551.576
1554.400,1503.065
1574.013,1418.198
1489.657,1370.311
1430.390,1347.524
1360.437,1269.571
1267.931,1207.189
1232.943,1141.509
1127.666,1125.609
1057.231,1109.371
947.064,1066.858
849.902,1007.246
903.950,985.320
995.872,984.102
1086.279,932.550
1161.437,857.978
1244.141,830.348
1281.771,816.449
1335.548,818.675
1366.577,842.111
1386.328,888.789
1482.055,939.990
1516.007,1012.961
1508.756,1061.157
1493.355,1118.621
1442.754,1154.585
1389.109,1221.179
1355.650,1275.238
1380.723,1339.542
1438.241,1400.655
1471.364,1356.539
1469.743,1270.702
1490.231,1207.241
1510.843,1139.542
1547.737,1090.588
1597.148,1060.730
1648.963,1064.952
1715.676,1016.345
1616.661,976.668
1573.050,932.941
1539.706,893.582
1492.007,868.558
1435.457,832.131
1400.252,830.703
1334.733,819.928
1285.525,775.832
1221.518,781.258
1155.410,739.974
1081.110,734.570
999.382,752.690
977.759,788.681
915.707,850.196
873.099,888.209
873.147,980.913
949.719,979.500
1021.713,910.409
1061.788,871.499
1159.104,801.314
1194.248,759.858
1274.527,753.608
1316.871,776.663
1358.972,837.114
1389.393,889.209
1410.042,955.008
1463.044,1002.458
1486.370,1102.733
1478.619,1186.312
1448.438,1263.004
1399.626,1352.137
1338.685,1383.841
1280.474,1347.100
1302.003,1280.965
1312.302,1209.270
1364.291,1144.644
1436.593,1121.968
1487.113,1199.500
1510.833,1300.321
1518.038,1359.796
1504.808,1406.161
1457.176,1495.626
1455.628,1548.076
1393.707,1597.591
1347.506,1669.402
1272.767,1667.044
1221.735,1618.999
1295.519,1529.813
1311.396,1450.750
1437.640,1451.868
1512.322,1436.405
1541.567,1552.569
1590.058,1632.161
1637.985,1625.277
1575.251,1539.480
1513.313,1529.899
1410.314,1494.167
1357.835,1455.286
1289.030,1379.860
1220.072,1363.584
1163.948,1375.648
1084.331,1429.202
1022.699,1511.126
1006.077,1622.579
961.671,1693.547
928.010,1768.193
932.354,1816.950
988.220,1792.714
1009.668,1732.744
966.329,1659.941
957.562,1613.800
997.947,1556.580
1035.156,1493.882
1039.286,1440.508
1018.373,1366.942
1058.816,1320.143
1088.608,1242.094
1137.418,1206.629
1205.758,1251.969
1268.391,1305.625
1395.013,1329.992
1453.210,1314.225
1525.365,1253.530
1534.263,1204.493
1512.302,1122.219
1585.911,1045.074
1627.053,994.413
1608.192,929.064
1548.060,902.228
1471.615,902.474
1422.662,926.761
1303.227,905.013
1191.510,859.457
