trajectories1,trajectories2
620.446,454.152
686.018,369.901
698.969,339.451
657.807,242.300
621.444,198.340
636.227,187.162
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
724.889,153.060
759.589,142.304
807.933,130.542
nan,nan
nan,nan
767.386,158.790
nan,nan
719.069,149.281
nan,nan
nan,nan
833.935,169.000
883.415,194.823
905.144,205.140
937.364,232.381
881.176,171.997
nan,nan
802.424,159.423
779.287,191.263
807.341,263.242
849.415,345.019
873.036,376.934
907.574,427.491
993.455,439.699
1071.478,451.040
1171.166,463.320
1239.870,467.774
1349.195,515.844
1398.201,570.926
1369.868,622.807
1332.054,667.020
1222.506,692.538
1148.164,673.856
1012.633,681.715
966.575,616.469
930.997,531.300
902.847,473.203
903.216,391.852
nan,nan
nan,nan
1156.480,306.805
1231.782,301.859
nan,nan
nan,nan
1355.076,598.333
1305.296,780.310
1372.616,882.192
1451.150,957.523
1449.473,1098.182
nan,nan
1352.357,1224.218
1267.668,1269.366
1173.929,1262.861
1103.645,1228.634
1022.107,1186.826
885.817,1171.169
775.939,1205.570
680.349,1236.842
603.195,1258.821
484.920,1186.367
464.454,1080.930
471.776,997.900
nan,nan
329.973,791.753
nan,nan
444.955,580.267
546.899,569.251
631.300,571.966
703.994,569.848
831.299,735.564
856.913,836.282
876.708,979.598
nan,nan
nan,nan
877.132,1216.775
854.857,1297.712
708.507,1379.665
549.438,1436.709
441.362,1463.057
266.897,1368.692
198.311,1269.954
146.272,1116.969
163.910,907.081
211.308,859.543
242.381,749.557
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
129.588,981.028
162.002,1018.374
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
642.995,871.236
769.405,906.041
773.051,925.730
872.469,989.848
1003.708,1121.801
1042.490,1223.541
913.405,1381.232
817.288,1427.053
692.508,1443.623
550.988,1315.275
483.000,1189.465
469.580,1045.407
477.425,935.459
499.302,893.417
566.943,808.045
630.810,731.307
644.980,575.900
698.217,445.822
nan,nan
1034.613,418.342
1135.305,478.754
1283.189,590.060
1363.789,658.233
1403.099,862.586
1249.156,990.072
1155.711,1029.463
995.629,1157.306
880.656,1199.176
782.920,1245.836
665.620,1132.077
558.379,1097.396
365.339,1056.903
258.457,1049.058
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
145.138,1273.127
156.852,1143.125
146.328,1030.008
140.843,863.222
159.234,753.235
266.239,717.235
nan,nan
469.798,719.280
637.769,809.938
782.568,856.273
831.436,1007.658
839.881,1069.847
846.769,1168.477
841.737,1233.857
893.938,1380.726
nan,nan
831.819,1575.011
840.652,1731.430
845.148,1851.535
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
208.900,1425.909
211.254,1291.590
223.054,1133.754
207.171,1049.419
271.151,866.191
388.460,783.134
521.374,823.300
652.443,921.744
726.009,990.141
820.941,1066.510
903.348,1134.817
977.063,1202.922
1084.863,1260.783
nan,nan
1147.006,1500.323
1189.429,1583.921
nan,nan
nan,nan
1244.047,1873.630
1250.887,1924.739
1243.005,1921.702
1210.755,1905.786
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
1165.871,1931.438
1065.611,1879.618
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
1502.769,1673.210
1512.416,1709.621
1500.730,1735.911
1499.805,1750.475
1540.705,1720.098
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
1748.349,1606.774
1733.330,1576.610
1695.790,1523.701
1647.720,1468.149
1713.564,1396.704
1790.205,1316.573
1855.288,1237.650
1916.275,1287.487
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
1256.137,1916.333
1172.809,1901.165
1039.355,1852.330
938.108,1797.138
901.833,1662.039
973.711,1603.132
1044.710,1561.557
1122.302,1586.697
nan,nan
1281.939,1822.157
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
1160.976,1885.245
1197.538,1811.888
nan,nan
1411.046,1809.412
1498.658,1740.574
1564.843,1687.000
1697.421,1599.067
1705.854,1585.073
nan,nan
nan,nan
1500.282,1812.375
1354.388,1852.638
nan,nan
1106.045,1889.327
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
428.718,1734.543
376.126,1634.732
300.772,1553.052
nan,nan
169.321,1355.827
147.654,1262.057
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
1081.937,166.459
nan,nan
nan,nan
923.793,339.194
809.662,415.812
819.509,521.441
849.041,654.634
928.611,717.393
1041.656,745.753
1134.983,766.575
1276.432,834.072
1360.248,905.395
1339.548,1046.218
1273.408,1100.616
1280.795,1111.085
nan,nan
nan,nan
1132.895,1139.252
nan,nan
981.196,1115.282
nan,nan
958.959,901.484
972.360,763.032
923.887,721.623
847.482,679.745
764.017,686.260
622.484,721.472
533.211,725.413
422.515,609.226
463.882,507.688
522.823,425.988
515.090,346.218
484.933,317.400
489.238,294.748
608.382,265.758
632.320,190.063
nan,nan
nan,nan
nan,nan
690.476,229.469
617.885,282.584
nan,nan
