trajectories1,trajectories2
1214.281,70.920
1175.383,84.055
1068.099,145.267
985.172,235.443
915.945,232.781
870.766,237.114
814.618,240.525
837.533,176.756
877.286,166.651
921.919,97.084
900.798,55.637
834.816,105.853
789.233,145.098
766.130,186.477
693.026,199.171
668.838,206.226
655.604,212.418
695.990,160.635
692.046,190.576
693.685,240.698
667.766,164.904
626.566,144.182
607.350,231.408
596.343,270.572
601.125,344.819
671.603,348.660
696.604,392.281
756.100,311.408
753.976,305.992
727.837,419.655
800.107,466.850
880.645,493.576
915.095,504.841
967.297,491.935
970.142,499.125
1011.392,504.183
1082.786,484.354
1096.472,445.223
1097.014,387.112
1177.907,325.219
1224.678,366.077
1230.606,388.836
1297.148,379.456
1371.390,380.020
1395.503,345.407
1380.515,243.431
1368.990,172.059
1337.432,131.286
1324.004,118.554
1315.157,152.951
1264.076,138.810
1257.401,137.986
1297.391,91.686
1352.299,151.730
1447.925,149.734
1474.043,180.565
1460.052,307.164
1393.255,379.708
1313.625,352.898
1295.753,284.385
1275.202,242.687
1184.841,196.171
1198.137,110.477
1194.113,108.375
1269.390,125.927
1298.941,90.457
1381.669,101.621
1397.801,109.271
1493.145,188.871
1551.675,204.791
1586.835,222.158
1637.920,277.155
1694.205,307.525
1720.678,378.028
1750.990,477.665
1770.465,578.564
1788.091,644.619
1754.616,714.933
1666.441,731.915
1618.758,819.494
1650.736,885.892
1683.567,937.776
1662.602,922.531
1670.100,910.297
1739.834,954.572
1773.901,883.663
1736.999,813.225
1631.244,805.224
1598.691,684.047
1496.012,628.747
1397.650,560.763
1316.515,448.700
1255.377,361.388
1169.796,285.842
1182.257,291.650
1184.224,280.674
1208.279,175.186
1216.252,79.724
1216.252,79.724
1280.314,123.834
1347.136,121.607
1419.876,147.369
1481.056,170.741
1514.235,180.688
1414.697,148.040
1366.460,104.169
1277.386,84.529
1167.635,61.703
1142.623,47.674
1087.494,50.225
999.085,120.664
949.618,90.444
856.972,59.985
804.202,98.792
765.761,78.864
681.889,111.378
588.930,149.485
505.407,179.901
451.938,223.253
564.622,313.966
631.735,324.868
602.050,363.487
565.852,358.623
575.528,427.689
623.596,523.607
615.259,600.508
635.974,679.271
739.931,626.303
759.316,529.020
836.120,475.936
871.306,408.311
878.409,372.157
873.356,326.605
786.578,204.041
745.106,145.529
765.497,81.720
738.067,85.279
631.489,118.775
560.858,185.707
514.529,227.653
451.545,224.190
388.054,306.935
344.476,355.660
279.253,400.925
235.857,545.328
199.646,545.643
258.416,487.286
348.527,367.559
368.047,294.948
370.677,293.036
359.633,361.038
366.816,366.150
490.854,219.678
612.494,125.079
670.315,104.961
838.442,131.793
942.662,75.017
1100.896,78.287
1176.129,61.116
1268.535,87.282
1309.013,85.646
1461.523,145.744
1499.453,170.963
1587.769,218.387
1589.405,224.111
1666.682,270.309
1811.015,428.526
1839.636,461.642
1840.454,464.912
1831.002,561.177
1903.935,575.635
1905.312,579.424
1780.848,687.899
1727.628,764.452
1795.343,788.468
1856.556,741.294
1875.946,726.242
1865.744,738.444
1861.537,770.857
1815.134,776.490
1784.632,753.064
1787.133,848.249
1696.518,867.276
1785.445,878.638
1823.039,789.403
1874.388,750.101
1906.769,662.208
1904.820,594.805
1887.668,558.182
1825.299,500.130
1801.521,426.883
1593.314,320.870
1582.745,228.500
1534.868,192.927
1460.237,185.178
1398.700,164.528
1380.053,117.926
1344.084,117.658
1271.608,110.689
1247.718,84.688
1251.476,81.203
1196.180,63.512
1183.296,60.295
1158.332,53.326
1103.164,151.512
1159.828,215.945
1123.455,343.376
1118.418,388.819
1112.225,459.613
1156.278,471.033
1123.161,469.651
1175.513,445.005
1257.460,464.753
1320.898,539.984
1380.407,543.058
1490.410,489.737
1534.503,398.306
1585.603,280.085
1582.676,224.362
1578.898,229.551
1574.647,237.334
1610.104,297.697
1655.289,290.260
1686.563,303.849
1657.556,279.388
1638.519,250.850
1645.318,273.499
1653.476,279.388
1618.576,240.431
1619.030,268.969
1629.908,269.875
1638.519,303.849
1702.880,346.883
1759.083,376.327
1798.968,424.797
1783.105,451.070
1780.385,419.361
1716.931,324.234
1703.333,308.832
1633.623,282.554
1585.603,223.840
1553.163,192.882
1424.683,127.976
1331.205,107.906
1212.690,68.640
1111.017,89.999
1071.004,46.279
935.029,136.572
923.799,135.783
823.219,74.178
747.798,105.318
756.941,141.314
665.303,185.514
601.014,158.007
536.381,177.850
429.779,241.571
357.369,376.280
319.860,345.115
349.595,303.830
308.144,368.979
323.015,364.956
317.039,372.030
317.039,372.030
326.351,358.437
320.374,336.245
392.180,324.599
417.570,250.228
448.362,227.692
638.742,126.285
653.762,140.932
675.542,109.008
740.504,79.712
873.432,44.032
913.236,40.276
993.218,31.637
906.852,71.449
877.563,67.318
831.000,76.332
696.194,121.402
654.889,110.135
595.184,155.956
582.417,154.454
679.297,124.407
726.610,100.745
816.731,51.919
843.017,76.708
880.191,55.299
805.595,123.534
756.648,142.105
782.099,123.819
830.401,156.537
842.039,156.583
791.346,141.554
811.624,101.120
817.823,113.262
870.788,102.591
920.111,67.484
993.215,95.186
1032.129,41.697
1172.029,52.670
1177.618,53.599
1198.310,104.262
1260.651,86.432
1316.986,85.702
1391.712,117.670
1489.750,160.874
1566.928,203.087
1673.653,283.477
1725.424,345.307
1761.132,383.408
1823.572,505.689
1801.169,518.459
1856.359,510.263
1893.666,569.176
1957.686,690.224
1976.110,756.502
1990.388,883.994
1989.466,917.593
1961.378,1025.445
1964.697,1105.157
1951.356,1175.956
1949.541,1178.877
1992.996,1215.992
1966.681,1213.383
1963.392,1214.814
1935.454,1203.162
1882.765,1292.817
1830.771,1337.137
1827.032,1393.307
1885.543,1397.522
1888.560,1399.353
1940.578,1363.716
1959.500,1332.183
1974.953,1255.244
1998.290,1208.891
1915.519,1052.003
1916.454,963.633
1936.229,845.386
1972.342,797.677
1976.141,753.593
1971.465,720.895
1950.422,684.693
1909.505,661.629
1899.276,629.515
1897.230,557.988
1837.024,506.021
1797.271,410.843
1739.110,373.766
1648.382,270.145
1602.497,224.602
1594.606,218.471
1591.684,215.843
1579.701,212.340
1483.546,163.292
1400.663,125.246
1374.067,108.021
1297.787,100.723
1166.271,184.480
1076.828,235.800
968.439,227.793
922.822,190.732
905.411,98.751
921.490,81.691
954.192,64.051
933.144,60.669
888.233,93.948
851.754,61.316
868.434,62.000
915.095,77.382
921.215,69.091
937.279,59.382
937.279,59.382
989.429,40.636
954.570,72.600
897.636,61.473
859.061,46.636
833.927,81.218
795.201,127.874
773.948,212.909
718.710,205.650
693.744,197.709
760.759,179.866
724.235,138.042
719.360,138.734
713.367,148.005
770.339,151.333
761.228,101.611
792.069,85.672
922.366,45.825
1006.228,56.220
1073.455,54.834
1121.277,55.527
1132.020,77.010
1187.119,51.716
1094.248,81.514
1034.297,72.852
930.337,37.510
834.000,50.330
791.030,62.457
741.129,83.593
711.673,89.137
631.382,172.605
571.889,164.620
477.778,215.168
410.717,249.774
370.581,297.945
336.283,350.496
299.066,357.065
220.254,454.868
185.957,540.992
128.307,616.169
80.351,744.610
61.409,825.031
36.122,932.143
43.128,992.869
29.993,991.117
44.296,973.016
132.772,1028.748
151.293,952.915
85.714,934.282
37.095,979.110
43.400,1053.114
36.870,1061.436
110.890,1182.349
86.638,1253.920
71.034,1256.029
107.723,1358.953
125.013,1436.989
160.437,1511.651
180.679,1547.505
207.668,1582.516
324.153,1646.813
354.711,1699.601
431.825,1724.329
510.484,1749.812
566.379,1818.610
546.733,1906.629
576.535,1908.137
602.822,1932.503
662.673,1923.291
730.088,1840.459
750.465,1742.540
796.536,1678.366
825.214,1678.115
902.140,1726.228
937.522,1648.709
1010.718,1562.238
1072.674,1564.549
1087.281,1606.995
1108.000,1664.527
1135.629,1747.555
1233.891,1741.371
1272.681,1657.883
1273.296,1574.400
1329.233,1518.097
1309.949,1460.434
1388.961,1443.615
1494.866,1439.878
1550.551,1507.627
1619.735,1551.701
1696.043,1556.265
1691.730,1601.969
1679.899,1593.308
1693.607,1585.669
1737.884,1653.317
1768.759,1637.075
1805.859,1643.193
1744.664,1717.749
1714.831,1739.159
1639.867,1757.129
1620.360,1823.274
1616.153,1813.715
1698.767,1724.248
1783.676,1655.428
1785.588,1660.398
1707.564,1709.719
1723.628,1723.866
1782.528,1672.633
1649.350,1677.526
1608.283,1715.669
1586.286,1732.868
1609.254,1788.904
1530.345,1816.098
1429.155,1728.817
1350.870,1634.801
1351.792,1542.911
1350.024,1432.292
1290.894,1344.675
1312.876,1243.211
1327.305,1163.210
1391.001,1123.000
1471.196,1029.558
1540.884,980.107
1681.854,973.585
1716.453,1041.477
1780.625,1042.538
1856.765,1041.379
1858.723,1070.340
1950.367,1074.976
1982.416,1029.702
2006.317,964.655
1960.615,902.883
1989.964,838.021
1966.237,773.503
1959.498,700.910
1961.908,747.809
1969.648,798.890
1973.327,778.103
1931.781,763.096
1925.193,686.388
1871.872,612.990
1844.197,527.569
1855.609,510.453
1827.893,469.971
1768.113,427.860
1738.495,353.417
1629.579,313.655
1564.569,291.889
1561.815,299.601
1527.996,206.355
1504.810,177.559
1453.696,136.999
1361.830,113.998
1261.274,65.434
1201.552,69.824
1171.990,48.946
1067.736,40.779
988.418,52.566
944.505,38.695
890.756,58.887
892.688,46.245
905.335,58.009
859.177,100.328
874.927,132.958
831.227,221.995
823.764,293.040
813.670,290.143
806.303,303.796
737.243,300.486
669.643,274.514
656.598,272.765
592.584,285.069
543.399,240.928
558.503,176.441
531.968,176.145
505.728,178.801
479.539,253.010
369.369,280.799
337.645,350.152
396.942,423.400
416.148,450.714
426.242,557.880
346.932,621.462
285.111,642.919
252.228,628.420
242.766,502.042
308.988,359.739
336.424,306.765
396.974,259.781
441.441,219.420
459.101,209.014
589.924,186.592
614.284,146.462
630.769,134.549
607.089,138.556
566.289,176.462
592.433,224.074
527.268,261.602
488.565,209.837
531.776,171.022
599.019,161.075
582.241,272.390
530.351,340.061
465.785,404.740
457.619,423.757
388.628,383.841
303.492,420.094
345.237,321.975
402.041,284.736
442.786,295.024
467.584,300.903
520.543,214.410
608.497,199.794
619.175,214.483
607.432,238.638
674.841,272.671
707.427,269.316
792.623,211.766
795.884,107.156
937.961,77.496
1042.950,67.799
1092.021,67.799
1263.768,100.882
1420.839,174.939
1517.246,214.393
1586.395,236.935
1667.136,311.141
1735.086,395.721
1802.516,428.090
1826.699,472.774
1875.663,591.265
1939.472,687.050
1978.802,801.054
1978.129,803.074
1990.248,886.556
1999.000,903.388
1970.523,1038.541
1990.554,1162.494
1987.287,1251.184
1943.624,1317.035
1892.363,1365.514
1858.312,1402.774
1878.831,1457.650
1876.437,1461.044
1863.608,1465.643
1801.021,1472.910
1727.782,1512.616
1638.400,1471.378
1654.072,1374.795
1730.406,1323.254
1707.711,1217.727
1638.097,1210.958
1676.617,1066.235
1699.875,1019.074
1716.442,928.383
1717.902,836.295
1657.233,756.118
1552.503,726.063
1463.508,693.000
1399.616,587.441
1329.406,476.014
1313.901,371.269
1386.667,310.757
1439.786,282.333
1448.597,199.300
1510.655,178.632
1478.806,151.223
1486.875,162.697
1486.450,168.646
1465.855,167.796
1465.855,167.796
1461.821,165.459
1424.028,139.750
1404.706,121.265
1317.018,106.818
1214.556,162.785
1141.720,143.516
1116.124,73.351
1086.091,78.198
1024.085,48.633
951.908,53.964
951.908,42.332
983.879,44.755
1053.635,54.934
1075.918,48.633
1088.513,52.995
1089.481,47.663
1150.033,75.775
1205.257,50.571
1254.183,62.688
1297.296,76.259
1360.270,96.131
1422.275,115.033
1428.572,132.966
1494.453,163.501
1508.016,170.771
1563.724,199.367
1649.950,267.706
1757.974,372.396
1734.395,366.796
1743.926,370.457
1743.926,370.457
1739.591,374.108
1723.532,363.495
1722.587,342.740
1724.949,347.929
1734.868,349.108
1699.208,352.646
1683.149,347.929
1683.149,347.929
1675.200,356.563
1673.769,355.387
1668.973,351.629
1663.300,344.222
1662.062,323.526
1655.597,296.217
1690.735,375.688
1726.879,346.761
1766.575,398.730
1801.131,493.168
1844.119,476.975
1832.516,458.996
1832.516,458.996
1810.826,442.356
1804.053,441.171
1736.911,437.954
1684.114,472.300
1647.805,418.107
1668.531,380.379
1661.264,385.765
1635.251,393.783
1688.956,403.637
1663.601,433.901
1729.190,437.878
1748.283,372.450
1748.113,363.590
1716.209,329.597
1694.515,304.295
1684.605,292.330
1705.789,315.248
1738.628,340.380
1782.187,416.601
1784.766,500.948
1822.543,499.074
1822.543,499.074
1806.599,526.810
1818.717,547.042
1823.710,584.163
1746.958,587.694
1775.741,544.684
1762.651,486.579
1748.457,465.648
1748.970,403.243
1753.752,385.647
1666.780,381.920
1565.953,353.833
1470.926,372.096
1410.351,390.410
1359.456,413.552
1292.555,440.424
1219.857,416.663
1216.036,447.080
1146.650,420.725
1139.815,364.365
1200.300,281.225
1169.934,250.524
1126.284,225.142
1123.778,203.136
1080.069,161.021
1109.142,108.206
1112.133,108.855
1136.971,154.589
1164.204,103.841
1096.260,80.817
1107.575,79.034
1082.154,122.138
1041.448,183.552
1026.902,252.110
1056.777,356.506
1004.888,429.529
962.430,416.597
927.156,380.986
947.656,313.371
