trajectories1,trajectories2
1803.347,698.929
1768.978,647.129
1763.932,624.230
1746.846,613.289
1703.794,596.143
1701.072,587.081
1719.364,661.982
1725.515,662.896
1722.412,647.586
1805.959,695.694
1836.187,703.510
1895.454,714.437
1904.363,712.384
1956.010,767.413
1863.174,696.926
1768.974,747.562
1696.641,763.569
1621.509,735.758
1619.781,724.306
1575.225,705.948
1511.615,741.118
1484.602,759.378
1486.734,756.521
1473.257,758.361
1411.320,785.342
1308.650,736.996
1214.242,661.241
1054.659,440.282
939.631,337.695
829.814,211.598
806.478,157.099
751.461,155.585
703.701,154.582
649.110,142.407
607.126,254.269
595.250,283.203
523.257,250.324
443.059,248.185
362.861,343.335
302.980,418.171
206.743,552.876
152.208,796.629
111.574,1135.531
105.158,1307.655
120.320,1369.634
151.096,1443.504
242.678,1460.174
207.024,1536.610
315.442,1586.312
437.832,1762.779
550.162,1892.338
688.758,1952.649
857.797,1894.743
876.340,1891.409
1084.556,1991.222
1194.887,2011.764
1281.306,1922.470
1338.277,1869.392
1625.432,1838.179
1677.487,1721.450
1693.074,1701.751
1687.518,1674.201
1662.009,1634.295
1640.157,1618.127
1628.790,1612.080
1620.007,1606.993
1595.043,1618.807
1584.623,1608.717
1614.677,1620.883
1696.389,1601.389
1750.143,1516.768
1751.907,1501.368
1771.572,1446.962
1742.038,1402.566
1727.422,1398.149
1704.487,1371.505
1703.691,1302.075
1699.099,1308.029
1572.340,1137.247
1549.119,1151.692
1538.497,1272.858
1498.068,1322.849
1327.682,1349.702
1173.601,1336.493
1069.848,1439.874
999.742,1519.697
872.045,1531.269
710.926,1705.255
698.522,1717.078
717.422,1704.376
705.549,1718.043
686.701,1777.188
706.259,1762.692
973.894,1596.014
1050.388,1713.086
1052.963,1922.480
1035.355,1984.240
1009.715,1974.640
975.617,1889.712
918.918,1936.997
812.319,1964.909
718.223,1971.231
820.783,1869.455
859.538,1802.715
869.040,1782.659
836.653,1710.907
750.347,1702.735
680.287,1626.444
569.394,1484.488
489.831,1369.183
349.484,1287.017
197.248,1264.263
145.560,1272.071
172.660,1271.994
224.936,1281.073
250.087,1330.616
230.921,1425.508
218.853,1519.651
272.116,1573.309
367.157,1517.169
399.183,1507.046
492.958,1475.205
546.117,1458.818
571.486,1480.493
546.933,1515.955
658.904,1595.788
717.748,1731.789
732.618,1888.556
797.644,1942.640
853.648,1990.339
865.300,2000.856
878.080,1991.466
987.458,1977.569
1024.294,1929.870
1131.521,1895.854
1263.583,1812.592
1289.832,1681.386
1293.066,1566.617
1332.815,1368.700
1286.459,1213.792
1259.729,1186.877
1133.281,1100.908
1061.283,983.713
926.368,772.597
906.816,711.705
802.194,557.432
761.913,554.543
665.387,531.991
596.937,515.173
587.979,505.945
450.685,472.147
420.572,475.233
337.629,423.513
267.348,454.196
250.446,534.682
152.587,629.843
141.912,644.072
155.701,748.571
92.538,829.946
211.126,964.894
256.928,1181.958
176.701,1253.438
158.038,1266.649
186.002,1500.873
191.539,1519.978
297.600,1571.487
403.408,1633.193
504.212,1638.977
610.459,1598.390
661.614,1646.291
732.935,1697.254
823.994,1742.258
946.361,1817.609
1068.707,1864.844
1087.002,1865.546
1284.409,1876.083
1455.131,1881.912
1602.774,1829.666
1566.532,1633.441
1603.180,1475.579
1467.210,1236.269
1324.893,1117.738
1154.597,1104.018
997.916,1078.120
793.617,1145.735
736.275,1154.789
658.328,1145.798
608.330,1014.454
554.629,899.029
450.903,722.672
439.913,615.653
406.693,522.556
573.480,162.291
302.110,596.356
289.188,624.583
353.128,700.951
389.847,757.545
405.042,772.919
393.967,800.226
314.343,845.426
197.560,913.231
267.567,1020.260
348.722,1115.259
402.202,1211.434
387.014,1255.239
375.574,1336.953
334.949,1495.097
286.801,1580.371
387.706,1651.692
538.708,1811.201
666.704,1916.956
984.688,1882.923
1259.733,1946.743
1305.394,1906.498
1268.021,1788.016
1315.732,1677.605
1397.313,1558.126
1430.441,1514.012
1473.713,1467.247
1580.670,1349.725
1600.077,1345.283
1605.317,1282.064
1608.586,1237.777
1762.453,1177.156
1828.906,1052.718
1856.192,888.483
1846.188,869.719
1854.690,773.454
1874.833,585.442
1742.330,427.000
1673.221,282.584
1549.552,188.558
1441.545,201.197
1360.261,315.494
1348.814,359.057
1349.040,383.907
1238.359,387.732
1142.594,434.859
1125.339,453.521
1074.891,514.615
940.939,560.152
852.381,582.675
702.116,503.657
594.823,490.477
590.786,497.324
585.562,533.981
592.497,508.935
504.159,576.467
513.572,732.050
502.737,760.455
486.438,878.278
512.553,996.505
518.103,1022.179
527.171,1073.291
479.875,1207.697
471.781,1250.594
436.795,1341.261
447.460,1313.469
552.779,1484.972
670.764,1519.663
753.907,1615.224
835.835,1684.818
878.383,1867.380
1032.902,1952.512
1188.073,1934.045
1354.327,1936.999
1528.709,1904.497
1691.815,1631.831
1892.119,1464.377
1895.098,1290.256
1882.624,1259.225
1739.686,1133.035
1679.471,1066.790
1641.174,952.293
1536.116,767.926
1502.127,632.307
1538.398,468.729
1656.842,455.139
1594.631,293.024
1556.861,182.226
1538.274,171.809
1387.040,123.381
1287.625,120.002
1284.511,259.086
1272.673,291.819
1266.655,336.480
1294.323,532.092
1214.257,725.913
1097.674,769.923
1009.938,912.476
877.758,1165.053
763.287,1354.375
780.063,1548.907
848.930,1639.594
961.192,1693.587
1140.996,1843.137
1245.030,1925.054
1332.719,1905.906
1453.138,1856.494
1500.070,1854.641
1644.571,1785.462
1718.057,1770.021
1704.472,1690.342
1743.376,1614.988
1810.686,1585.957
1855.766,1506.279
1915.049,1517.397
1910.109,1387.070
1978.037,1314.804
1995.327,1215.360
1978.037,1186.330
2010.766,1256.743
1820.991,1207.299
1787.502,1200.436
1718.684,1213.276
1660.833,1138.920
1633.296,1125.982
1552.933,1109.595
1360.108,1057.719
1280.412,980.975
1224.817,943.746
1144.377,865.303
990.300,834.153
882.592,881.560
849.601,889.654
701.652,927.800
668.038,934.063
560.128,849.801
496.623,920.225
362.698,945.919
275.256,971.421
268.313,1080.799
271.991,1100.047
160.805,1125.296
236.480,1244.070
318.271,1341.015
422.091,1579.995
456.395,1687.635
565.347,1755.840
693.692,1833.526
857.447,1898.103
1013.010,1909.833
1027.925,1871.907
1174.764,1859.074
1195.320,1848.040
1256.354,1834.453
1377.050,1867.779
1453.955,1927.708
1525.524,1882.839
1623.774,1847.698
1601.856,1687.374
1617.860,1667.885
1679.585,1643.340
1709.088,1688.852
1717.657,1711.584
1715.895,1711.863
1658.389,1642.108
1566.874,1595.996
1473.111,1629.051
1428.680,1533.001
1446.060,1525.634
1459.701,1558.536
1494.393,1450.297
1492.412,1405.591
1363.934,1448.272
1301.195,1435.622
1204.177,1426.196
1163.359,1405.540
1066.599,1483.330
894.530,1485.030
824.104,1481.275
756.308,1636.969
679.652,1782.483
658.002,1836.274
708.162,1798.351
740.614,1891.071
833.312,1902.017
1007.330,1956.286
1093.050,2004.137
1166.694,1791.299
1158.369,1735.658
1149.598,1720.973
1181.823,1706.468
1183.679,1701.191
1162.375,1723.357
1192.354,1848.221
1270.692,1916.567
1293.880,1953.469
1366.021,1885.673
1488.832,1853.062
1546.373,1791.702
1665.132,1640.178
1812.076,1588.790
1840.284,1593.871
1838.505,1465.079
1843.977,1360.364
1916.793,1333.118
1967.675,1319.902
2002.697,1237.966
2011.287,1212.856
2010.957,1082.022
1943.784,996.544
1965.898,889.084
1881.833,846.696
1757.564,845.477
1711.033,755.426
1687.606,620.640
1677.364,590.624
1671.558,551.777
1739.099,482.916
1758.324,388.342
1765.922,371.040
1696.969,313.431
1606.742,247.836
1557.924,232.245
1529.814,303.876
1522.900,338.467
1500.652,392.964
1572.669,471.695
1583.873,499.955
1465.250,571.059
1383.809,617.530
1337.889,683.916
1303.586,769.618
1164.575,842.897
1060.904,945.443
1046.917,1071.285
1042.783,1192.235
1049.467,1289.102
1184.154,1317.643
1239.171,1331.811
1423.349,1373.641
1436.056,1380.348
1436.500,1348.818
1485.135,1392.317
1601.101,1332.156
1721.484,1301.933
1747.731,1289.753
1777.074,1237.238
1753.800,1223.155
1816.592,1150.672
1882.211,1171.398
1886.566,1143.901
1943.248,1231.676
2014.031,1171.655
1853.959,1213.268
1733.358,1275.783
1634.213,1318.754
1556.066,1319.075
1443.378,1402.970
1414.458,1438.447
1414.912,1530.092
1395.555,1493.453
1578.799,1606.799
1679.337,1593.355
1805.055,1562.286
1835.642,1545.771
1882.252,1466.600
1895.846,1409.286
1892.448,1455.914
1908.955,1527.800
