trajectories1,trajectories2
1803.347,698.929
133.473,1016.737
1763.932,624.230
1746.846,613.289
1703.794,596.143
1701.072,587.081
1719.364,661.982
1725.515,662.896
1722.412,647.586
1805.959,695.694
1836.187,703.510
nan,nan
nan,nan
nan,nan
1863.174,696.926
547.075,222.822
1696.641,763.569
1621.509,735.758
1619.781,724.306
1575.225,705.948
173.298,675.829
1484.602,759.378
1486.734,756.521
1473.257,758.361
1411.320,785.342
1308.650,736.996
1214.242,661.241
1054.659,440.282
939.631,337.695
829.814,211.598
806.478,157.099
751.461,155.585
nan,nan
nan,nan
607.126,254.269
595.250,283.203
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
242.678,1460.174
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
857.797,1894.743
876.340,1891.409
nan,nan
nan,nan
nan,nan
1338.277,1869.392
nan,nan
nan,nan
nan,nan
nan,nan
1662.009,1634.295
1640.157,1618.127
1628.790,1612.080
1620.007,1606.993
1595.043,1618.807
1584.623,1608.717
1614.677,1620.883
1696.389,1601.389
1750.143,1516.768
1751.907,1501.368
1771.572,1446.962
1742.038,1402.566
1727.422,1398.149
1704.487,1371.505
1703.691,1302.075
1699.099,1308.029
nan,nan
1549.119,1151.692
1538.497,1272.858
1498.068,1322.849
1327.682,1349.702
1173.601,1336.493
1069.848,1439.874
999.742,1519.697
872.045,1531.269
710.926,1705.255
nan,nan
717.422,1704.376
705.549,1718.043
nan,nan
706.259,1762.692
973.894,1596.014
1050.388,1713.086
nan,nan
nan,nan
nan,nan
975.617,1889.712
nan,nan
nan,nan
nan,nan
820.783,1869.455
859.538,1802.715
869.040,1782.659
nan,nan
750.347,1702.735
nan,nan
569.394,1484.488
489.831,1369.183
349.484,1287.017
197.248,1264.263
nan,nan
nan,nan
nan,nan
250.087,1330.616
230.921,1425.508
nan,nan
nan,nan
367.157,1517.169
399.183,1507.046
492.958,1475.205
nan,nan
571.486,1480.493
546.933,1515.955
nan,nan
717.748,1731.789
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
1131.521,1895.854
1263.583,1812.592
1289.832,1681.386
1293.066,1566.617
1332.815,1368.700
1286.459,1213.792
1259.729,1186.877
1133.281,1100.908
1061.283,983.713
nan,nan
906.816,711.705
802.194,557.432
761.913,554.543
665.387,531.991
596.937,515.173
nan,nan
450.685,472.147
420.572,475.233
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
211.126,964.894
256.928,1181.958
176.701,1253.438
158.038,1266.649
nan,nan
nan,nan
297.600,1571.487
nan,nan
504.212,1638.977
610.459,1598.390
661.614,1646.291
732.935,1697.254
nan,nan
946.361,1817.609
1068.707,1864.844
1087.002,1865.546
1284.409,1876.083
nan,nan
nan,nan
1566.532,1633.441
1603.180,1475.579
1467.210,1236.269
1324.893,1117.738
1154.597,1104.018
997.916,1078.120
793.617,1145.735
736.275,1154.789
658.328,1145.798
608.330,1014.454
554.629,899.029
450.903,722.672
439.913,615.653
406.693,522.556
nan,nan
302.110,596.356
289.188,624.583
353.128,700.951
nan,nan
405.042,772.919
nan,nan
314.343,845.426
197.560,913.231
267.567,1020.260
348.722,1115.259
402.202,1211.434
387.014,1255.239
nan,nan
334.949,1495.097
nan,nan
387.706,1651.692
nan,nan
nan,nan
984.688,1882.923
nan,nan
nan,nan
1268.021,1788.016
1315.732,1677.605
1397.313,1558.126
1430.441,1514.012
1473.713,1467.247
1580.670,1349.725
1600.077,1345.283
nan,nan
1608.586,1237.777
1762.453,1177.156
1828.906,1052.718
1856.192,888.483
1846.188,869.719
1854.690,773.454
nan,nan
nan,nan
nan,nan
nan,nan
1441.545,201.197
1360.261,315.494
1348.814,359.057
1349.040,383.907
1238.359,387.732
1142.594,434.859
1125.339,453.521
nan,nan
940.939,560.152
852.381,582.675
702.116,503.657
594.823,490.477
590.786,497.324
585.562,533.981
592.497,508.935
504.159,576.467
513.572,732.050
502.737,760.455
486.438,878.278
nan,nan
518.103,1022.179
527.171,1073.291
479.875,1207.697
471.781,1250.594
436.795,1341.261
nan,nan
552.779,1484.972
670.764,1519.663
753.907,1615.224
835.835,1684.818
878.383,1867.380
nan,nan
nan,nan
nan,nan
nan,nan
1691.815,1631.831
nan,nan
1895.098,1290.256
1882.624,1259.225
1739.686,1133.035
1679.471,1066.790
1641.174,952.293
1536.116,767.926
nan,nan
1538.398,468.729
1656.842,455.139
1594.631,293.024
nan,nan
nan,nan
nan,nan
nan,nan
1284.511,259.086
1272.673,291.819
1266.655,336.480
nan,nan
1214.257,725.913
1097.674,769.923
nan,nan
877.758,1165.053
763.287,1354.375
780.063,1548.907
nan,nan
961.192,1693.587
1140.996,1843.137
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
1820.991,1207.299
1787.502,1200.436
1718.684,1213.276
1660.833,1138.920
1633.296,1125.982
1552.933,1109.595
1360.108,1057.719
1280.412,980.975
1224.817,943.746
1144.377,865.303
990.300,834.153
882.592,881.560
849.601,889.654
701.652,927.800
668.038,934.063
560.128,849.801
496.623,920.225
362.698,945.919
nan,nan
268.313,1080.799
271.991,1100.047
160.805,1125.296
236.480,1244.070
318.271,1341.015
422.091,1579.995
456.395,1687.635
565.347,1755.840
693.692,1833.526
857.447,1898.103
1013.010,1909.833
1027.925,1871.907
1174.764,1859.074
1195.320,1848.040
1256.354,1834.453
nan,nan
nan,nan
nan,nan
nan,nan
1601.856,1687.374
1617.860,1667.885
1679.585,1643.340
nan,nan
nan,nan
nan,nan
1658.389,1642.108
1566.874,1595.996
1473.111,1629.051
1428.680,1533.001
1446.060,1525.634
1459.701,1558.536
1494.393,1450.297
1492.412,1405.591
1363.934,1448.272
1301.195,1435.622
nan,nan
1163.359,1405.540
1066.599,1483.330
894.530,1485.030
nan,nan
756.308,1636.969
679.652,1782.483
658.002,1836.274
708.162,1798.351
nan,nan
833.312,1902.017
nan,nan
nan,nan
1166.694,1791.299
1158.369,1735.658
1149.598,1720.973
1181.823,1706.468
1183.679,1701.191
1162.375,1723.357
1192.354,1848.221
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
1665.132,1640.178
nan,nan
nan,nan
nan,nan
1843.977,1360.364
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
1943.784,996.544
nan,nan
1881.833,846.696
1757.564,845.477
1711.033,755.426
1687.606,620.640
1677.364,590.624
1671.558,551.777
1739.099,482.916
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
1529.814,303.876
1522.900,338.467
1500.652,392.964
1572.669,471.695
1583.873,499.955
1465.250,571.059
1383.809,617.530
1337.889,683.916
1303.586,769.618
1164.575,842.897
1060.904,945.443
1046.917,1071.285
1042.783,1192.235
1049.467,1289.102
1184.154,1317.643
1239.171,1331.811
1423.349,1373.641
1436.056,1380.348
1436.500,1348.818
1485.135,1392.317
1601.101,1332.156
1721.484,1301.933
1747.731,1289.753
1777.074,1237.238
1753.800,1223.155
1816.592,1150.672
1882.211,1171.398
1886.566,1143.901
nan,nan
nan,nan
1853.959,1213.268
1733.358,1275.783
1634.213,1318.754
1556.066,1319.075
nan,nan
1414.458,1438.447
nan,nan
1395.555,1493.453
1578.799,1606.799
1679.337,1593.355
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
1852.478,1058.728
nan,nan
1732.670,896.253
1710.328,796.873
1630.464,751.652
1661.932,812.184
1652.545,817.440
1786.006,921.399
1781.939,935.045
1868.545,932.877
1828.652,1030.275
1757.251,1108.902
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
1594.090,1713.991
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
1064.909,1859.367
1045.022,1755.602
941.869,1852.011
920.797,1876.126
1074.827,1841.149
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
1792.132,1494.970
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
1845.423,1251.750
1770.060,1157.343
1705.660,1083.613
1726.686,1077.949
1682.108,977.494
nan,nan
1651.816,885.446
1594.878,869.613
1538.911,769.838
nan,nan
nan,nan
1638.512,616.995
1661.794,617.281
1632.940,537.066
1629.052,523.580
1522.418,646.746
1397.025,583.840
1411.214,590.888
1295.786,533.580
1196.959,465.204
1174.991,440.545
nan,nan
1155.466,291.209
1156.188,283.349
1058.640,301.560
nan,nan
nan,nan
nan,nan
954.057,430.935
835.591,437.728
743.470,418.666
nan,nan
573.587,473.175
485.721,433.223
480.985,554.841
494.878,632.825
516.948,722.193
508.304,738.309
430.361,798.214
356.386,879.631
271.363,968.447
218.085,1064.641
nan,nan
320.407,1168.384
387.968,1201.747
488.700,1246.368
523.627,1254.790
576.516,1285.810
584.369,1328.577
577.611,1437.002
605.006,1418.566
644.374,1539.002
686.783,1646.129
nan,nan
819.425,1751.789
890.776,1781.191
1004.058,1825.844
1110.079,1779.761
1257.498,1781.273
nan,nan
1503.785,1776.342
nan,nan
1652.922,1682.729
1679.886,1507.912
1672.021,1463.464
1666.086,1392.935
1562.272,1231.100
nan,nan
1544.043,1084.860
1561.529,1087.697
1570.091,992.696
1536.113,943.560
1561.305,998.850
1401.031,1033.095
1327.483,1046.001
1329.644,980.010
1258.546,846.921
1224.165,790.643
1196.406,702.169
1240.115,764.441
1151.293,608.901
1148.253,668.865
671.913,689.587
612.056,706.341
735.990,867.882
735.743,892.265
694.043,980.323
775.254,1049.281
772.965,1069.149
726.850,1123.464
