trajectories1,trajectories2
829.072,1841.046
831.420,1866.281
834.980,1872.644
838.199,1874.803
791.844,1856.677
789.467,1858.145
785.990,1808.803
791.065,1755.870
804.859,1721.877
828.280,1689.866
873.800,1723.479
916.456,1740.487
921.760,1741.821
887.571,1766.502
832.433,1762.359
782.834,1764.083
748.593,1825.169
698.853,1794.502
676.441,1786.293
699.678,1712.249
692.440,1749.083
703.946,1753.491
655.194,1785.221
714.307,1834.763
697.308,1914.894
686.442,1946.740
652.853,1921.624
623.364,1824.723
607.233,1742.941
679.926,1703.092
745.217,1657.348
776.935,1638.668
820.332,1620.930
775.191,1642.883
862.557,1672.675
896.842,1572.993
811.501,1510.955
794.275,1504.099
703.590,1574.234
656.022,1615.218
543.278,1597.228
499.243,1659.281
496.917,1737.163
385.792,1777.338
373.672,1646.054
385.302,1617.758
490.377,1593.300
521.292,1516.216
534.352,1498.507
561.492,1441.757
635.788,1458.755
644.525,1458.846
708.787,1401.179
703.904,1396.550
757.610,1377.226
749.488,1428.209
734.012,1461.096
691.278,1520.098
655.859,1541.711
604.833,1461.551
649.336,1403.867
651.773,1384.468
657.399,1381.181
708.818,1427.898
701.778,1430.500
639.687,1475.919
583.250,1442.410
533.825,1366.655
505.984,1303.140
488.178,1237.195
554.190,1227.588
557.762,1106.089
451.417,1073.521
418.603,1051.229
361.882,1048.475
321.222,1125.808
316.541,1088.951
259.868,1149.073
214.551,1180.835
190.477,1258.080
182.804,1314.345
185.664,1326.212
189.809,1334.497
164.867,1388.726
163.472,1401.275
178.824,1376.178
162.583,1432.329
204.327,1472.764
244.294,1502.804
319.770,1474.183
443.093,1479.735
559.856,1519.439
591.004,1530.854
569.062,1596.723
558.361,1628.576
514.571,1656.420
514.126,1648.609
442.797,1611.256
478.383,1530.389
575.113,1505.893
679.991,1479.183
717.440,1430.924
747.728,1374.034
743.303,1348.437
725.797,1308.129
649.696,1322.610
662.022,1242.548
614.877,1218.467
560.040,1192.788
526.214,1176.390
522.258,1173.181
525.644,1108.683
487.886,1033.203
505.620,951.713
556.312,893.797
601.105,821.683
555.661,748.694
536.599,728.719
462.642,722.892
418.022,730.349
354.389,730.897
321.546,739.835
247.624,665.758
259.008,553.897
215.378,495.225
204.089,479.691
191.795,477.727
217.858,479.364
269.716,485.359
336.328,590.180
361.338,641.005
441.253,737.771
524.061,797.543
621.849,805.688
674.414,800.109
732.019,804.391
765.246,811.204
782.625,709.946
775.238,694.572
814.308,700.770
815.609,704.171
866.235,773.577
901.007,839.061
846.332,923.379
798.817,1035.474
763.451,1091.883
712.283,1030.945
662.094,958.909
655.033,964.656
638.549,982.939
578.200,966.799
544.037,949.868
551.778,948.399
564.805,973.493
593.164,1000.313
666.897,1038.313
636.941,1102.600
613.127,1105.962
530.916,1085.959
481.430,1064.999
491.464,979.343
569.078,993.720
660.948,1009.188
732.912,1043.875
812.057,1009.754
874.546,962.811
891.144,959.619
963.798,918.797
970.787,910.349
1063.020,916.539
1090.703,1027.925
1065.553,1124.035
1046.506,1205.732
1048.166,1267.880
1078.658,1371.726
987.664,1443.955
874.293,1440.424
856.118,1452.702
841.573,1581.063
805.298,1665.106
771.282,1706.632
801.479,1769.581
876.676,1820.795
898.682,1834.504
912.770,1931.545
916.598,1952.818
981.306,1936.767
1037.766,1877.344
1150.247,1880.748
1196.231,1924.562
1215.114,1949.600
1243.666,1982.663
1141.731,1871.649
1124.237,1846.956
1065.695,1774.090
1060.648,1755.806
1109.510,1714.420
1146.351,1678.855
1217.093,1645.356
1223.294,1631.111
1235.030,1675.893
1239.184,1681.547
1219.750,1730.501
1124.923,1705.884
1076.067,1683.805
1056.737,1666.222
1053.500,1715.754
1045.997,1725.167
976.840,1718.467
947.163,1705.703
882.657,1696.921
806.784,1687.823
762.116,1607.578
792.740,1523.513
813.740,1463.246
784.490,1413.718
768.456,1383.213
843.359,1321.878
881.977,1276.649
971.172,1338.592
1027.125,1375.044
1061.012,1424.309
1026.795,1462.293
1004.960,1487.618
1061.296,1538.383
1104.547,1602.456
1111.147,1604.672
1208.030,1565.113
1220.271,1540.272
1288.979,1480.210
1369.119,1477.454
1329.702,1478.414
1305.816,1487.707
1363.919,1536.032
1406.157,1624.711
1477.115,1627.643
1533.122,1596.536
1532.042,1590.647
1596.061,1636.938
1540.610,1640.993
1546.017,1622.686
1476.982,1633.403
1432.080,1709.974
1378.504,1752.043
1364.755,1791.833
1445.703,1801.670
1502.525,1828.119
1511.234,1828.597
1551.133,1764.040
1622.641,1714.327
1720.611,1680.865
1769.675,1599.561
1771.257,1586.865
1776.127,1578.686
1722.113,1579.937
1722.857,1574.791
1749.088,1512.158
1792.981,1549.885
1821.109,1605.540
1800.761,1617.709
1736.726,1672.765
1665.708,1703.485
1590.010,1732.002
1560.325,1790.226
1545.987,1810.155
1570.935,1836.537
1580.542,1854.889
1498.528,1848.724
1431.989,1842.471
1362.514,1809.539
1343.242,1740.850
1385.881,1636.922
1368.965,1587.304
1338.067,1531.909
1252.501,1455.640
1213.197,1437.015
1148.971,1412.566
1118.968,1385.459
1052.030,1345.558
987.579,1342.778
969.815,1405.845
1000.947,1459.429
1009.442,1540.619
927.538,1534.098
858.109,1462.342
871.288,1347.228
883.444,1274.862
854.748,1186.619
770.589,1153.081
717.525,1213.517
657.587,1263.621
644.342,1267.700
669.175,1322.567
593.617,1399.714
521.464,1497.746
495.974,1550.456
534.922,1611.930
636.885,1586.466
691.569,1533.792
852.635,1495.291
898.460,1555.300
867.536,1592.422
761.034,1629.488
740.840,1624.973
711.596,1531.078
657.861,1527.918
653.415,1494.785
623.399,1419.299
705.157,1389.828
794.124,1356.724
880.973,1366.948
915.478,1369.341
959.193,1420.740
964.080,1410.299
986.000,1455.032
1007.222,1469.057
974.999,1479.047
