trajectories1,trajectories2
1789.664,988.233
1752.333,980.800
1738.767,976.763
1723.847,965.724
1700.649,956.854
1656.682,958.378
1625.760,962.999
1584.995,972.226
1543.104,985.058
1500.006,1000.819
1451.021,1017.312
1391.674,1041.739
1354.272,1060.005
1318.222,1080.076
1286.497,1099.549
1269.040,1116.037
1330.353,1207.517
1339.406,1231.175
1356.612,1266.242
1408.275,1337.155
1450.536,1374.373
1515.176,1379.846
1561.686,1377.357
1580.073,1373.933
1629.977,1365.935
1682.097,1355.756
1700.559,1404.664
1719.761,1453.709
1736.714,1496.447
1755.290,1553.812
1758.628,1594.626
1709.277,1593.566
1666.619,1591.044
1616.765,1584.058
1565.481,1578.650
1557.416,1573.990
1547.901,1571.155
1544.370,1575.746
1539.204,1577.473
1540.461,1601.241
1545.458,1625.035
1547.641,1627.275
1563.713,1641.128
1581.594,1654.346
1569.503,1662.466
1574.461,1662.866
1581.034,1676.928
1580.675,1699.482
1558.964,1702.205
1723.817,1652.790
1744.740,1643.896
1746.743,1642.117
1769.225,1605.429
1775.034,1562.427
1775.136,1558.202
1773.750,1555.513
1772.945,1550.735
1775.481,1534.682
1782.273,1510.738
1779.983,1505.505
1780.753,1498.880
1787.792,1482.913
1794.907,1465.444
1801.225,1450.385
1807.670,1434.526
1812.096,1428.469
1814.913,1424.295
1822.149,1416.691
1828.027,1408.865
1894.656,1248.710
1896.566,1230.600
1911.072,1185.813
1922.055,1147.596
1923.519,1124.167
1928.975,1108.271
1935.709,1090.370
1954.176,1057.428
1974.964,1025.409
1979.221,961.621
1970.706,932.854
1959.686,907.589
1944.658,882.324
1918.429,847.250
1890.764,818.637
1839.309,761.001
1824.383,677.053
1831.387,613.479
1828.036,609.204
1743.193,530.283
1688.922,491.977
1641.947,457.198
1595.777,412.623
1602.728,344.649
1597.934,332.486
1575.763,291.951
1508.184,231.512
1461.561,204.128
1440.172,197.081
1427.564,187.621
1418.396,138.458
1413.971,133.443
1376.564,138.464
1401.148,329.130
1424.115,396.074
1440.677,459.018
1461.128,549.222
1476.416,621.078
1494.271,672.859
1522.925,715.914
1555.591,756.675
1620.909,809.988
1655.504,825.381
1720.672,826.395
1755.697,801.129
1760.576,796.224
1760.674,747.785
1744.107,708.898
1718.610,674.310
1672.582,608.792
1637.569,570.838
1637.293,546.914
1633.701,541.221
1603.316,514.124
1562.343,496.673
1513.842,500.605
1468.779,514.421
1434.230,529.747
1390.471,545.818
1313.463,569.414
1267.278,585.270
1205.193,602.699
1128.272,621.224
1073.179,621.301
1034.530,616.768
977.130,595.732
928.730,571.683
894.801,549.324
829.105,488.300
827.951,477.035
818.628,422.630
822.698,380.266
829.043,329.565
877.437,274.540
901.457,269.174
990.465,247.646
1052.742,234.939
1098.138,275.099
