trajectories1,trajectories2
949.570,59.014
949.845,58.976
948.670,59.214
942.346,54.360
930.669,54.517
898.986,49.215
895.073,49.419
892.457,49.490
893.746,49.636
892.621,49.782
892.506,49.575
893.629,50.217
891.867,50.237
867.074,57.676
847.885,60.378
840.495,61.430
838.953,61.307
836.985,61.831
836.072,62.285
792.256,76.395
768.507,84.699
764.042,86.590
760.153,88.583
757.530,90.086
755.838,93.421
690.542,149.833
665.959,170.196
661.598,173.610
657.692,176.965
653.654,180.524
651.760,182.452
648.017,185.624
637.513,191.273
595.663,203.044
579.150,207.811
575.147,209.480
570.851,210.583
569.605,211.531
566.756,212.958
539.358,222.582
529.612,226.529
526.030,228.305
522.566,229.963
519.772,231.809
492.989,240.806
465.228,249.746
460.607,251.198
455.936,253.392
442.012,245.044
437.473,244.975
435.163,245.527
434.629,246.316
433.663,247.000
433.029,247.530
432.970,248.097
432.706,248.297
432.704,248.798
427.639,244.933
428.296,246.870
428.277,248.218
429.174,249.280
429.587,249.872
430.008,250.403
430.984,258.409
400.502,276.190
390.212,283.374
388.167,285.424
386.581,287.111
376.152,296.097
352.357,319.779
339.627,331.677
334.870,337.026
333.458,338.704
331.920,341.296
332.075,341.383
319.881,353.421
287.089,382.918
283.752,386.953
280.281,390.938
279.450,392.378
278.675,394.101
256.788,408.106
246.410,419.689
242.598,423.236
244.262,422.074
241.411,424.722
241.396,424.890
241.793,425.023
241.473,425.567
241.661,425.749
244.709,423.179
244.721,429.422
241.136,433.383
241.445,433.289
242.534,433.489
242.102,434.156
241.140,434.375
241.732,434.392
241.388,434.880
247.082,428.650
248.374,427.951
250.060,429.381
250.714,430.632
252.053,431.059
243.703,458.111
222.138,481.945
222.246,482.292
220.912,483.745
218.515,487.315
217.387,489.425
217.281,489.977
195.877,517.215
192.494,522.081
191.001,524.994
190.069,527.512
178.048,557.115
166.431,576.054
165.278,578.300
164.407,580.785
164.278,582.972
164.737,585.917
163.362,588.950
163.056,589.693
163.684,590.429
156.333,611.264
150.395,631.135
150.764,631.546
148.604,643.903
133.204,691.225
131.243,696.269
130.346,698.662
130.729,699.692
129.986,703.917
115.948,734.488
