trajectories1,trajectories2
1666.576,1535.491
1672.443,1531.012
1676.611,1527.650
1678.122,1525.998
1678.952,1525.172
1679.679,1524.461
1680.419,1523.423
1681.611,1522.689
1681.217,1522.557
1686.015,1518.311
1704.597,1501.514
1705.315,1500.434
1706.526,1499.403
1707.449,1498.550
1709.013,1496.856
1708.861,1497.136
1710.307,1495.505
1709.942,1495.820
1721.806,1487.588
1724.905,1484.725
1726.343,1483.595
1726.339,1483.564
1727.632,1482.728
1728.117,1482.362
1728.187,1482.635
1730.839,1482.207
1769.085,1508.496
1777.538,1512.798
1780.904,1515.198
1782.923,1515.574
1783.910,1516.627
1786.385,1518.103
1785.970,1518.067
1787.385,1518.896
1788.002,1519.493
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
1819.244,1538.507
1823.722,1555.046
1812.062,1548.919
1811.264,1548.291
nan,nan
1763.347,1536.218
1723.176,1543.373
1713.781,1545.335
1703.556,1547.778
1701.986,1548.938
1697.742,1550.099
1690.661,1552.540
1654.929,1551.711
1641.326,1552.724
1636.240,1553.045
1629.413,1553.993
1627.997,1554.046
1625.644,1554.452
1623.805,1554.887
1622.122,1555.235
1591.437,1556.970
1582.551,1557.766
1578.790,1558.327
1573.771,1559.199
1572.925,1559.368
1570.048,1559.991
1568.217,1560.221
1569.200,1560.436
1564.727,1561.538
1565.817,1561.858
1544.428,1560.612
1534.123,1561.103
1531.556,1561.405
1529.038,1561.601
1526.300,1562.402
1525.867,1562.805
1522.725,1563.032
1521.411,1563.533
1504.363,1563.484
1498.826,1563.840
1496.597,1564.313
1496.561,1564.970
1491.907,1565.229
1491.961,1566.020
1490.010,1566.688
1489.981,1567.306
1477.056,1559.071
1465.490,1554.829
1459.524,1553.055
1457.398,1552.933
1455.749,1553.220
1454.499,1553.389
1453.022,1553.316
1451.410,1554.235
1451.696,1555.391
1450.353,1555.623
1449.734,1556.701
1443.493,1553.439
1433.747,1547.960
1431.115,1547.401
1428.640,1547.483
1427.767,1548.005
1426.800,1548.722
1426.140,1549.015
1425.407,1549.861
1419.013,1545.471
1412.428,1542.804
1409.730,1542.317
1408.929,1542.301
1408.707,1543.275
1407.389,1543.375
1407.462,1544.253
1405.017,1543.089
1393.641,1535.607
1391.471,1534.458
1390.149,1534.956
1388.365,1534.937
1388.717,1536.611
1386.964,1537.302
1386.175,1538.126
1385.658,1538.667
1385.596,1519.756
1381.994,1508.973
1380.809,1505.713
1379.347,1503.159
1378.841,1502.764
1378.127,1502.465
1377.798,1502.641
1374.219,1481.647
1372.990,1475.364
1372.055,1472.476
1371.722,1473.032
1371.206,1473.422
1370.820,1473.316
1371.434,1452.648
1370.817,1443.942
1370.293,1440.709
1370.169,1439.176
1369.948,1439.262
1369.852,1439.930
1369.635,1439.084
1369.073,1440.280
1370.348,1415.551
1370.274,1410.638
1370.275,1406.867
1370.053,1406.730
1370.014,1405.908
1369.860,1406.078
1372.387,1386.410
1377.653,1368.012
1378.821,1360.159
1379.666,1357.566
1380.423,1356.010
1380.564,1355.001
1380.670,1355.946
1380.915,1356.563
1384.828,1350.146
1391.477,1333.926
1393.216,1331.613
1393.805,1331.592
1394.054,1332.434
1394.797,1333.396
1398.758,1322.286
1406.525,1306.859
1409.454,1301.817
1410.252,1301.374
1410.951,1301.632
1412.007,1301.151
1412.533,1300.996
1412.962,1302.450
1413.698,1302.254
1414.370,1300.630
1425.731,1274.204
1427.530,1271.995
1428.726,1270.870
1429.241,1271.287
1429.733,1272.229
1431.156,1271.458
1430.729,1273.751
1431.291,1273.838
1431.774,1276.038
1436.154,1282.948
1484.882,1262.305
1495.029,1258.122
1501.116,1256.172
1504.656,1255.580
1505.734,1255.457
1506.895,1255.825
1508.427,1255.880
1509.146,1256.400
1509.645,1256.817
1510.109,1257.091
1510.450,1257.310
1525.822,1224.898
1532.732,1211.205
1536.049,1205.724
1537.901,1204.009
1538.673,1203.778
1538.735,1203.817
1541.137,1200.204
1551.313,1177.469
1556.395,1167.017
1558.255,1164.123
1559.167,1163.433
1559.931,1162.803
1560.361,1163.578
1565.788,1150.686
1575.515,1127.785
1577.512,1124.080
1579.104,1121.861
1580.061,1121.038
1580.888,1120.542
1581.767,1120.372
1582.477,1121.038
1583.141,1120.804
1584.058,1121.180
1583.995,1122.950
1590.723,1111.313
1599.849,1090.861
1603.462,1085.021
1605.504,1082.886
1606.214,1082.714
1607.213,1082.202
1608.248,1081.622
1608.771,1082.627
1610.234,1082.014
1610.958,1082.373
1611.227,1083.164
1612.480,1082.808
1612.754,1084.177
1612.829,1085.048
1614.110,1084.635
1613.925,1085.698
1615.029,1086.025
1614.869,1087.331
1615.331,1087.625
1615.959,1087.872
1616.711,1087.969
1616.820,1088.934
1616.787,1089.463
1617.587,1089.936
1652.989,1093.424
1751.182,1070.877
1770.527,1067.873
1777.670,1066.960
1788.481,1066.193
1793.768,1066.553
1798.386,1066.987
1800.796,1067.158
1804.558,1068.207
1808.494,1068.601
1811.832,1069.426
1813.992,1070.664
1815.054,1071.008
1817.901,1072.020
1820.957,1072.749
1822.393,1073.715
1825.728,1074.474
1827.330,1075.707
1828.082,1075.925
1829.672,1090.841
1849.733,1108.674
1855.860,1115.420
1857.371,1116.927
1858.672,1118.356
1861.462,1121.432
1862.746,1122.437
1864.653,1124.361
1866.493,1126.622
1868.096,1127.803
1868.836,1128.527
1870.390,1130.849
1871.561,1131.717
1873.626,1134.082
1879.154,1134.170
1901.044,1146.463
1909.781,1150.458
1913.979,1152.964
1915.956,1154.113
1918.896,1155.746
1918.571,1156.199
1920.167,1157.146
1921.430,1158.344
1921.789,1159.114
1924.373,1121.151
1934.115,1083.654
1935.310,1076.197
1936.441,1070.728
1937.193,1066.291
1937.331,1062.208
1937.820,1060.104
1937.953,1060.105
1938.026,1058.384
1938.106,1057.773
1939.112,1051.061
1939.274,1030.001
1938.995,1026.712
1939.162,1024.777
1939.161,1024.038
1939.387,1023.963
1939.626,1020.578
1939.467,1000.225
1939.396,996.500
1939.199,996.199
1939.247,994.748
1939.125,992.285
1939.471,995.897
1939.277,994.165
1939.439,993.299
1939.330,993.795
1938.397,980.971
1937.398,971.060
1937.064,970.090
1937.009,968.759
1937.089,968.620
1936.991,967.347
1936.764,966.710
1936.789,966.557
1937.576,965.541
1936.860,953.068
1936.793,951.000
1936.823,949.663
1936.894,951.297
1936.882,950.137
1936.989,951.003
1936.895,950.121
1936.849,950.136
1936.652,943.259
1935.625,933.481
1935.122,930.190
1935.046,928.714
1934.152,911.179
1933.789,908.393
1933.110,903.734
1932.988,902.560
1932.902,901.254
1933.075,901.963
1932.802,899.563
1932.611,898.192
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
1913.115,815.253
1909.853,811.113
1906.868,807.411
1904.112,803.899
1902.631,802.270
1901.160,800.495
1900.376,799.494
1899.012,798.136
1898.733,797.573
1898.050,796.943
1897.939,797.051
1896.564,795.367
1896.552,795.517
1893.581,790.789
1888.846,785.771
1888.158,784.901
1887.157,784.090
1886.352,782.754
1886.282,783.393
1885.926,782.236
1873.843,767.823
1870.712,764.173
1869.627,763.486
1868.570,762.312
1867.835,761.523
1855.763,745.588
1851.927,741.412
1848.570,737.874
1847.107,736.466
1846.194,735.627
1845.498,735.208
1844.839,734.771
1844.184,734.396
1843.492,733.997
1843.573,734.419
1831.382,716.257
1825.596,708.163
1822.418,704.002
1820.974,702.540
1819.373,700.692
1818.444,700.042
1816.560,698.356
1815.580,697.299
1815.273,697.118
1814.158,696.228
1814.131,696.651
1813.039,695.802
1813.234,696.391
1810.971,688.468
1804.813,666.023
1801.074,654.568
1799.232,649.945
1798.870,649.085
1797.882,647.156
1797.266,646.428
1797.059,645.677
1791.988,631.498
1790.513,626.710
1788.975,623.607
1788.617,623.274
1787.958,620.951
1787.387,620.361
1787.491,621.188
1787.196,620.120
1784.850,612.977
1782.971,607.366
1781.981,605.131
1781.120,603.784
1780.747,602.564
1780.440,601.911
1773.482,584.541
1769.343,575.991
1768.392,573.591
1767.419,571.938
1767.250,571.132
1766.775,570.638
1747.231,553.849
1731.245,537.713
1727.557,534.201
1721.988,529.249
1721.760,529.156
1721.034,528.585
1714.413,521.489
1704.473,512.255
1702.571,510.365
1701.579,509.725
1700.209,508.435
1699.513,508.034
1690.323,498.471
1684.116,491.983
1677.940,485.558
1677.548,485.401
1675.418,483.505
1674.541,482.645
1674.411,482.798
1665.746,473.195
1653.255,463.279
1652.545,462.139
1648.113,458.252
1646.839,456.897
1645.403,456.151
1645.327,455.672
1644.329,454.884
1643.299,453.891
1643.223,453.773
1643.575,453.911
1643.199,453.862
1642.378,453.024
1647.772,449.628
1650.454,408.672
1650.793,401.325
1650.921,395.965
1650.645,392.768
1650.821,389.983
1650.538,386.590
1650.558,384.798
1650.509,384.706
1650.555,383.373
1650.284,382.122
1650.249,381.275
1650.267,381.409
1649.977,380.007
1649.940,380.561
1649.762,379.898
1649.838,379.100
1649.795,378.669
1649.484,379.932
1649.260,379.632
1651.582,362.924
1651.080,357.817
1650.856,357.816
1650.917,355.648
1650.445,355.931
1650.436,357.206
1650.459,355.566
1645.655,352.297
nan,nan
1468.190,156.415
1459.240,151.767
1456.257,149.684
1452.755,147.836
1451.632,146.870
1450.961,146.605
1449.966,146.029
1449.042,145.797
1448.733,145.299
1448.637,145.591
1448.156,145.235
1448.537,144.893
1447.995,145.286
1448.302,145.172
1448.181,144.975
1447.810,144.750
1447.462,144.992
1447.511,144.733
1446.834,144.784
1447.160,144.825
1437.403,141.078
1436.569,140.961
1435.747,140.268
1434.973,140.162
1435.008,139.915
1434.379,139.679
1434.793,139.864
1434.309,139.939
1434.571,139.919
1434.167,139.938
1433.737,139.817
1434.070,139.770
1434.284,139.968
1433.981,139.943
1433.363,139.547
1434.183,139.807
1434.031,140.304
1433.985,139.981
1433.492,139.593
1433.734,140.021
1433.833,140.065
1433.598,139.818
1433.331,139.697
1434.021,139.913
1434.005,140.097
1431.564,138.985
1430.814,138.546
1430.482,138.982
1430.050,138.408
1430.357,138.408
1430.232,138.553
1430.362,138.737
1430.057,138.590
1427.597,147.476
1426.198,146.231
1425.959,146.084
1431.452,136.785
1432.391,136.807
1432.912,136.796
nan,nan
