trajectories1,trajectories2
1322.099,1758.687
1570.507,1825.724
1653.565,1699.811
1670.981,1687.445
1674.206,1687.633
1673.904,1691.414
1672.853,1693.938
1680.551,1688.515
1662.698,1667.007
1626.231,1608.141
1604.226,1597.227
1611.480,1604.137
1631.184,1622.942
1650.937,1624.922
1658.432,1617.592
1665.018,1756.622
1152.729,1924.800
1066.732,1850.056
1060.882,1791.259
1037.927,1770.922
1027.956,1769.431
1028.216,1784.591
1032.150,1802.360
1033.629,1794.474
1056.154,1733.928
1125.904,1707.991
1131.661,1658.659
1312.956,1584.926
1307.330,1574.024
1406.042,1545.954
1389.967,1529.302
1382.231,1545.479
1352.759,1548.450
1370.052,1565.801
1448.349,1699.921
1480.522,1756.668
1491.035,1725.517
1466.016,1700.331
1470.490,1697.741
1506.149,1717.593
1515.045,1695.423
1529.806,1696.372
1462.985,1719.557
1453.805,1743.721
1453.916,1755.044
1471.366,1700.276
1476.543,1638.400
1503.587,1613.924
1505.110,1576.138
1489.138,1522.240
1611.276,1475.560
1633.493,1452.512
1635.309,1442.153
1657.786,1435.967
1678.181,1407.136
1679.838,1381.286
1613.558,1391.189
1631.512,1488.368
1690.536,1498.242
1684.733,1543.473
1680.516,1570.763
1609.357,1609.757
1576.698,1624.408
1566.036,1636.330
1522.227,1630.798
1516.621,1616.134
1507.326,1584.702
1454.280,1550.083
1416.877,1555.993
1486.517,1571.622
1547.160,1583.557
1554.857,1567.185
1606.554,1547.067
1579.399,1516.614
1571.654,1534.362
1590.041,1510.675
1592.915,1456.429
1693.511,1344.806
1753.818,1340.705
1772.240,1381.026
1796.038,1418.080
1795.646,1451.427
1797.167,1452.656
1794.669,1466.529
1760.357,1369.276
1804.322,1269.769
1888.479,1186.974
1878.385,1139.463
1836.142,1149.893
1844.342,1187.306
1657.729,1406.607
1069.108,1621.083
964.755,1919.263
1225.560,1705.044
1226.492,1673.166
1218.710,1595.484
1228.594,1668.044
1249.544,1665.303
1242.071,1662.329
1231.979,1605.351
1241.320,1597.307
1227.573,1608.837
1229.798,1614.091
1248.479,1628.515
1226.993,1632.423
1214.732,1607.056
1215.025,1597.416
1217.929,1562.531
1216.315,1589.520
