trajectories1,trajectories2
1462.561,824.310
1466.772,835.272
1553.543,811.932
1676.401,1119.006
1811.795,1289.936
1742.455,1665.441
1516.970,1853.613
1322.422,1910.222
1234.591,1861.451
1089.364,1826.118
883.830,1797.460
687.102,1735.654
502.868,1689.418
360.039,1581.848
284.709,1492.287
170.800,1377.956
143.802,1334.519
136.287,1320.319
159.015,1178.785
206.825,1034.181
214.052,953.730
189.601,828.116
204.299,756.558
192.395,638.930
229.673,546.147
288.517,496.898
444.454,422.331
569.771,347.608
696.012,316.483
903.017,345.281
1040.404,325.101
1125.355,208.322
1266.112,213.304
1395.431,192.081
1444.859,282.247
1526.186,410.033
1693.248,481.528
1801.323,594.685
1857.896,716.288
1887.738,807.165
1962.400,868.720
1929.768,939.255
1813.183,901.735
1747.790,858.992
1622.741,767.851
1539.406,786.573
1470.346,794.634
1468.195,694.886
1430.358,562.393
1255.881,551.935
1096.773,641.174
1045.235,793.456
1118.285,969.429
1242.687,1135.510
1291.176,1288.303
1420.021,1436.081
1498.770,1560.573
1519.659,1678.882
1636.885,1564.403
1627.238,1363.231
1482.186,1297.975
1325.387,1391.051
1218.450,1531.926
1213.530,1706.513
1115.195,1803.685
928.109,1786.379
779.017,1758.720
643.499,1641.533
547.457,1519.598
444.366,1477.665
410.932,1324.243
425.149,1148.283
522.484,1019.179
664.012,945.581
701.203,725.368
771.858,599.558
947.871,470.556
1117.314,405.818
1129.063,421.073
1291.691,402.950
1420.429,335.316
1512.955,262.548
1491.777,171.244
1423.975,144.940
1232.965,119.791
1057.517,129.116
863.896,183.047
647.945,232.067
589.670,196.581
563.267,178.424
528.256,222.337
464.470,248.466
415.760,315.715
336.714,400.472
237.099,516.958
210.898,579.251
214.765,643.029
183.149,827.273
161.554,910.826
214.212,1080.283
203.188,1204.993
158.297,1260.034
156.052,1308.471
165.198,1366.935
195.766,1475.050
266.999,1542.196
323.439,1614.327
391.493,1665.819
558.337,1762.994
716.329,1789.453
897.491,1800.257
1097.673,1754.933
1280.290,1804.906
1433.545,1804.438
1495.067,1694.918
1604.064,1653.731
1567.916,1780.830
1420.131,1879.917
1218.645,1880.413
967.400,1875.285
755.980,1866.160
565.713,1820.034
428.903,1751.716
347.589,1674.278
274.114,1613.546
244.552,1512.764
168.233,1407.898
124.012,1312.812
100.318,1225.105
123.753,1139.119
115.490,1037.728
133.222,865.464
121.596,794.273
200.416,698.420
188.268,639.206
235.071,497.771
259.914,441.696
293.629,431.083
393.305,347.418
585.365,332.167
755.904,305.474
919.006,290.264
1059.090,201.400
1129.061,162.912
1211.106,185.058
1327.862,258.315
1446.924,405.405
1617.545,453.597
1700.565,588.934
1748.023,716.213
1798.593,884.460
1880.163,1021.989
1880.575,1105.142
1931.428,1270.440
1862.596,1438.649
1790.549,1581.399
1688.513,1661.513
1568.105,1750.801
1437.375,1853.629
1383.650,1839.857
1456.089,1660.302
1528.285,1542.995
1675.518,1579.219
1624.227,1658.880
1511.518,1788.275
1369.129,1903.257
1274.911,1948.000
1228.176,1848.811
1038.070,1865.244
867.974,1907.261
715.127,1835.252
525.240,1728.411
375.832,1662.011
325.644,1616.378
229.151,1487.571
168.847,1441.741
164.698,1432.902
162.583,1428.106
162.295,1426.516
180.069,1384.629
149.016,1275.522
162.069,1139.269
131.058,980.185
86.854,908.391
72.249,1003.985
100.421,1082.256
86.976,1196.910
87.548,1207.255
131.720,1256.281
157.117,1386.964
156.768,1396.465
156.997,1415.772
160.929,1425.980
162.067,1427.405
168.610,1444.385
215.373,1509.041
221.631,1546.448
356.593,1584.584
393.971,1718.173
348.187,1683.388
273.669,1518.463
191.759,1365.462
172.408,1342.239
148.245,1323.490
121.409,1320.354
101.814,1214.041
88.041,1211.517
119.368,1150.506
140.877,973.260
154.972,830.893
138.900,764.870
149.226,708.926
158.698,644.185
257.701,553.551
328.296,436.648
371.677,385.820
472.201,344.574
619.687,332.983
809.229,408.287
979.844,466.500
1174.978,473.536
1339.576,460.173
1486.998,489.588
1593.691,630.973
1597.397,655.830
1626.729,695.427
1749.591,813.901
1849.311,856.491
1860.572,732.815
1763.022,557.580
1658.607,425.549
1513.809,299.051
1335.310,206.793
1151.671,157.765
952.122,160.668
752.434,249.453
520.815,370.842
375.952,448.455
315.618,519.405
224.841,637.987
178.242,719.324
140.679,790.330
87.689,883.179
119.733,940.167
211.786,1072.532
217.345,1196.773
181.587,1281.817
283.721,1412.676
248.119,1515.913
217.941,1472.254
152.760,1408.010
212.753,1518.279
426.193,1649.823
598.835,1769.633
700.845,1876.355
795.279,1850.855
1058.368,1783.510
1235.701,1785.652
1362.969,1752.759
1478.642,1713.996
1456.409,1806.033
1338.245,1779.816
1138.016,1809.579
941.637,1852.831
789.507,1884.619
668.610,1802.332
481.917,1651.794
324.061,1519.615
226.714,1396.258
181.136,1397.856
179.550,1395.321
179.550,1395.321
192.555,1396.905
216.188,1399.067
184.239,1388.536
181.350,1383.770
156.066,1316.473
146.381,1239.840
101.060,1208.517
95.324,1176.259
81.382,1138.522
80.746,1150.028
121.845,1199.078
156.674,1334.931
154.996,1404.032
157.962,1415.601
211.333,1395.738
363.516,1401.879
512.334,1319.957
675.203,1244.282
874.557,1123.157
1044.492,1110.266
1298.209,1144.749
1450.011,1180.170
1524.539,1104.291
1670.752,1201.992
1744.579,1358.156
1726.249,1465.986
1662.302,1613.713
1537.876,1764.372
1350.482,1786.422
1137.668,1800.767
966.472,1829.343
747.404,1783.931
556.200,1718.246
391.188,1590.406
293.431,1426.607
255.940,1182.927
252.323,989.725
328.421,843.368
471.810,732.260
539.376,589.351
433.691,499.234
304.840,512.895
233.048,539.080
218.053,539.196
176.530,569.652
192.362,687.833
137.153,811.992
85.895,906.724
81.398,1020.802
79.874,1136.210
111.317,1205.241
145.346,1314.748
161.791,1420.162
164.334,1410.072
157.808,1387.480
183.567,1314.188
173.955,1345.657
178.479,1437.786
204.334,1467.803
235.846,1521.995
365.271,1556.507
527.537,1620.198
593.289,1761.173
573.225,1816.938
540.949,1820.050
396.712,1701.100
348.145,1687.063
295.224,1632.720
242.793,1583.312
214.375,1437.370
164.951,1433.727
161.860,1428.333
161.988,1427.412
160.952,1426.059
160.848,1426.441
160.925,1426.734
161.233,1426.283
161.363,1425.284
161.100,1426.071
177.668,1458.168
193.491,1511.489
294.966,1546.751
426.638,1593.263
537.871,1650.498
540.314,1736.862
441.138,1728.140
379.210,1667.403
307.016,1646.224
284.380,1617.085
248.864,1565.419
229.689,1435.783
169.917,1418.461
161.023,1426.248
151.181,1391.025
162.331,1365.400
191.538,1239.889
141.404,1239.816
178.378,1050.338
219.033,888.987
264.023,750.469
281.583,632.398
298.755,530.712
259.761,499.563
223.533,499.204
239.986,604.626
230.727,761.454
178.204,957.282
179.303,1112.866
225.978,1297.107
216.788,1406.483
169.037,1432.709
163.140,1429.851
162.218,1428.111
163.396,1410.244
194.381,1315.933
170.848,1244.424
148.704,1129.916
83.505,1056.137
93.604,937.305
109.915,879.091
154.588,794.351
194.076,674.333
270.095,586.506
243.786,546.505
280.956,473.381
270.240,432.051
427.633,413.972
603.369,389.255
775.713,381.175
944.498,368.908
1113.139,368.973
1244.136,311.209
1285.248,221.537
1138.154,182.984
966.334,158.469
882.787,147.499
833.329,112.301
812.790,110.203
696.139,111.975
659.767,169.104
555.212,216.852
481.099,239.949
391.411,338.247
355.963,386.553
305.560,440.312
274.794,460.961
263.398,529.645
196.207,682.342
160.599,693.665
123.978,752.648
115.040,809.343
98.985,924.286
91.321,950.023
120.831,1096.392
131.819,1197.338
164.306,1331.207
200.297,1412.856
193.138,1421.969
211.001,1504.740
268.435,1557.917
288.147,1622.864
410.816,1589.073
538.222,1575.937
681.399,1599.849
897.328,1598.033
974.664,1649.120
1068.607,1751.357
1234.670,1788.990
1265.580,1901.042
1115.415,1877.911
966.185,1868.494
895.705,1912.876
893.662,1940.445
966.091,1931.526
1028.105,1978.760
1232.140,1927.836
1337.379,1861.119
1383.907,1734.187
1215.397,1801.895
1175.341,1904.669
928.016,1869.651
702.905,1784.105
508.853,1643.963
395.361,1459.341
307.584,1325.543
276.370,1178.277
240.836,1066.056
242.102,898.804
173.911,794.811
172.698,722.120
167.725,654.485
173.261,648.799
280.098,557.371
332.773,467.256
359.946,391.131
449.564,288.800
447.343,295.230
413.133,346.563
351.681,448.485
267.397,574.659
257.721,742.758
289.939,902.777
334.365,1052.633
448.638,1131.839
472.648,1295.784
642.910,1472.400
872.597,1509.222
1116.013,1593.987
1269.439,1735.297
1450.602,1771.883
1554.134,1806.233
1637.261,1742.251
1739.686,1633.204
1655.213,1573.016
1556.467,1732.596
1357.721,1864.628
1216.199,1890.184
1057.573,1882.959
824.256,1824.582
640.767,1809.513
532.055,1820.542
613.796,1845.145
810.200,1848.356
1002.861,1821.788
1213.189,1847.403
1351.633,1865.619
1463.084,1828.783
1594.071,1709.455
1709.470,1597.910
1796.305,1535.784
1796.453,1414.405
1846.463,1298.279
1910.430,1147.370
1912.406,1305.530
1799.565,1425.070
1675.266,1596.448
1506.407,1758.352
1315.557,1853.980
1073.300,1866.234
810.296,1863.770
500.760,1781.132
321.001,1626.343
216.340,1495.788
165.178,1373.713
149.284,1337.785
111.062,1184.811
104.900,1106.433
100.034,948.956
83.309,913.949
124.866,896.771
106.672,839.886
127.349,778.263
161.466,712.454
173.992,641.421
227.460,489.977
287.990,425.939
327.760,358.953
349.053,327.869
354.816,323.066
554.706,300.965
654.404,241.136
767.551,193.514
836.442,167.802
933.904,212.684
1142.822,278.573
1302.706,346.649
1341.191,527.902
1265.002,673.955
1203.690,707.660
1096.701,762.760
1089.107,919.269
1136.326,1074.746
1179.891,1313.052
1154.427,1416.317
1161.658,1606.876
1196.986,1786.201
1113.861,1900.832
878.855,1892.778
771.313,1885.846
622.874,1806.125
518.078,1774.510
449.933,1754.169
335.317,1677.235
276.891,1599.881
222.371,1535.400
216.580,1494.629
195.470,1365.412
129.981,1208.803
112.936,1197.883
76.663,1147.141
81.258,958.788
103.620,844.780
152.791,703.202
207.423,590.458
309.742,474.731
343.895,400.000
305.170,431.086
237.378,501.320
166.619,658.971
116.700,751.596
75.906,907.030
84.367,1104.420
144.857,1382.270
217.611,1542.898
319.317,1674.631
433.698,1778.227
559.539,1859.251
714.557,1817.583
854.758,1880.333
896.527,1941.711
686.007,1894.700
440.992,1749.571
300.062,1610.152
187.308,1434.704
104.688,1245.680
92.853,1206.565
79.199,961.734
108.423,785.716
143.492,674.643
208.750,531.278
283.479,440.504
348.774,365.376
456.640,296.263
625.826,230.773
778.498,132.377
909.663,103.380
1079.646,173.413
1261.615,288.615
1422.541,375.694
1609.664,396.064
1718.649,497.190
1786.677,693.857
1844.391,888.137
1908.044,1009.438
1922.713,1217.847
1836.098,1375.103
1789.279,1418.107
1763.579,1293.213
1849.778,1132.979
1809.088,926.728
1659.560,784.123
1410.701,771.955
1337.992,812.231
1310.245,896.097
1338.796,1067.841
1222.507,1143.453
1297.799,959.259
1451.454,856.501
1476.487,663.306
1483.300,484.626
1395.189,332.075
1308.219,256.562
1213.775,251.167
1056.601,294.543
825.441,377.887
594.556,375.788
450.236,444.711
271.413,606.481
174.972,806.597
148.490,1066.778
166.842,1204.817
147.165,1252.608
133.417,1320.415
199.188,1486.204
290.698,1594.878
444.216,1777.392
377.769,1726.531
268.991,1620.383
108.238,1308.712
74.155,1175.144
122.353,961.570
139.530,839.977
202.668,680.459
169.019,591.493
266.103,499.739
399.556,419.905
584.368,340.170
727.602,278.997
768.658,150.753
826.294,94.356
1025.272,145.446
1200.998,211.106
1373.325,167.837
1444.817,261.014
1492.403,372.075
1449.188,509.657
1297.641,579.270
1122.193,602.968
1012.756,747.632
841.385,757.569
680.405,819.483
622.015,964.721
612.105,1043.113
692.665,1178.818
811.208,1301.168
864.268,1404.197
751.881,1454.376
579.199,1509.835
461.782,1652.369
574.991,1823.675
748.154,1927.559
977.068,1971.713
1110.274,1979.571
1191.449,1926.099
1215.083,1802.848
1011.586,1802.003
828.761,1793.353
659.463,1824.277
551.966,1841.567
374.558,1704.374
237.751,1580.191
192.181,1407.667
156.784,1334.476
171.641,1445.244
216.215,1528.962
263.836,1607.452
440.532,1614.702
613.452,1744.621
658.765,1850.668
476.167,1770.285
411.367,1746.687
213.247,1526.244
87.046,1239.814
92.832,1104.636
88.017,886.126
104.245,794.083
132.517,675.536
211.879,533.509
326.436,415.048
420.415,314.627
624.553,181.388
706.033,185.169
925.120,210.187
1067.463,302.199
1225.582,444.914
1335.366,449.561
1467.164,489.401
1537.680,706.453
1513.473,876.050
1535.614,1086.301
1516.028,1119.203
1524.284,1262.385
1590.653,1486.097
1550.352,1736.336
1425.344,1752.894
1306.702,1765.336
1094.574,1871.316
862.682,1868.609
771.050,1892.018
546.444,1823.717
368.053,1699.598
204.425,1474.533
104.550,1261.146
82.784,1119.996
66.250,918.124
131.998,808.731
156.091,670.018
153.370,643.708
150.804,791.390
89.559,881.522
86.998,892.522
86.553,897.266
90.004,988.078
99.206,1078.160
131.168,1184.157
131.221,1262.595
133.285,1277.898
196.738,1373.714
214.642,1444.393
220.702,1523.683
288.455,1571.995
415.240,1701.455
506.370,1823.806
592.226,1879.578
769.701,1870.604
880.964,1949.162
745.677,1899.676
575.371,1788.041
433.725,1710.848
303.652,1634.003
221.113,1485.571
142.582,1356.844
148.074,1251.775
112.279,969.663
87.107,895.445
87.223,891.407
87.365,894.290
94.106,984.236
82.408,1074.897
108.168,1179.371
188.762,1412.926
290.050,1567.540
335.248,1627.970
392.614,1674.439
295.643,1607.492
154.069,1366.758
97.718,1224.803
71.873,1094.059
74.659,914.438
98.194,902.614
153.685,820.988
227.889,679.405
253.062,518.420
299.447,403.382
342.173,352.890
388.500,311.757
501.318,277.630
651.066,233.716
844.639,185.068
879.008,105.728
800.446,79.577
684.769,118.781
547.630,184.414
455.176,286.187
377.871,334.032
277.032,422.474
249.626,483.169
185.382,551.304
150.153,742.362
116.577,759.971
130.223,762.240
88.648,976.511
107.689,1102.185
117.073,1191.000
188.820,1321.155
250.409,1483.834
247.828,1516.485
429.127,1650.574
529.533,1717.920
472.498,1769.809
398.126,1725.905
276.040,1576.512
134.580,1377.448
68.132,1140.533
114.659,717.570
220.531,546.582
262.228,468.956
338.076,369.638
517.505,254.588
560.793,191.618
724.343,113.828
1030.657,47.239
1202.176,63.622
1345.926,123.911
1369.393,177.092
1185.119,176.356
964.510,185.686
743.864,285.119
563.637,385.684
467.800,410.646
352.090,533.931
272.974,564.120
218.297,572.956
175.483,667.736
129.403,789.543
70.601,981.020
100.142,1221.915
166.284,1453.719
192.006,1498.681
206.865,1504.458
520.542,1596.815
701.851,1725.532
741.858,1840.338
593.403,1818.464
414.096,1755.887
260.593,1612.721
150.957,1425.349
73.827,1164.047
62.316,989.399
97.355,772.465
169.239,577.101
243.099,464.886
556.023,269.628
897.387,343.413
1313.800,328.457
1493.364,366.515
1660.417,412.256
1721.495,542.899
1853.100,649.111
1877.760,909.530
1914.450,1109.651
1886.590,1273.177
1832.284,1433.487
1757.102,1577.380
1747.829,1607.088
1690.726,1630.140
1654.931,1692.128
1734.709,1521.100
1854.293,1395.481
1920.411,1257.590
1946.118,1049.061
1930.489,857.253
614.773,177.064
1808.522,561.197
1671.350,416.948
1516.297,268.818
1342.123,202.545
1132.908,227.566
921.380,239.646
711.133,278.412
589.355,285.611
nan,nan
nan,nan
nan,nan
298.687,438.197
nan,nan
nan,nan
nan,nan
nan,nan
89.001,1221.060
nan,nan
nan,nan
334.800,1619.280
nan,nan
nan,nan
499.851,1806.197
683.646,1901.312
nan,nan
603.245,183.929
1086.815,85.287
1214.266,1834.024
1939.143,1200.221
1618.667,261.458
1665.027,1690.724
1629.377,249.496
1893.698,1328.599
1912.469,707.018
