trajectories1,trajectories2
1161.049,1879.471
989.843,1803.661
964.131,1804.737
869.367,1809.340
807.263,1792.201
763.711,1776.279
700.846,1762.204
744.084,1592.963
718.991,1410.952
691.167,1390.823
778.082,1276.341
838.238,1127.819
890.090,938.383
714.076,806.637
565.760,745.829
474.727,733.697
342.112,705.208
262.429,560.122
291.934,401.305
435.471,260.677
581.815,171.855
nan,nan
779.143,85.885
561.962,172.408
nan,nan
958.967,120.289
872.157,256.485
703.595,165.946
662.685,189.165
442.265,254.417
378.967,400.687
440.241,555.185
392.694,681.268
289.605,862.868
155.529,891.555
236.402,1008.729
191.142,1201.371
133.554,1361.042
342.218,1467.837
427.235,1535.366
590.683,1654.247
503.792,1751.168
296.763,1658.145
nan,nan
337.821,1673.293
nan,nan
410.245,1518.288
367.134,1274.747
239.653,1183.613
149.459,1179.729
203.251,1052.287
235.475,912.723
214.957,784.870
245.593,695.027
372.965,538.491
359.866,428.374
512.417,354.170
nan,nan
684.284,373.561
801.446,519.900
840.606,665.356
777.554,713.769
818.779,867.197
901.843,871.229
976.646,962.741
1038.440,1116.362
1050.161,1395.992
1090.843,1581.843
1134.126,1726.487
995.415,1768.151
783.614,1681.090
623.097,1685.068
486.950,1813.995
497.136,1825.525
402.884,1733.520
307.710,1650.325
nan,nan
158.250,1414.322
104.203,1317.009
86.963,1185.689
224.337,1004.415
197.855,865.860
92.813,799.759
240.484,669.894
276.679,509.436
355.131,330.678
nan,nan
591.023,154.707
817.031,67.040
953.352,50.741
1119.908,164.939
1108.743,441.576
1029.861,710.525
935.344,902.228
867.390,983.155
740.724,979.127
603.249,988.236
428.480,996.691
318.001,935.370
149.323,918.290
70.965,961.613
169.503,1019.016
287.666,1216.081
179.719,1273.396
270.234,1374.425
303.159,1397.089
328.138,1406.822
344.751,1410.740
399.893,1382.565
538.365,1343.045
711.665,1430.603
885.653,1547.582
957.072,1690.833
897.941,1890.497
773.284,1852.578
599.291,1750.668
520.489,1730.365
403.013,1607.932
408.907,1483.372
616.384,1514.428
842.297,1574.616
956.109,1423.920
973.956,1310.568
971.976,1181.376
1043.942,997.670
1195.760,903.904
1317.071,764.527
1362.233,626.738
1324.707,564.153
1346.778,522.728
1430.797,556.254
1435.637,737.632
1461.568,865.361
1548.018,987.596
1566.380,1159.657
1416.689,1178.164
1278.159,1304.040
1158.760,1374.553
1059.491,1404.166
886.997,1368.777
624.935,1394.988
464.567,1414.989
299.228,1449.930
232.864,1346.060
176.410,1275.449
99.796,1208.625
259.042,1075.827
511.080,1043.772
734.970,1054.599
992.865,1028.165
1136.263,986.576
1340.056,1091.321
1533.137,1282.877
1399.387,1423.955
1278.740,1456.548
1191.602,1422.090
1108.805,1349.680
1013.402,1125.877
894.465,933.368
757.915,890.441
664.329,815.902
602.812,747.087
830.658,817.966
909.199,690.094
1072.701,540.118
1134.849,501.508
1325.053,451.979
1345.720,376.469
1258.915,327.915
1071.961,283.379
961.456,168.042
1084.930,167.358
1134.039,439.620
1108.563,585.938
1096.475,837.293
972.066,1049.191
841.041,1175.576
630.080,1222.945
508.255,1313.459
322.464,1356.866
186.870,1337.206
113.576,1306.775
107.395,1236.822
145.463,1386.868
245.380,1552.481
399.606,1592.279
550.525,1709.015
602.749,1815.496
806.793,1731.391
882.153,1914.005
681.688,1858.245
389.899,1758.390
314.748,1680.129
nan,nan
176.846,1277.334
138.468,1141.234
182.381,886.171
85.070,857.133
243.929,670.707
224.757,592.877
nan,nan
313.192,458.450
nan,nan
410.327,290.021
597.366,365.648
837.585,432.490
1039.064,517.330
1165.119,523.214
1364.648,625.830
1383.983,577.202
1438.335,593.514
1422.034,864.507
1288.627,1065.707
1243.968,1177.337
1180.763,1379.150
1161.490,1473.956
1162.537,1629.553
965.715,1800.607
864.298,1794.851
702.465,1722.307
560.988,1745.536
610.545,1810.445
603.368,1881.954
362.026,1629.535
nan,nan
nan,nan
92.323,1202.892
509.592,1103.866
873.335,1505.416
1007.049,1588.750
990.828,1757.088
881.973,1888.948
981.294,1925.699
1090.280,1655.343
1126.598,1427.564
1153.477,1264.884
nan,nan
1010.376,986.759
1049.749,693.789
1065.674,526.785
933.321,458.574
907.734,318.910
976.347,161.713
877.649,105.979
