trajectories1,trajectories2
1353.119,1290.428
1367.858,1355.917
1334.535,1547.049
1199.305,1681.740
1115.552,1766.376
1047.819,1855.349
947.008,1764.723
1038.030,1629.728
1186.524,1538.927
1362.213,1570.793
1414.332,1525.548
1405.719,1373.281
1420.422,1137.098
1472.136,932.280
1536.193,700.372
1466.912,469.381
1284.351,352.427
1019.660,239.115
917.333,484.625
967.251,756.343
797.468,945.417
581.652,1067.087
481.993,1314.164
548.600,1505.363
544.791,1663.425
411.771,1532.294
329.493,1314.393
253.888,1167.906
303.482,940.491
231.276,723.770
202.655,642.577
271.915,435.464
562.246,377.598
594.379,215.665
740.838,229.256
935.928,270.172
1225.482,308.475
1417.245,521.626
1551.633,396.448
1337.817,309.589
1250.265,401.497
995.935,488.721
671.949,581.426
363.364,527.503
196.287,688.908
138.558,888.390
91.524,1176.378
165.386,1396.741
255.066,1564.116
450.444,1598.178
582.796,1785.745
422.099,1712.800
319.917,1593.785
176.756,1352.795
107.235,1128.043
107.067,873.924
287.049,418.655
514.036,215.882
395.787,338.126
270.550,534.133
251.804,678.188
206.100,856.238
135.563,983.015
140.881,1168.273
173.568,1347.554
178.128,1450.016
319.771,1600.028
402.842,1643.667
551.407,1781.910
548.235,1836.201
525.975,1657.212
396.225,1503.764
295.578,1468.160
141.308,1276.302
217.135,1131.454
130.263,968.918
166.321,806.407
343.999,617.889
320.570,771.585
92.005,939.817
138.630,1074.453
306.921,1244.829
186.690,1391.264
189.698,1418.548
82.249,1130.886
158.797,692.571
336.835,400.198
417.463,598.939
325.996,775.458
211.118,930.223
83.316,1121.136
160.110,1428.869
327.963,1618.974
457.773,1783.790
607.090,1834.014
526.865,1750.892
346.097,1679.272
109.345,1235.047
112.903,1011.751
137.369,732.199
314.527,664.181
350.714,509.025
172.128,617.069
86.125,941.395
197.170,1130.692
140.851,1302.584
214.134,1501.772
315.801,1639.373
369.368,1684.973
487.309,1650.412
587.251,1548.979
663.854,1703.705
671.874,1810.232
660.829,1878.674
796.141,1952.229
730.743,1897.896
526.337,1802.102
270.923,1587.542
194.277,1392.061
114.542,1273.684
118.651,1062.383
114.981,902.588
82.893,1098.582
143.205,1397.137
291.239,1525.214
274.556,1556.792
242.374,1509.697
168.805,1414.524
223.529,1460.897
327.823,1590.394
266.520,1340.437
97.617,1237.572
85.528,1138.663
95.128,903.285
122.910,730.399
101.568,817.045
82.125,951.851
207.449,1060.544
134.993,1174.407
80.205,1063.881
128.465,817.296
136.535,866.636
141.929,996.077
220.534,1267.948
182.099,1378.548
260.697,1569.054
420.160,1691.017
345.742,1589.459
178.475,1428.376
133.087,1162.034
85.020,942.438
