trajectories1,trajectories2
598.372,1768.510
nan,nan
nan,nan
nan,nan
nan,nan
630.317,1805.550
728.588,1740.261
765.338,1697.466
778.697,1657.550
742.561,1553.655
690.225,1499.915
608.042,1452.476
530.394,1411.129
409.449,1362.515
333.989,1355.222
265.512,1428.893
254.819,1493.295
281.065,1526.845
nan,nan
403.246,1536.987
427.483,1487.694
434.019,1412.832
392.609,1301.494
352.755,1278.477
272.314,1211.971
237.154,1179.476
147.960,1216.307
nan,nan
204.045,1397.045
338.976,1432.232
397.694,1427.396
539.850,1401.782
734.732,1403.879
870.895,1302.861
894.031,1202.488
859.914,1134.125
808.306,1105.546
767.082,1125.365
703.396,1238.913
828.225,1386.075
865.553,1459.936
1035.716,1551.830
1261.058,1477.270
1268.207,1416.397
1206.056,1254.733
1135.511,1171.763
1132.922,1169.546
1132.870,1165.422
1192.806,1145.533
1279.268,1227.969
1352.088,1332.428
1395.518,1450.409
1470.081,1539.157
1578.687,1636.887
1713.513,1618.557
1694.286,1479.348
1597.975,1345.077
1674.565,1201.254
1659.746,1111.734
1520.011,1024.399
1441.932,947.804
1397.547,901.619
1331.060,889.683
1267.546,912.708
1205.672,974.952
1155.951,1069.964
1265.254,1367.230
1398.721,1459.685
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
1768.230,1503.629
1773.163,1502.183
1725.836,1493.403
1674.107,1513.309
1567.404,1502.756
1474.008,1604.759
1501.045,1751.305
nan,nan
nan,nan
1465.217,1689.654
1362.469,1642.982
1232.081,1685.616
1195.324,1762.233
nan,nan
nan,nan
1482.885,1788.555
1462.380,1723.080
1419.285,1666.259
1278.544,1633.420
1191.960,1648.214
1125.106,1660.721
865.162,1862.942
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
454.472,1540.442
370.778,1440.793
370.062,1440.268
326.578,1472.051
248.538,1469.081
244.957,1434.416
239.187,1393.599
840.383,107.055
357.699,1485.586
1051.683,84.906
1616.401,263.865
570.298,1596.569
642.415,1549.991
677.511,1530.582
800.301,1495.915
892.876,1463.521
1040.678,1508.122
1403.188,1706.976
nan,nan
nan,nan
nan,nan
1536.048,1763.782
1545.055,1763.676
1541.972,1661.962
1526.992,1602.331
1484.041,1537.567
1401.996,1518.414
1340.001,1545.346
1268.460,1507.603
1265.220,1505.143
1264.780,1452.479
1229.251,1441.468
1197.056,1448.662
1158.707,1463.772
1111.994,1462.010
1084.204,1500.265
1056.858,1656.087
1033.694,1740.119
1032.565,1815.911
nan,nan
nan,nan
nan,nan
1099.425,1849.863
1126.779,1761.790
nan,nan
1112.565,1675.462
1046.516,1663.259
995.094,1688.143
946.641,1792.171
nan,nan
816.297,1822.157
771.971,1850.788
nan,nan
nan,nan
nan,nan
nan,nan
686.612,1748.199
676.515,1697.101
575.290,1628.367
513.291,1651.868
nan,nan
nan,nan
474.212,1520.227
534.691,1450.401
542.815,1409.170
514.664,1280.705
504.343,1218.592
512.654,1089.340
485.009,994.664
484.341,993.706
500.333,907.582
447.439,824.103
455.870,750.233
458.532,678.850
414.164,612.457
1623.447,269.289
1018.459,48.532
nan,nan
1280.133,117.556
373.716,510.036
841.437,106.599
nan,nan
940.600,100.408
nan,nan
229.656,584.935
nan,nan
808.181,113.207
302.665,580.642
343.113,627.726
378.177,759.838
373.044,836.370
320.674,888.156
256.365,900.147
205.016,878.336
134.267,897.478
119.926,972.200
80.116,988.759
nan,nan
nan,nan
143.837,1186.399
nan,nan
1779.094,1590.022
838.865,107.277
833.324,108.436
835.942,107.665
nan,nan
816.225,111.321
185.752,1366.482
228.969,1410.635
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
424.669,1579.225
467.143,1583.199
476.493,1645.356
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
289.307,1545.025
nan,nan
333.696,1418.729
285.472,1377.214
251.814,1374.437
nan,nan
229.199,1358.232
262.700,1315.353
233.543,1237.031
213.924,1178.327
203.044,1137.140
173.262,1115.198
nan,nan
78.802,1030.758
nan,nan
117.355,978.349
128.376,926.470
167.202,850.658
234.417,780.595
224.383,643.944
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
255.502,539.867
nan,nan
nan,nan
nan,nan
184.443,711.526
nan,nan
nan,nan
218.798,786.262
229.918,767.017
269.447,716.400
293.585,691.337
291.050,652.716
259.109,585.098
257.136,560.700
nan,nan
nan,nan
nan,nan
nan,nan
375.361,609.726
405.308,674.521
388.354,713.099
356.697,726.274
324.300,720.415
282.796,724.213
222.946,719.043
201.193,737.168
205.619,767.518
228.395,801.585
247.157,825.421
246.656,862.483
240.019,888.868
262.584,947.683
259.960,946.930
272.622,1000.636
242.497,1057.303
185.218,1088.278
199.694,1147.753
212.080,1229.664
195.631,1303.394
182.503,1342.556
184.950,1351.025
nan,nan
nan,nan
327.045,1525.891
411.958,1576.670
436.370,1615.816
nan,nan
418.913,1686.066
nan,nan
nan,nan
506.183,1747.745
563.016,1698.648
582.655,1669.266
577.203,1651.807
573.804,1603.888
nan,nan
641.280,1504.606
751.758,1484.429
851.125,1442.301
1005.608,1409.483
1060.802,1413.626
1105.024,1469.513
1189.815,1514.322
1230.664,1593.030
1286.623,1638.361
1427.895,1606.941
1482.390,1603.154
1490.465,1603.713
1501.361,1602.463
1500.727,1604.230
1504.196,1586.178
1505.931,1580.282
1497.534,1538.298
1541.689,1499.437
1600.582,1459.080
1618.659,1429.667
1583.528,1398.172
1540.373,1408.582
1531.887,1361.651
1489.477,1346.617
1472.868,1335.127
1469.473,1324.930
1501.544,1246.449
1536.453,1210.427
1598.564,1024.056
1686.893,974.062
1757.124,897.138
1844.039,810.577
1870.864,734.481
1833.255,661.908
nan,nan
1783.548,600.408
1734.204,550.207
1683.693,525.231
1638.123,483.978
1592.781,485.749
1589.089,551.747
1654.467,665.687
1643.027,704.462
1710.914,727.220
1785.579,750.225
nan,nan
1889.183,784.219
1848.229,817.268
1805.524,842.540
1756.209,893.609
1716.708,910.783
1633.592,916.102
nan,nan
1527.163,961.822
1509.160,974.171
1487.048,1069.506
1498.897,1123.208
1520.140,1173.367
1534.072,1215.211
1559.280,1256.484
1597.280,1286.923
1633.372,1265.649
1688.396,1202.749
1704.520,1186.183
1745.609,1185.489
1767.317,1187.942
1823.091,1229.939
1845.200,1241.827
1893.367,1232.827
1914.218,1183.743
1876.659,1132.976
1871.429,1112.872
1777.722,1090.712
1722.801,1082.440
1629.272,1046.626
1504.891,1030.274
1448.201,1039.494
1375.031,1059.172
1289.878,1057.310
1266.534,1062.792
1182.618,1076.240
1114.394,1130.817
1131.666,1199.356
1204.727,1214.276
1274.019,1239.336
1375.164,1242.728
1478.319,1235.010
1544.899,1261.903
1531.947,1333.796
1518.246,1462.007
1458.703,1486.646
1422.625,1503.853
1385.455,1545.501
