trajectories1,trajectories2
910.094,1087.435
910.425,1088.171
910.300,1088.940
910.175,1088.134
910.301,1088.253
910.566,1088.968
910.517,1087.177
910.633,1088.530
910.544,1086.831
910.628,1086.876
911.103,1083.682
909.500,1091.049
910.321,1090.655
910.380,1086.757
908.579,1089.187
909.469,1093.482
910.330,1088.787
908.845,1086.713
908.329,1095.353
909.906,1094.459
909.713,1089.619
894.460,1087.190
866.564,1099.664
860.335,1093.370
855.172,1094.244
851.811,1100.766
837.575,1097.193
833.421,1097.633
833.900,1102.748
809.549,1085.028
804.207,1080.404
799.553,1083.977
794.899,1079.573
794.702,1077.123
789.232,1079.213
791.471,1079.585
787.933,1074.428
787.638,1077.813
783.796,1045.401
780.169,1030.657
778.416,1030.380
778.621,1018.631
774.555,986.098
772.292,985.703
773.736,984.653
772.923,981.014
771.290,977.769
773.273,973.868
773.105,970.965
770.882,972.184
771.738,963.714
772.391,961.434
769.892,959.417
790.205,924.794
793.697,916.073
794.185,906.664
797.219,900.288
798.706,901.510
797.780,898.729
805.204,880.680
807.693,880.412
807.128,875.734
812.705,866.609
814.416,865.879
825.593,851.949
832.227,849.450
839.826,840.004
837.154,839.066
842.238,839.300
877.072,857.449
892.007,860.829
901.934,865.531
906.284,867.087
922.804,871.348
935.152,875.517
934.365,874.466
944.833,876.822
946.484,878.778
947.609,878.210
968.390,869.016
978.774,866.342
978.077,864.816
978.779,864.749
979.504,866.346
978.570,865.435
995.668,895.531
1016.875,917.000
1016.855,918.392
1018.439,918.897
1019.949,921.439
1028.875,963.642
1033.017,971.236
1033.115,973.917
1058.424,996.780
1074.637,1016.066
1081.689,1024.166
1082.235,1025.005
1083.691,1026.545
1085.456,1028.599
1102.716,1019.504
1109.563,1016.034
1115.182,1016.819
1114.863,1015.936
1115.024,1014.266
1118.819,1015.345
1117.729,1014.270
1119.672,1014.131
1111.554,1003.638
1115.054,977.810
1116.867,967.825
1117.292,967.102
1116.019,964.487
1130.673,938.730
1136.758,923.966
1138.530,917.221
1140.302,918.696
1181.127,933.539
1204.668,935.225
1215.807,936.855
1219.534,938.535
1223.106,938.053
1224.730,938.162
1223.345,937.247
1246.662,892.982
1254.439,884.885
1257.670,881.658
1260.049,877.125
1263.331,875.732
1263.102,876.590
1264.176,873.901
1264.858,874.938
1263.619,877.405
1332.752,974.420
1358.189,1019.823
1366.366,1039.807
1369.244,1045.963
1373.556,1052.047
1383.693,1093.752
1386.641,1099.714
1387.853,1103.616
1387.309,1107.870
1393.751,1138.254
1395.208,1142.719
1395.068,1145.494
1396.185,1146.755
1366.884,1175.424
1359.328,1184.777
1358.144,1186.580
1357.124,1188.064
1355.902,1189.259
1356.962,1187.754
1356.110,1189.260
1343.024,1173.989
1314.145,1163.228
1308.805,1161.368
1272.725,1146.560
1262.181,1142.050
1260.107,1142.258
1260.699,1142.494
1258.569,1140.956
1258.590,1141.435
1270.752,1130.654
1273.063,1082.268
1272.448,1072.547
1272.177,1070.010
1278.365,1026.796
1278.400,1023.469
1278.287,1022.195
1278.905,1021.872
1278.443,1021.406
1301.197,1005.886
1318.019,989.178
1318.180,989.263
1337.682,985.185
1366.780,974.868
1366.644,975.488
1373.140,981.625
1436.739,995.926
1444.235,997.225
1478.413,1004.551
1498.450,1007.934
1502.635,1008.924
1505.192,1008.666
1547.911,1063.668
1794.822,1207.077
1834.982,1219.946
1862.720,1226.959
1866.305,1229.472
1868.137,1230.190
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
1851.524,1325.459
1851.108,1330.457
1846.156,1320.355
nan,nan
nan,nan
nan,nan
nan,nan
1843.484,1330.452
1842.531,1330.108
1842.347,1330.119
1837.733,1347.197
1826.755,1371.119
1823.745,1376.263
1822.118,1378.969
1822.549,1378.201
1819.460,1386.862
1817.852,1390.580
1817.470,1391.615
1818.425,1412.035
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
1773.834,1468.274
1765.306,1479.671
1761.065,1485.791
1757.960,1489.820
1756.401,1492.146
1747.581,1517.314
1742.243,1529.568
1739.809,1534.558
1738.192,1537.425
1703.921,1585.911
1692.396,1602.049
1687.524,1607.922
1683.521,1612.637
1630.145,1632.977
1609.913,1645.075
1598.970,1652.257
1591.821,1656.940
1574.069,1663.158
1536.241,1676.996
1525.127,1681.341
1516.986,1684.454
1512.769,1686.383
1510.428,1687.463
1509.297,1691.997
1469.617,1735.414
1460.116,1746.501
1455.341,1752.354
1452.886,1755.606
1451.515,1757.139
1451.785,1757.871
1400.766,1761.991
1393.015,1763.569
1390.947,1763.951
1390.436,1764.343
1347.957,1750.169
1327.135,1744.253
1322.406,1743.152
1321.891,1742.619
1276.303,1772.395
1259.040,1782.623
1248.344,1788.736
1243.032,1792.170
1237.560,1795.479
1233.810,1797.891
1232.828,1799.016
1231.095,1800.089
1230.379,1800.667
1272.777,1813.112
1279.471,1819.107
1282.367,1822.773
1283.965,1825.596
1285.479,1828.862
1286.009,1830.191
1271.689,1867.318
1267.542,1878.784
1266.661,1876.951
1278.199,1877.750
nan,nan
nan,nan
1316.295,1867.401
1352.926,1855.256
1362.298,1851.712
1367.244,1849.254
1422.017,1816.507
1445.371,1802.175
1459.152,1793.328
1502.672,1770.117
1516.867,1761.929
1523.809,1757.714
1526.790,1754.054
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
1805.217,1438.376
1800.068,1446.934
1796.994,1451.977
1794.664,1455.370
1793.974,1458.774
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
1567.448,1725.657
1527.606,1708.473
1535.814,1660.081
1543.468,1589.193
1543.722,1572.182
1543.204,1549.790
1590.949,1534.604
1607.130,1525.938
1615.095,1520.279
1619.913,1516.673
1647.044,1514.198
1676.974,1511.289
1685.953,1509.812
1693.164,1508.710
1728.302,1508.425
1743.866,1507.521
1745.548,1506.590
1748.906,1506.098
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
1811.662,1426.509
1811.716,1419.274
1812.467,1396.342
1812.184,1387.425
1811.633,1382.078
1811.821,1368.560
