trajectories1,trajectories2
684.691,742.947
610.634,602.957
578.557,560.761
601.065,527.543
776.468,346.192
874.046,189.031
903.863,71.192
903.853,70.926
903.599,70.693
904.154,70.742
904.698,71.418
939.493,167.773
839.981,196.786
732.244,185.861
568.610,208.109
529.942,227.315
489.268,256.623
491.492,272.051
474.317,380.326
361.370,448.446
217.273,536.853
130.672,691.214
124.999,807.753
90.775,906.179
67.435,961.450
101.090,1078.816
81.943,1237.745
116.285,1305.570
161.812,1344.931
183.450,1469.919
235.614,1574.073
284.598,1669.509
345.162,1729.069
449.986,1718.169
541.915,1800.221
594.686,1890.096
664.219,1815.397
653.146,1736.109
646.069,1684.576
592.155,1519.915
576.463,1323.934
615.783,1119.239
677.825,887.613
736.609,775.806
802.753,655.575
820.461,504.257
819.783,484.326
818.849,483.383
817.880,481.773
816.514,483.843
815.740,481.862
814.698,481.214
814.526,480.690
813.162,481.667
741.754,438.877
694.402,386.970
611.952,296.038
680.079,169.494
732.159,167.349
614.223,197.958
530.323,228.026
394.613,306.641
355.991,349.307
340.387,430.191
304.634,489.493
251.502,510.081
226.342,575.914
233.266,584.955
255.708,669.126
220.176,752.079
150.876,833.537
130.614,833.402
121.828,840.362
99.822,863.813
186.996,922.026
241.824,967.667
300.640,1022.382
407.784,1058.931
468.731,1154.418
503.942,1273.779
583.567,1453.646
607.704,1594.266
628.736,1684.171
631.642,1772.400
602.464,1826.373
573.757,1854.701
612.768,1892.482
678.052,1847.793
702.721,1745.831
719.306,1694.458
716.696,1620.631
735.789,1510.313
819.675,1428.128
880.497,1378.827
967.659,1296.006
1034.358,1182.731
997.662,1066.684
892.990,1061.046
729.241,1006.195
608.596,904.868
511.039,800.109
407.313,726.595
303.821,692.127
259.189,643.297
166.137,622.271
167.736,679.241
209.611,732.401
117.202,799.551
134.396,873.846
89.980,927.374
113.267,973.449
112.820,1036.134
71.013,1160.197
156.743,1236.450
225.098,1246.681
263.182,1172.854
282.847,1100.267
357.998,1024.623
394.870,934.181
399.203,798.329
375.490,704.914
315.385,615.451
264.545,547.832
244.701,479.939
380.387,544.222
487.030,631.179
584.964,668.563
693.537,680.290
805.749,687.854
853.334,746.987
848.042,898.435
953.796,1036.524
1002.514,1117.405
1023.635,1174.521
1064.363,1264.432
1010.863,1381.051
952.395,1491.458
933.144,1618.390
926.894,1765.689
931.823,1811.823
887.798,1880.618
854.958,1931.284
847.076,1988.527
855.520,1979.124
779.408,1910.759
677.721,1878.151
591.508,1848.875
495.086,1800.298
479.058,1740.478
498.854,1632.420
459.965,1518.888
406.477,1461.220
331.428,1351.128
213.517,1253.464
135.324,1245.389
78.026,1151.647
75.652,1156.504
112.755,1174.831
178.054,1237.785
237.694,1282.153
362.101,1270.207
742.212,1333.428
1143.055,1454.495
1598.089,1758.261
1760.475,1676.008
1765.311,1661.619
1763.142,1661.950
1744.750,1647.920
1733.922,1647.934
1653.033,1604.512
1614.592,1577.077
1574.684,1560.772
1541.595,1559.606
1511.721,1566.962
1495.907,1575.239
1482.993,1595.381
1480.933,1620.565
1470.141,1645.929
1450.667,1666.298
1421.255,1661.906
1413.673,1659.298
1387.607,1655.236
1386.053,1638.833
1391.082,1638.550
1358.143,1562.913
1297.144,1400.846
1200.336,1236.557
1092.819,1068.918
1062.196,847.010
994.931,585.080
980.725,400.208
943.353,251.767
943.543,189.818
944.561,165.342
961.494,208.114
970.731,231.819
953.418,294.978
939.815,347.273
938.451,360.566
940.521,381.092
946.256,401.716
949.978,418.611
943.883,440.404
925.086,468.569
905.034,468.333
888.258,463.169
884.892,460.547
876.078,461.558
843.183,481.093
800.129,519.552
749.126,593.887
727.572,709.632
687.571,867.974
626.592,1044.835
532.241,1196.825
503.473,1323.780
412.995,1489.753
330.097,1549.339
241.987,1594.687
248.892,1611.726
275.203,1635.062
370.191,1638.489
419.526,1604.200
490.579,1522.937
594.491,1399.903
693.587,1258.342
736.152,1105.180
739.714,896.186
725.088,716.315
695.972,514.086
624.788,320.095
643.966,212.282
596.847,178.200
557.885,211.237
486.259,262.979
452.659,289.495
386.628,313.594
349.790,359.669
328.587,389.193
340.406,440.651
342.716,486.677
286.316,567.548
222.904,601.323
209.158,560.420
248.651,580.306
278.117,623.573
347.271,710.104
394.683,833.666
401.711,976.451
406.353,1087.185
365.472,1244.877
377.756,1349.003
347.553,1513.499
333.931,1575.288
265.617,1556.697
289.629,1516.169
335.224,1470.037
361.218,1411.616
352.882,1333.032
299.827,1226.260
190.437,1146.954
148.465,1097.848
171.532,1062.245
296.710,1048.952
405.967,974.398
461.223,886.021
538.347,796.123
620.948,677.062
658.836,568.272
646.544,400.831
639.322,355.768
702.744,399.410
731.577,491.314
857.550,599.366
983.526,654.788
1048.912,771.473
1007.082,965.766
988.044,1140.969
918.716,1296.289
896.679,1406.983
921.504,1556.427
924.433,1613.727
867.056,1670.894
832.985,1715.250
764.415,1736.085
746.979,1712.236
743.985,1716.156
741.365,1717.837
738.479,1718.502
721.272,1704.361
704.144,1696.136
685.548,1678.555
657.764,1589.701
645.204,1522.219
648.816,1456.975
612.798,1351.813
571.992,1261.390
544.842,1154.166
519.658,961.431
528.186,854.083
556.549,743.320
610.089,709.566
566.887,944.978
454.395,1108.059
362.767,1148.335
286.840,1203.848
214.372,1202.701
156.531,1202.462
143.951,1188.154
129.912,1203.918
108.965,1265.038
199.368,1303.921
233.994,1384.858
258.052,1502.025
323.972,1682.198
342.700,1724.373
342.838,1712.585
337.118,1684.048
340.931,1701.084
355.977,1668.815
322.179,1675.322
326.022,1645.816
304.810,1655.048
290.027,1634.833
304.519,1602.115
351.290,1546.963
375.645,1482.539
371.861,1406.993
472.947,1355.930
543.096,1280.309
563.494,1161.421
560.997,1157.215
559.590,1153.872
557.433,1153.751
556.442,1153.019
545.524,1125.749
497.984,1088.345
486.811,1030.362
485.868,979.621
470.032,901.726
493.309,817.736
514.259,761.470
538.508,709.819
586.012,738.466
561.071,820.047
572.330,896.729
586.014,956.601
655.076,1052.363
716.050,1093.754
779.979,1115.112
873.818,1183.195
911.004,1211.511
910.025,1243.366
897.953,1340.183
856.061,1398.483
823.248,1410.018
780.992,1443.606
741.175,1431.834
641.148,1433.181
557.773,1447.604
494.080,1491.010
404.239,1506.733
344.305,1472.226
360.133,1407.104
422.217,1353.214
439.493,1246.358
428.488,1143.196
417.289,992.046
430.940,875.463
460.519,708.527
403.960,604.678
364.362,552.726
300.246,535.830
273.216,576.038
208.756,614.181
170.440,712.263
162.689,712.969
131.652,730.826
128.794,741.591
164.196,724.760
164.070,714.631
189.279,800.681
143.816,825.268
117.393,830.197
108.347,825.738
128.041,925.112
184.401,980.284
284.758,1089.653
368.657,1133.326
441.580,1211.466
528.105,1310.670
603.186,1381.355
705.902,1523.905
774.127,1620.127
815.574,1755.837
858.955,1859.958
895.401,1941.275
861.276,1980.780
820.252,1977.477
788.209,1954.098
767.945,1860.306
729.172,1738.751
717.787,1685.763
776.558,1506.912
814.552,1284.004
856.379,1184.679
942.400,1027.571
950.162,950.171
922.227,812.027
855.592,705.708
831.283,530.405
793.212,277.342
837.604,176.235
859.068,132.001
857.073,88.086
850.759,116.196
822.911,123.802
802.522,96.901
751.067,127.481
718.103,164.517
668.392,189.564
623.087,168.817
592.943,193.470
540.082,211.362
497.901,231.532
469.811,256.123
469.774,257.483
470.543,255.358
473.335,279.752
462.994,330.239
473.470,380.216
462.763,458.827
443.291,511.041
384.363,545.802
351.603,528.369
321.621,509.460
279.690,502.839
239.281,497.228
230.226,535.586
248.903,596.959
287.434,688.996
295.624,796.865
277.730,890.445
248.548,1069.995
305.026,1185.980
386.328,1261.583
404.347,1392.111
418.869,1476.119
409.765,1542.313
353.355,1639.792
207.827,1531.379
206.475,1527.220
246.388,1490.495
245.588,1449.436
225.499,1426.218
201.337,1433.806
200.190,1433.049
148.658,1400.480
142.812,1358.710
103.501,1260.591
167.083,1200.635
171.351,1129.105
253.009,1111.633
318.789,1034.821
329.887,923.082
429.115,828.486
501.203,790.445
605.869,685.046
659.850,566.042
700.504,437.383
711.506,349.611
713.815,271.266
724.730,220.577
699.823,195.855
678.343,176.254
