trajectories1,trajectories2
1306.050,420.446
1335.167,427.799
1612.981,301.252
1659.916,368.025
1662.012,368.157
1662.911,365.609
1670.286,357.531
1679.817,363.541
1639.648,342.504
1608.073,333.867
1527.037,366.107
1436.037,408.029
1361.935,393.019
1202.728,374.524
1143.169,330.689
1086.536,282.049
1044.495,209.731
1001.414,160.324
923.176,159.520
888.489,151.380
868.970,144.302
838.560,121.164
591.405,159.752
532.359,233.784
470.163,290.350
329.881,468.521
247.931,543.960
230.365,589.453
390.684,615.280
537.139,541.527
622.802,694.715
907.551,1087.153
1141.250,1075.683
1302.604,964.721
1397.104,919.717
1533.928,936.263
1629.090,946.054
1704.755,1001.131
1762.732,1048.689
1828.738,1046.336
1901.481,1087.340
1920.980,1169.659
1916.469,1287.329
1917.507,1298.819
1889.393,1447.728
1821.099,1518.789
1812.617,1592.849
1784.810,1649.778
1713.081,1704.550
1673.256,1762.884
1572.772,1836.124
1686.686,1777.564
1764.102,1629.663
1835.515,1574.575
1874.855,1479.237
1951.930,1352.150
1914.313,1236.859
1949.399,1085.488
1966.113,992.784
1997.711,902.723
1888.123,788.951
1848.706,681.210
1743.067,570.766
1668.769,486.895
1483.671,377.558
1385.094,318.387
1210.409,246.684
1156.031,159.412
1140.900,103.338
1049.457,59.436
1156.446,67.791
1218.432,67.791
1357.346,145.563
1440.038,136.862
1300.772,106.855
1218.957,131.044
1173.344,153.145
1085.529,168.316
980.928,235.000
939.433,257.463
894.732,288.950
872.924,304.368
827.127,313.910
783.966,287.539
771.721,255.645
773.484,191.155
711.542,157.960
662.661,180.939
591.842,209.201
504.352,284.297
446.570,299.211
411.987,321.102
439.214,271.153
519.220,189.945
636.415,178.468
693.062,104.149
787.572,147.399
873.935,135.158
945.077,105.259
955.984,102.758
981.519,80.893
1068.598,75.992
1128.458,73.647
1190.987,103.299
1223.548,146.229
1219.172,173.598
1199.374,185.371
1197.300,197.093
1178.154,210.701
1115.355,240.627
1067.780,271.650
1058.442,280.543
1052.495,288.418
992.691,279.856
982.824,237.342
986.721,172.357
994.781,113.775
978.098,96.340
881.406,114.837
808.221,187.022
741.783,259.586
720.277,287.339
703.773,318.434
679.654,398.342
669.052,474.619
669.220,526.778
666.647,570.444
644.765,633.174
614.805,716.469
591.324,839.860
585.452,918.084
543.609,980.027
495.780,956.578
448.836,865.029
363.649,810.632
289.916,783.380
189.922,786.373
154.695,894.228
166.909,937.593
187.499,959.987
227.062,1000.197
262.332,1079.914
282.216,1145.971
271.867,1194.249
260.106,1216.479
219.138,1255.176
204.590,1276.356
186.707,1305.488
184.257,1384.809
247.376,1439.439
303.332,1438.388
373.742,1439.040
440.569,1443.201
484.428,1484.275
488.761,1530.190
502.564,1557.921
555.816,1615.382
616.307,1646.498
706.136,1658.094
782.383,1680.002
815.829,1734.860
799.197,1764.126
758.431,1776.402
742.040,1776.886
711.110,1729.400
682.894,1651.617
618.606,1631.184
609.735,1633.981
568.825,1647.499
510.757,1658.578
482.111,1663.736
447.033,1686.174
396.325,1697.283
370.796,1609.179
373.327,1543.346
452.963,1470.121
532.511,1418.830
630.868,1373.577
703.410,1314.329
732.726,1270.064
741.306,1253.138
766.269,1217.133
815.632,1142.509
893.695,1081.725
988.123,1002.589
1036.244,893.804
1052.824,781.366
1032.541,718.661
1023.815,665.788
1100.387,643.051
1161.855,731.507
1118.967,838.242
1095.264,855.662
1077.640,899.748
1027.367,982.866
1009.389,984.694
991.566,1038.526
978.478,1117.221
975.882,1191.995
986.807,1262.994
993.166,1308.191
978.184,1361.495
968.443,1446.196
964.194,1461.791
963.102,1493.286
1014.516,1532.161
1122.792,1492.077
1207.673,1492.436
1280.148,1478.532
1311.403,1479.094
1355.508,1396.362
1249.954,1265.466
1162.970,1163.907
1126.986,1075.325
1114.519,982.041
1107.952,872.122
1082.429,740.625
1007.167,662.335
946.727,657.991
902.237,657.132
855.872,633.084
825.195,601.513
774.658,523.304
670.019,534.792
583.723,591.548
562.299,604.635
518.499,625.450
469.686,691.948
399.192,778.598
344.916,827.905
332.629,907.009
329.252,966.141
375.974,1034.951
391.573,1131.977
460.305,1183.640
505.376,1280.866
526.532,1343.359
539.875,1381.482
561.077,1468.064
579.002,1490.109
613.082,1513.743
731.354,1541.523
803.973,1516.268
896.507,1456.080
892.771,1413.755
877.714,1363.073
864.350,1326.775
815.043,1249.192
756.726,1151.080
756.419,1047.662
825.555,952.596
787.085,866.088
761.080,812.010
700.212,724.307
593.862,741.510
514.201,697.907
489.948,687.655
462.338,667.657
454.799,646.890
483.296,574.007
478.376,505.068
465.785,380.911
483.112,302.279
433.657,259.251
370.063,293.963
351.632,308.910
332.205,346.944
291.525,380.659
249.350,416.866
246.195,426.997
202.692,479.646
191.899,500.739
202.114,598.594
203.080,643.871
211.103,732.347
142.639,797.820
133.836,794.168
174.502,727.724
273.998,659.198
383.592,560.721
434.981,498.018
486.906,450.218
512.654,346.380
493.091,271.823
487.877,260.437
389.443,292.590
364.407,359.277
336.085,410.811
277.757,405.761
259.784,437.330
276.717,580.588
260.806,653.997
253.007,670.167
236.484,678.811
218.783,739.056
221.295,779.248
231.388,804.777
291.993,836.826
336.824,850.053
414.592,844.478
494.147,870.405
570.664,894.679
667.817,907.795
740.918,918.190
752.659,975.302
753.545,1033.666
804.539,1097.514
1788.771,1057.837
1924.850,660.053
1905.706,588.669
1897.427,586.083
1818.781,450.040
1755.657,377.104
1531.101,216.232
1418.974,174.314
1374.001,148.606
1233.036,68.924
1166.941,55.810
1062.063,73.295
971.199,83.251
866.147,62.350
817.955,69.577
616.755,146.059
547.178,180.686
389.953,315.680
359.532,338.263
469.168,240.704
585.334,147.059
688.946,107.011
797.377,100.989
911.833,54.618
961.229,42.670
822.979,66.157
783.522,70.975
770.872,72.781
691.657,104.398
607.623,143.241
540.757,197.441
466.662,240.897
439.855,270.105
433.882,311.453
403.228,362.852
430.524,505.164
439.483,608.264
682.734,890.850
1100.291,780.729
1261.280,682.145
1276.560,672.386
1449.590,695.086
1516.035,700.547
1750.999,680.911
1797.854,698.199
1917.618,683.951
1955.684,802.995
1984.162,920.313
1567.828,204.781
1898.736,566.612
1917.161,596.826
1940.744,665.360
1967.276,734.631
1936.520,811.721
1902.041,836.553
1862.389,855.343
1819.316,940.224
1812.061,1024.959
1795.703,1197.287
1785.818,1275.557
1934.737,1355.431
1983.330,1123.561
1974.714,821.406
1941.630,685.316
1834.897,521.358
1771.830,395.604
1559.052,203.502
1493.573,153.889
1449.939,135.972
1309.675,79.813
1154.248,45.015
1053.617,29.511
896.122,49.839
868.552,60.519
801.694,97.695
692.447,105.619
690.724,106.653
757.277,136.545
864.174,95.785
1014.627,52.308
1211.508,76.638
1313.952,94.518
