trajectories1,trajectories2
1869.795,1057.411
1895.946,1104.340
1875.389,1118.980
1836.001,1109.245
1840.010,1093.670
1866.023,1061.247
1904.331,1069.283
1918.748,1087.147
1930.304,1081.852
1984.280,1084.253
1938.749,1114.267
1937.728,1127.596
1891.480,1148.542
1864.523,1138.067
1847.685,1116.225
1816.634,1097.549
1785.633,1092.631
1751.636,1087.512
1724.204,1105.203
1763.356,1106.939
1814.498,1104.047
1823.775,1057.983
1769.265,1079.745
1730.246,1075.130
1700.096,1059.989
1650.588,1032.024
1611.145,1019.354
1660.007,1046.084
1731.624,1036.642
1708.974,988.153
1669.673,953.991
1604.079,940.319
1571.661,972.467
1540.787,1016.955
1506.555,1049.056
1540.831,1076.884
1574.360,1008.973
1538.920,946.544
1491.190,911.505
1426.781,918.775
1386.447,981.238
1384.757,1029.154
1411.458,1106.117
1396.531,1147.440
1364.425,1187.430
1328.347,1179.501
1314.675,1141.196
1317.033,1094.975
1318.654,1041.287
1355.851,1006.239
1412.854,1023.277
1504.594,1039.319
1522.160,1130.181
1585.539,1182.960
1635.438,1205.218
1515.222,1441.728
1446.469,1459.175
1397.037,1553.550
1373.604,1601.903
1430.177,1694.525
1465.580,1744.952
1561.555,1686.745
1540.861,1644.813
1482.284,1615.343
1423.259,1591.291
1353.051,1607.739
1285.875,1591.874
1232.758,1593.012
1172.284,1629.512
1340.623,1786.040
1356.543,1849.117
1446.656,1842.011
1512.200,1875.467
nan,nan
1531.714,1845.672
1547.581,1712.355
1464.736,1663.564
1379.856,1601.362
1279.511,1621.451
1222.553,1610.898
1196.137,1614.351
nan,nan
1135.058,1552.318
nan,nan
1051.914,1386.477
1003.482,1341.332
944.264,1323.621
888.547,1319.708
846.308,1359.568
853.750,1412.993
875.573,1474.092
935.823,1520.805
987.480,1565.736
1014.967,1608.002
1065.207,1642.948
1141.820,1614.827
1167.866,1554.331
1191.553,1493.864
1166.198,1432.325
1127.736,1350.283
1092.260,1289.338
1041.022,1218.159
1003.542,1182.116
945.088,1192.167
909.500,1206.887
850.389,1246.120
810.190,1336.981
789.364,1350.084
774.960,1363.042
826.253,1271.294
801.951,1201.973
760.961,1131.725
730.812,1050.712
669.641,1014.748
583.707,982.273
nan,nan
447.521,891.576
356.654,933.123
313.838,993.145
nan,nan
287.218,928.479
nan,nan
448.900,940.491
512.522,1019.747
576.433,1108.817
636.249,1249.293
649.234,1344.426
678.605,1429.330
775.188,1494.632
900.297,1546.186
1015.526,1585.203
1098.431,1656.166
1164.270,1735.857
1239.481,1726.421
1339.004,1702.270
1436.626,1597.349
nan,nan
1533.573,1433.290
nan,nan
1367.566,1289.181
1257.050,1299.451
1188.832,1297.750
1112.963,1350.335
1075.297,1419.737
1097.408,1470.762
1139.925,1550.847
1149.103,1639.849
1123.281,1745.568
1125.919,1754.691
998.358,1652.631
986.747,1515.974
981.724,1403.227
1087.285,1308.703
1172.558,1178.617
1198.095,1101.333
nan,nan
1180.639,925.395
nan,nan
nan,nan
1238.143,744.895
1254.334,783.266
1259.314,804.330
1274.744,829.999
1111.131,985.415
988.459,986.410
nan,nan
775.059,1052.820
650.599,1026.207
575.118,988.791
524.155,1021.864
512.716,1040.437
508.621,1055.034
496.170,1063.812
468.097,1093.852
433.451,1136.767
439.564,1193.120
nan,nan
449.669,1375.482
461.440,1436.917
675.171,1283.109
795.211,1177.882
938.503,1185.138
1075.454,1222.696
1159.569,1250.741
1189.239,1264.694
nan,nan
1223.161,1282.167
1254.182,1298.610
1295.860,1304.770
1335.555,1294.420
1375.615,1280.645
1424.063,1256.155
1475.942,1221.953
1524.691,1187.873
1574.550,1148.132
nan,nan
nan,nan
1675.157,937.174
1689.524,875.402
1683.558,810.357
1682.247,705.892
nan,nan
nan,nan
1694.022,548.911
1646.850,546.658
1571.014,564.533
1573.908,609.687
1581.687,669.493
1595.079,732.166
1642.463,800.699
1696.970,833.322
1756.300,854.326
1839.993,813.598
1868.254,740.165
1830.652,674.556
1743.841,595.632
1672.068,544.603
nan,nan
1518.754,505.153
1482.410,456.781
