trajectories1,trajectories2
625.319,1602.171
685.331,1662.147
757.059,1675.508
838.963,1684.811
944.611,1632.909
1033.272,1590.593
1134.649,1622.602
1219.855,1692.638
1264.328,1723.049
1309.510,1744.657
1395.277,1775.208
1454.147,1708.550
1491.565,1634.848
1537.962,1517.353
1533.508,1487.827
1504.046,1351.062
1481.479,1293.000
1499.025,1200.792
1482.226,1120.631
1421.069,1041.946
1356.080,1007.480
1260.579,1012.275
1174.814,1029.101
1117.099,1051.295
986.788,1062.763
934.149,1074.358
922.217,1041.277
846.177,985.689
774.041,990.329
678.963,989.954
565.994,975.537
492.025,975.928
380.970,1002.885
335.255,1034.317
271.879,1077.769
242.749,1191.081
228.074,1278.556
250.531,1417.654
267.669,1489.691
230.248,1508.521
196.060,1483.907
183.777,1446.887
173.719,1409.002
136.638,1356.743
174.582,1262.408
213.477,1194.669
260.137,1075.915
296.165,976.302
293.963,853.046
272.350,769.624
230.086,763.820
180.854,788.318
152.297,881.646
202.806,959.535
326.202,972.789
418.217,954.673
537.707,913.382
618.213,858.870
705.947,764.097
732.929,663.295
740.089,561.066
671.733,481.472
622.816,438.583
546.622,368.972
468.998,383.409
411.983,443.199
299.760,480.763
276.400,453.956
231.308,505.597
191.225,571.341
174.339,603.475
166.506,644.572
145.516,713.581
129.105,764.021
112.963,778.085
95.072,832.569
144.452,891.331
280.855,865.181
394.555,844.127
468.078,823.018
480.548,802.440
572.978,733.747
667.357,699.467
808.716,671.100
938.459,692.618
1018.623,750.750
1139.391,812.573
1209.566,858.861
1239.903,1009.297
1213.004,1080.250
1149.767,1172.869
1091.012,1248.464
1043.244,1310.889
991.903,1371.304
936.043,1438.264
902.044,1489.072
854.540,1609.704
860.530,1670.522
953.884,1747.862
1019.139,1783.872
1097.289,1815.866
1179.003,1872.051
1279.041,1793.465
1304.422,1723.258
1319.269,1594.691
1302.507,1521.480
1258.857,1414.869
1220.922,1371.652
1088.827,1378.983
1031.590,1390.632
942.727,1403.723
849.337,1454.462
797.029,1499.183
735.545,1591.923
717.770,1696.024
714.446,1748.237
703.310,1840.737
652.349,1885.472
570.945,1857.478
510.119,1806.597
486.497,1827.056
430.268,1763.045
398.323,1700.471
