trajectories1,trajectories2
1345.438,1656.978
1367.361,1590.965
1382.879,1555.723
1453.655,1503.674
1455.514,1503.973
1499.503,1489.676
1505.112,1488.023
1544.849,1479.700
1595.742,1471.972
1638.731,1471.123
1673.071,1481.562
1691.762,1491.963
1702.659,1447.614
1740.736,1421.403
1763.843,1408.018
1796.884,1391.217
1822.792,1375.349
1843.749,1341.553
1862.977,1307.837
1878.028,1277.481
1894.035,1245.682
nan,nan
1891.968,1185.293
1883.428,1144.800
1878.707,1067.002
1863.222,1024.350
1878.585,979.145
1892.753,929.193
1897.681,918.511
1860.827,916.590
1861.773,963.758
1843.305,985.586
1883.125,1016.144
1903.948,1041.805
1931.981,1087.779
1927.369,1134.702
1916.838,1184.668
1902.181,1229.558
1870.056,1307.621
1847.347,1350.904
1796.421,1424.505
1759.742,1456.141
1707.572,1475.256
1712.476,1561.315
1630.980,1619.621
1612.457,1690.792
1596.387,1742.161
1531.975,1744.366
1493.163,1699.893
1465.922,1662.562
1443.699,1630.515
1499.730,1560.585
1555.573,1495.696
1623.648,1432.580
1702.609,1404.629
1764.779,1404.540
1818.285,1423.989
1767.884,1507.810
1714.557,1536.851
1619.801,1577.346
1555.270,1607.416
1508.221,1657.275
1503.982,1745.931
1569.075,1751.122
nan,nan
1666.084,1655.519
1693.161,1572.613
1725.545,1475.535
1753.887,1408.175
1793.234,1332.871
1837.388,1278.914
1893.572,1288.548
1877.187,1378.680
nan,nan
nan,nan
1809.937,1469.500
1759.196,1471.929
1704.594,1420.184
1723.203,1345.840
1762.417,1271.360
1811.150,1229.109
1871.756,1265.212
1887.941,1332.859
nan,nan
nan,nan
1815.513,1472.409
1728.730,1430.326
1683.211,1390.619
1674.459,1304.858
1674.761,1265.171
1736.659,1230.327
1823.167,1259.409
1861.733,1263.850
1874.690,1207.416
1849.352,1176.660
1791.455,1172.347
1752.289,1178.621
1696.793,1182.378
1675.964,1234.017
1665.554,1267.609
1646.475,1327.245
1634.886,1367.566
1581.869,1416.442
1516.145,1437.589
1522.946,1485.037
1535.552,1562.538
1556.066,1612.383
1578.006,1587.222
1633.560,1508.223
1695.397,1427.690
1728.096,1372.613
1783.223,1287.595
1814.840,1238.734
1852.270,1191.723
1851.421,1124.852
1829.449,1062.103
1813.273,983.435
1822.638,926.659
1868.140,877.917
1915.647,964.402
1903.188,1051.255
1833.890,1097.768
1793.324,1105.696
1774.491,1175.284
1750.672,1262.453
1717.983,1358.859
1696.833,1404.399
1663.806,1500.573
1631.097,1576.924
1611.910,1613.590
1568.816,1677.488
1483.125,1700.025
1405.416,1676.451
1384.880,1712.722
1289.397,1670.752
1254.209,1580.472
1258.835,1501.097
1321.855,1457.594
1346.289,1381.203
1354.765,1288.218
1358.235,1203.945
1386.275,1156.804
1443.108,1104.796
1496.850,1061.530
1542.800,1022.287
1606.396,969.786
1654.767,932.344
1651.075,840.464
1630.265,785.618
1601.632,691.964
1586.569,621.488
1525.096,560.307
1465.517,514.399
1433.895,464.098
1405.582,425.079
1397.630,426.801
1419.475,412.435
1491.922,443.976
1557.416,500.550
1648.927,574.213
1745.547,650.287
1834.071,743.004
1864.503,827.504
1821.910,910.674
1753.609,966.231
1658.681,1015.070
1587.436,1107.367
1600.939,1205.868
1609.068,1268.095
1665.800,1290.140
1698.438,1179.675
1729.109,1096.042
1753.059,1023.480
1783.592,917.907
1744.729,819.851
1699.354,737.407
1663.265,673.549
1607.822,583.777
1550.770,500.193
1512.880,449.278
1454.922,373.151
1457.375,299.739
1408.117,290.342
1343.105,304.724
1270.109,401.863
1267.167,498.901
1279.574,603.635
1342.852,670.426
1407.063,758.909
1479.821,848.390
1553.257,937.657
1585.315,1067.131
1625.663,1146.910
1725.548,1168.510
1804.048,1146.993
1843.232,1069.463
